FEWSNET_admin_code,lat,lon
0,9.551001515338209,29.13029621711373
1,9.7864463686198,28.41450764147616
2,7.799214183827,32.85308081315768
3,8.417933835645265,26.895620254357382
4,9.243145895334054,27.61379945167151
5,9.334755864478977,26.72968776123435
6,8.66797717290992,27.736114882600745
7,8.93042328314372,26.72393033611726
8,6.15016206247805,31.22946148768392
9,8.291425875688441,30.98072073288932
10,9.490525066761313,32.401919861197854
11,6.46564429461756,32.00485930683795
12,4.359345888033277,33.44792907626228
13,9.08372236478854,31.44209721825466
14,7.082292348051082,29.22492349449797
15,7.617573719391093,31.18647435304356
16,5.4600980913932,27.893722041524303
17,9.07197714884066,30.688025781934503
18,9.980295398131032,31.844239763315883
19,8.597442894792536,28.58905818276018
20,8.567439793413518,28.10997113824726
21,9.19752178535349,30.07519174270993
22,5.09954988834944,29.06162940758133
23,4.0283285217561655,33.131162026592094
24,4.717080545572783,31.4834187993104
25,7.592506399656177,28.024385887526
26,3.894862026649451,31.460529842026737
27,5.131699187780597,34.65216206832098
28,5.306582181776682,33.46191410008411
29,4.563412802921596,33.68025823161796
30,8.63390324968552,29.85741742069607
31,4.277990057969556,30.85353784014755
32,8.174243352768361,30.228166528699937
33,9.255936120347233,33.52690698745331
34,5.249238225823312,32.67141607788915
35,8.833607741244549,33.16331500618323
36,10.023907357739146,33.45997673813002
37,3.91131954513728,32.21076188560412
38,8.740229041326288,33.86245227145656
39,9.658456899264117,31.64279694293208
40,11.13098375709918,32.370198547301
41,5.096247294038325,29.68468366340776
42,8.122515743064598,29.91969418995337
43,9.094565694316143,29.2164984083864
44,10.380961081829817,32.568550646180974
45,3.738779636887926,30.83156234192668
46,5.307882176786863,30.682564298280845
47,5.213937060835241,30.208209381401414
48,5.91797909501608,30.03236794220358
49,6.471325264106709,27.738218305072024
50,8.583062808513404,32.11970016734224
51,5.308480950790219,28.20576266183773
52,7.524551778489693,30.33662155600983
53,9.443533221530387,31.452188918786423
54,9.81514621945512,30.118798060009706
55,6.396368370479494,33.568097830656605
56,7.113031420154322,33.81549404183505
57,8.617606453449703,25.58977599540881
58,11.362642175107842,32.95721173377968
59,9.268475660737575,29.635661184629683
60,7.018499943105355,29.78404000097786
61,6.718670324483102,30.013825277416693
62,7.524580472572817,29.70424474711226
63,6.043264454078863,27.14289079171473
64,5.662622743179727,31.3257564109295
65,7.847276439012762,29.284940505164062
66,8.246329225843844,28.916460885771635
67,7.080618898480923,28.734674633418727
68,4.372431371164294,32.56709815877729
