partition_id,training_rows,classes_present,local_model_fitted,reason
0,3739,2,True,
1,1158,2,True,
2,4272,2,True,
3,6876,2,True,
4,2090,2,True,
5,1150,1,False,single_class
6,1740,1,False,single_class
7,1104,2,True,
8,1240,2,True,
9,1340,2,True,
10,1480,2,True,
11,2105,2,True,
12,3390,2,True,
13,2280,2,True,
14,1100,2,True,
15,730,2,True,
16,1670,2,True,
