FEWSNET_admin_code,target_month,target_label,partition_id
0,2016-06,1,18
0,2016-10,0,18
0,2017-02,1,18
0,2017-06,0,18
0,2017-10,0,18
0,2018-02,1,18
0,2018-06,1,18
0,2018-10,1,18
1,2016-06,0,18
1,2016-10,0,18
1,2017-02,0,18
1,2017-06,0,18
1,2017-10,0,18
1,2018-02,0,18
1,2018-06,1,18
1,2018-10,0,18
2,2016-06,0,11
2,2016-10,0,11
2,2017-02,0,11
2,2017-06,1,11
2,2017-10,1,11
2,2018-02,1,11
2,2018-06,1,11
2,2018-10,1,11
3,2016-06,1,18
3,2016-10,1,18
3,2017-02,1,18
3,2017-06,1,18
3,2017-10,1,18
3,2018-02,1,18
3,2018-06,1,18
3,2018-10,0,18
4,2016-06,1,18
4,2016-10,1,18
4,2017-02,1,18
4,2017-06,1,18
4,2017-10,1,18
4,2018-02,1,18
4,2018-06,1,18
4,2018-10,1,18
5,2016-06,1,18
5,2016-10,1,18
5,2017-02,1,18
5,2017-06,1,18
5,2017-10,1,18
5,2018-02,1,18
5,2018-06,1,18
5,2018-10,1,18
6,2016-06,1,18
6,2016-10,1,18
6,2017-02,1,18
6,2017-06,1,18
6,2017-10,1,18
6,2018-02,1,18
6,2018-06,1,18
6,2018-10,0,18
7,2016-06,1,18
7,2016-10,1,18
7,2017-02,1,18
7,2017-06,1,18
7,2017-10,1,18
7,2018-02,1,18
7,2018-06,1,18
7,2018-10,1,18
8,2016-06,0,14
8,2016-10,0,14
8,2017-02,0,14
8,2017-06,0,14
8,2017-10,1,14
8,2018-02,1,14
8,2018-06,1,14
8,2018-10,1,14
9,2016-06,1,18
9,2016-10,1,18
9,2017-02,1,18
9,2017-06,1,18
9,2017-10,1,18
9,2018-02,1,18
9,2018-06,1,18
9,2018-10,1,18
10,2016-06,1,18
10,2016-10,1,18
10,2017-02,1,18
10,2017-06,1,18
10,2017-10,1,18
10,2018-02,1,18
10,2018-06,1,18
10,2018-10,1,18
11,2016-06,0,14
11,2016-10,1,14
11,2017-02,0,14
11,2017-06,1,14
11,2017-10,0,14
11,2018-02,1,14
11,2018-06,1,14
11,2018-10,1,14
12,2016-06,1,14
12,2016-10,0,14
12,2017-02,1,14
12,2017-06,1,14
12,2017-10,0,14
12,2018-02,1,14
12,2018-06,0,14
12,2018-10,1,14
13,2016-06,1,18
13,2016-10,1,18
13,2017-02,1,18
13,2017-06,1,18
13,2017-10,1,18
13,2018-02,1,18
13,2018-06,1,18
13,2018-10,1,18
14,2016-06,1,11
14,2016-10,0,11
14,2017-02,1,11
14,2017-06,1,11
14,2017-10,1,11
14,2018-02,1,11
14,2018-06,1,11
14,2018-10,1,11
15,2016-06,1,18
15,2016-10,1,18
15,2017-02,1,18
15,2017-06,1,18
15,2017-10,1,18
15,2018-02,1,18
15,2018-06,1,18
15,2018-10,1,18
16,2016-06,0,11
16,2016-10,0,11
16,2017-02,0,11
16,2017-06,1,11
16,2017-10,0,11
16,2018-02,1,11
16,2018-06,1,11
16,2018-10,0,11
17,2016-06,1,18
17,2016-10,1,18
17,2017-02,1,18
17,2017-06,1,18
17,2017-10,1,18
17,2018-02,1,18
17,2018-06,1,18
17,2018-10,1,18
18,2016-06,1,18
18,2016-10,1,18
18,2017-02,1,18
