hotspot,false_negative_observations,false_negative_population,dominant_horizon_by_population,dominant_month,mean_false_negative_probability,near_threshold_share,conflict_activity_share,high_conflict_proxy_share,conflict_missing_share,high_price_proxy_share,price_missing_share,lagged_noncrisis_share,lagged_missing_share,mixed_neighbor_actual_state_share,neighbor_actual_crisis_share_mean,neighbor_predicted_crisis_share_mean,max_seasonal_crisis_error_rate,dominant_error_season,dominant_error_horizon
Central/southern Mozambique,409,33833834.969758004,4-month lag,2024-10,0.2877750611246944,0.3594132029339853,1.0,0.0,0.0,0.0,0.014669926650366748,0.0,1.0,0.1198044009779951,0.7545454545454545,0.056060606060606054,1.0,AMJJ,4-month lag
Chad,439,57413430.94595,12-month lag,2024-02,0.23913439635535305,0.21184510250569477,1.0,0.13211845102505695,0.0,0.3211845102505695,0.01366742596810934,0.0,1.0,0.6059225512528473,0.7255188559858263,0.025451061214159163,0.92,DJFM,12-month lag
Niger,419,40599248.698698595,12-month lag,2023-10,0.27744630071599047,0.33890214797136037,1.0,0.24343675417661098,0.0,0.0,0.007159904534606206,0.0,1.0,0.48448687350835323,0.7445107398568018,0.14574383452665077,0.5210843373493976,ASON,12-month lag
Northern Afghanistan,1235,129516645.3201764,12-month lag,2023-10,0.2922591093117409,0.345748987854251,1.0,0.6947368421052632,0.0,1.0,0.0,0.0,1.0,0.2720647773279352,0.8666910866910869,0.07549482681061628,0.5994397759103641,ASON,4-month lag
Somalia,1402,84081680.9590531,4-month lag,2022-02,0.35490727532097005,0.5192582025677603,1.0,0.07417974322396577,0.0,0.2674750356633381,0.0,0.0,1.0,0.6048502139800286,0.7789169771761301,0.1265095317859137,0.5421822272215973,DJFM,4-month lag
South Sudan,45,6631103.011950002,8-month lag,2022-10,0.39888888888888885,0.5777777777777777,1.0,0.044444444444444446,0.0,1.0,0.0,0.0,1.0,0.26666666666666666,0.931216931216931,0.7808080808080807,0.028428093645484948,ASON,8-month lag
Sudan,3370,426920826.76613396,12-month lag,2024-02,0.31379525222551935,0.44807121661721067,1.0,0.17655786350148367,0.0,0.5973293768545994,0.0026706231454005935,0.0,1.0,0.19732937685459942,0.8475275077351201,0.124364255506124,0.7129629629629629,ASON,12-month lag
