month,column,effective_missing_n,effective_missing_rate
2010-02,market_distance,0,0.0
2010-02,FAO_price,0,0.0
2010-02,Rainf_f_tavg_mean,0,0.0
2010-02,Tair_f_tavg_mean,0,0.0
2010-02,gpp_mean,0,0.0
2010-02,sg_cec_5-15cm,0,0.0
2010-02,sg_cfvo_5-15cm,0,0.0
2010-02,sg_nitrogen_5-15cm,0,0.0
2010-02,sg_phh2o_5-15cm,0,0.0
2010-02,sg_soc_5-15cm,0,0.0
2010-02,market_access,0,0.0
2010-02,ruggedness,0,0.0
2010-02,slope,0,0.0
2010-02,CPI,0,0.0
2010-02,GDP,0,0.0
2010-02,CC,0,0.0
2010-02,gini,0,0.0
2010-02,WFP_Price,0,0.0
2010-02,WFP_Price_std,0,0.0
2010-02,fews_ipc,1040,1.0
2010-02,fews_ha,1040,1.0
2010-02,fews_proj_near,1040,1.0
2010-02,fews_proj_near_ha,1040,1.0
2010-02,fews_proj_med,1040,1.0
2010-02,fews_proj_med_ha,1040,1.0
2010-02,pop,1040,1.0
2010-02,fews_ipc_adjusted,1040,1.0
2010-02,fews_proj_med_adjusted,1040,1.0
2010-02,ISO3,0,0.0
2010-02,Food_CPI,0,0.0
2010-02,Food_food_inflation,0,0.0
2010-02,Tair_zscore,16,0.015384615384615385
2010-02,Rainf_zscore,16,0.015384615384615385
2010-02,fews_ipc_crisis,1040,1.0
2010-03,unit_name,0,0.0
2010-03,ADMIN0,0,0.0
2010-03,ADMIN1,0,0.0
2010-03,ADMIN2,0,0.0
2010-03,ADMIN3,0,0.0
2010-03,FEWSNET_admin_code,0,0.0
2010-03,ISO,0,0.0
2010-03,lat,0,0.0
2010-03,lon,0,0.0
2010-03,date,0,0.0
2010-03,month,0,0.0
2010-03,distance_to_nearest_acled,0,0.0
2010-03,event_count_battles,0,0.0
2010-03,event_count_explosions,0,0.0
2010-03,event_count_violence,0,0.0
2010-03,sum_fatalities_battles,0,0.0
2010-03,sum_fatalities_explosions,0,0.0
2010-03,sum_fatalities_violence,0,0.0
2010-03,event_count_battles_w5,0,0.0
2010-03,event_count_explosions_w5,0,0.0
2010-03,event_count_violence_w5,0,0.0
2010-03,sum_fatalities_battles_w5,0,0.0
2010-03,sum_fatalities_explosions_w5,0,0.0
2010-03,sum_fatalities_violence_w5,0,0.0
2010-03,event_count_battles_w10,0,0.0
2010-03,event_count_explosions_w10,0,0.0
2010-03,event_count_violence_w10,0,0.0
2010-03,sum_fatalities_battles_w10,0,0.0
2010-03,sum_fatalities_explosions_w10,0,0.0
2010-03,sum_fatalities_violence_w10,0,0.0
2010-03,AEZ_10000,0,0.0
2010-03,AEZ_12000,0,0.0
2010-03,AEZ_15000,0,0.0
2010-03,AEZ_17000,0,0.0
2010-03,AEZ_19000,0,0.0
2010-03,AEZ_25000,0,0.0
2010-03,AEZ_31000,0,0.0
2010-03,AEZ_32000,0,0.0
