scope,forecasting_horizon,model,evaluation,n,positive_n,prevalence,precision,recall,f1,balanced_accuracy,tp,fp,fn,tn,average_precision,roc_auc,brier,probability_source
1,4,pooled,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.7088713036234903,0.5246609124537608,0.6030115146147033,0.7196929059035914,1702,699,1542,7498,0.7027488448617344,0.860134952082406,0.13323624683157068,y_prob_pooled
1,4,partitioned,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.7232897770945427,0.5801479654747226,0.64385904892234,0.7461554759665915,1882,720,1362,7477,0.7376849907658515,0.8821708477448141,0.12506044052093349,y_prob_partitioned
1,4,partitioned_thresholded,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.6438829787234043,0.7463008631319359,0.69131924614506,0.7914742085575502,2421,1339,823,6858,0.7376849907658515,0.8821708477448141,0.12506044052093349,y_prob_partitioned
2,8,pooled,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.6941074523396881,0.4938347718865598,0.5770893371757925,0.7038528501374972,1602,706,1642,7491,0.668039180697659,0.8399794810798874,0.14151437811380127,y_prob_pooled
2,8,partitioned,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.7378917378917379,0.5588779284833539,0.636028766883003,0.7401562998522662,1813,644,1431,7553,0.7246805141830905,0.8639865837656464,0.13090971943011975,y_prob_partitioned
2,8,partitioned_thresholded,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.6443224501589137,0.687422934648582,0.6651752423564504,0.7686230203314888,2230,1231,1014,6966,0.7246805141830905,0.8639865837656464,0.13090971943011975,y_prob_partitioned
3,12,pooled,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.6455696202531646,0.4401972872996301,0.5234604105571847,0.6722762696105323,1428,784,1816,7413,0.5868103196087555,0.8018078664610236,0.15735094834367627,y_prob_pooled
3,12,partitioned,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.6711465770684586,0.4926017262638718,0.5681777777777778,0.6985394870187238,1598,783,1646,7414,0.6549010386272689,0.8299454538644331,0.14685204090551524,y_prob_partitioned
3,12,partitioned_thresholded,released_2021_2024_temporal_holdout,11441,3244,0.2835416484573027,0.5846514352665495,0.6152897657213316,0.5995794532892761,0.7211498236926775,1996,1418,1248,6779,0.6549010386272689,0.8299454538644331,0.14685204090551524,y_prob_partitioned
