month,rows,raw_missing_cells,raw_missing_cell_rate,effective_missing_cells,effective_missing_cell_rate,target_non_null_rows,target_positive_rows
2012-05,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-06,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-07,1040,110,0.001201923076923077,142,0.0015515734265734266,1035,377
2012-08,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-09,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-10,1040,70,0.0007648601398601399,102,0.0011145104895104894,1035,76
2012-11,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-12,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-01,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,133
2013-02,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-03,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-04,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,381
2013-05,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-06,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-07,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,275
2013-08,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-09,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-10,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,27
2013-11,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2013-12,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-01,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,15
2014-02,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-03,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-04,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,87
2014-05,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-06,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-07,1040,50,0.0005463286713286714,82,0.000895979020979021,1035,65
2014-08,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-09,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-10,1040,0,0.0,32,0.00034965034965034965,1040,9
2014-11,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2014-12,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-01,1040,0,0.0,32,0.00034965034965034965,1040,21
2015-02,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-03,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-04,1040,0,0.0,32,0.00034965034965034965,1040,51
2015-05,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-06,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-07,1040,0,0.0,32,0.00034965034965034965,1040,151
2015-08,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-09,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-10,1040,0,0.0,32,0.00034965034965034965,1040,292
2015-11,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2015-12,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2016-01,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-02,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,260
2016-03,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-04,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-05,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-06,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,191
2016-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-08,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-09,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-10,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,16
2016-11,1040,11440,0.125,11472,0.12534965034965034,0,0
2016-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-01,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-02,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,139
2017-03,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-04,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-05,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-06,1040,1042,0.01138548951048951,1074,0.01173513986013986,1040,185
2017-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-08,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-09,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-10,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,69
2017-11,1040,11440,0.125,11472,0.12534965034965034,0,0
2017-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-01,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-02,1040,1115,0.01218312937062937,1147,0.01253277972027972,1040,101
2018-03,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-04,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2018-05,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-06,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,87
2018-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-08,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-09,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2018-10,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,104
2018-11,1040,11440,0.125,11472,0.12534965034965034,0,0
2018-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2019-01,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2019-02,1040,3121,0.03410183566433567,3153,0.03445148601398602,1040,104
2019-03,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2019-04,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2019-05,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2019-06,1040,3121,0.03410183566433567,3153,0.03445148601398602,1040,236
2019-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2019-08,1040,11440,0.125,11472,0.12534965034965034,0,0
2019-09,1040,11440,0.125,11472,0.12534965034965034,0,0
2019-10,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,206
2019-11,1040,11440,0.125,11472,0.12534965034965034,0,0
2019-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-01,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-02,1040,1043,0.011396416083916084,1075,0.011746066433566434,1040,95
2020-03,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-04,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-05,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-06,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,176
2020-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-08,1040,11440,0.125,11472,0.12534965034965034,0,0
2020-09,1040,11456,0.12517482517482517,11488,0.12552447552447552,0,0
2020-10,1040,1056,0.011538461538461539,1088,0.011888111888111888,1040,90
2020-11,1040,11456,0.12517482517482517,11488,0.12552447552447552,0,0
2020-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2021-01,1040,11456,0.12517482517482517,11488,0.12552447552447552,0,0
2021-02,1040,1056,0.011538461538461539,1088,0.011888111888111888,1040,214
2021-03,1040,11456,0.12517482517482517,11488,0.12552447552447552,0,0
2021-04,1040,11456,0.12517482517482517,11488,0.12552447552447552,0,0
2021-05,1040,13536,0.1479020979020979,13568,0.14825174825174825,0,0
2021-06,1040,10391,0.11353802447552448,10423,0.11388767482517483,1,0
2021-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2021-08,1040,11440,0.125,11472,0.12534965034965034,0,0
2021-09,1040,11440,0.125,11472,0.12534965034965034,0,0
2021-10,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,262
2021-11,1040,11440,0.125,11472,0.12534965034965034,0,0
2021-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-01,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-02,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,375
2022-03,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-04,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-05,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-06,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,438
2022-07,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-08,1040,11990,0.1310096153846154,12022,0.13135926573426573,0,0
2022-09,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-10,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,360
2022-11,1040,11440,0.125,11472,0.12534965034965034,0,0
2022-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2023-01,1040,11440,0.125,11472,0.12534965034965034,0,0
2023-02,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,228
2023-03,1040,11440,0.125,11472,0.12534965034965034,0,0
2023-04,1040,11440,0.125,11472,0.12534965034965034,0,0
2023-05,1040,11440,0.125,11472,0.12534965034965034,0,0
2023-06,1040,1040,0.011363636363636364,1072,0.011713286713286713,1040,400
2023-07,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2023-08,1040,15600,0.17045454545454544,15632,0.1708041958041958,0,0
2023-09,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2023-10,1040,3120,0.03409090909090909,3152,0.03444055944055944,1040,216
2023-11,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2023-12,1040,13520,0.14772727272727273,13552,0.14807692307692308,0,0
2024-01,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-02,1040,6240,0.06818181818181818,6272,0.06853146853146853,1040,273
2024-03,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-04,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-05,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-06,1040,6240,0.06818181818181818,6272,0.06853146853146853,1040,338
2024-07,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-08,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-09,1040,16640,0.18181818181818182,16672,0.18216783216783217,0,0
2024-10,1040,6330,0.06916520979020979,6362,0.06951486013986014,1040,140
2024-11,1040,16730,0.18280157342657344,16762,0.18315122377622378,0,0
2024-12,1040,17640,0.19274475524475523,17672,0.1930944055944056,0,0
