month,rows,raw_missing_cells,raw_missing_cell_rate,effective_missing_cells,effective_missing_cell_rate,target_non_null_rows,target_positive_rows
2010-01,1040,6264,0.06844405594405595,6296,0.06879370629370629,1032,177
2010-02,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-03,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-04,1040,6264,0.06844405594405595,6296,0.06879370629370629,1032,300
2010-05,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-06,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-07,1040,6246,0.06824737762237762,6278,0.06859702797202798,1035,272
2010-08,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-09,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-10,1040,6246,0.06824737762237762,6278,0.06859702797202798,1035,272
2010-11,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2010-12,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-01,1040,6254,0.0683347902097902,6286,0.06868444055944056,1035,160
2011-02,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-03,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-04,1040,3160,0.034527972027972025,3192,0.034877622377622375,1035,332
2011-05,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-06,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-07,1040,3160,0.034527972027972025,3192,0.034877622377622375,1035,422
2011-08,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-09,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-10,1040,3176,0.0347027972027972,3208,0.03505244755244755,1035,144
2011-11,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2011-12,1040,11440,0.125,11472,0.12534965034965034,0,0
2012-01,1040,3176,0.0347027972027972,3208,0.03505244755244755,1035,178
2012-02,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-03,1040,10400,0.11363636363636363,10432,0.11398601398601399,0,0
2012-04,1040,110,0.001201923076923077,142,0.0015515734265734266,1035,262
