calendar_month,labeled_rows,positive_n,positive_rate
1,6212,684,0.11010946555054733
2,9360,1789,0.19113247863247862
4,6212,1413,0.22746297488731487
6,8321,2051,0.24648479750030045
7,6215,1562,0.2513274336283186
10,15580,2283,0.14653401797175866
