split_design,candidate,feature_name,importance
blocked_time,regularized_without_admin_id,lon,0.08054369246207427
blocked_time,regularized_without_admin_id,sg_phh2o_5-15cm,0.05398219379566038
blocked_time,regularized_without_admin_id,lat,0.05376695599073741
blocked_time,regularized_without_admin_id,Food_CPI,0.041581597391341735
blocked_time,regularized_without_admin_id,Food_food_inflation,0.03534707853806853
blocked_time,regularized_without_admin_id,Tair_zscore,0.03394972106658046
blocked_time,regularized_without_admin_id,Rainf_zscore,0.03207603459352991
blocked_time,regularized_without_admin_id,EVI,0.0311941448354912
blocked_time,regularized_without_admin_id,sg_nitrogen_5-15cm,0.030894953817587393
blocked_time,regularized_without_admin_id,sg_soc_5-15cm,0.030718757156054356
blocked_time,regularized_without_admin_id,FAO_price,0.029656900530048422
blocked_time,regularized_without_admin_id,elevation,0.02534646055121155
blocked_time,regularized_without_admin_id,WFP_Price_std,0.025150295098000406
blocked_time,regularized_without_admin_id,market_distance,0.023960898676990045
blocked_time,regularized_without_admin_id,sum_fatalities_battles_w10,0.02393093157805348
blocked_time,regularized_without_admin_id,ruggedness,0.02290518876673723
blocked_time,regularized_without_admin_id,WFP_Price,0.02286282963537238
blocked_time,regularized_without_admin_id,GDP,0.022294131795592097
blocked_time,regularized_without_admin_id,CC,0.022228419665351908
blocked_time,regularized_without_admin_id,CPI,0.0211692654901238
blocked_time,regularized_without_admin_id,gpp_mean,0.020752815277068404
blocked_time,regularized_without_admin_id,Rainf_f_tavg_mean,0.019896217468614738
blocked_time,regularized_without_admin_id,gini,0.01898730800271374
blocked_time,regularized_without_admin_id,distance_to_nearest_acled,0.017303056007037104
blocked_time,regularized_without_admin_id,AEZ_31000,0.01685122249112778
blocked_time,regularized_without_admin_id,sum_fatalities_battles_w5,0.015853124838354913
blocked_time,regularized_without_admin_id,Tair_f_tavg_mean,0.015515737581011026
blocked_time,regularized_without_admin_id,sg_cec_5-15cm,0.015162701295152327
blocked_time,regularized_without_admin_id,event_count_battles_w10,0.01428044217645489
blocked_time,regularized_without_admin_id,sum_fatalities_battles,0.012219386274642554
blocked_time,regularized_without_admin_id,slope,0.010629699410980221
blocked_time,regularized_without_admin_id,event_count_violence,0.009289961235254067
blocked_time,regularized_without_admin_id,event_count_violence_w10,0.008870988401047431
blocked_time,regularized_without_admin_id,calendar_month_7,0.008742738333913105
blocked_time,regularized_without_admin_id,sum_fatalities_violence_w10,0.008566977990041982
blocked_time,regularized_without_admin_id,event_count_violence_w5,0.008563588805938206
blocked_time,regularized_without_admin_id,event_count_battles_w5,0.00835974045972493
blocked_time,regularized_without_admin_id,calendar_month_1,0.008039379623462567
blocked_time,regularized_without_admin_id,sg_cfvo_5-15cm,0.008033288802558887
blocked_time,regularized_without_admin_id,nightlight,0.007985584169982213
blocked_time,regularized_without_admin_id,nightlight_sd,0.007495569296529803
blocked_time,regularized_without_admin_id,market_access,0.007439496471843149
blocked_time,regularized_without_admin_id,AEZ_32000,0.006785010321614906
blocked_time,regularized_without_admin_id,pop,0.006073976412878987
