scope,forecasting_horizon,month_start,model,n,positive_n,prevalence,precision,recall,f1,balanced_accuracy,tp,fp,fn,tn
1,4,2021-02-01,pooled,1040,214,0.20576923076923076,0.9135802469135802,0.34579439252336447,0.5016949152542373,0.668659908126089,74,7,140,819
1,4,2021-06-01,pooled,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
1,4,2021-10-01,pooled,1040,262,0.2519230769230769,0.8727272727272727,0.183206106870229,0.3028391167192429,0.5871043387821582,48,7,214,771
1,4,2022-02-01,pooled,1040,375,0.3605769230769231,0.9620253164556962,0.20266666666666666,0.33480176211453744,0.599077694235589,76,3,299,662
1,4,2022-06-01,pooled,1040,438,0.42115384615384616,1.0,0.2146118721461187,0.3533834586466165,0.6073059360730594,94,0,344,602
1,4,2022-10-01,pooled,1040,360,0.34615384615384615,0.8489795918367347,0.5777777777777777,0.687603305785124,0.7616830065359477,208,37,152,643
1,4,2023-02-01,pooled,1040,228,0.21923076923076923,0.7772727272727272,0.75,0.7633928571428571,0.8448275862068966,171,49,57,763
1,4,2023-06-01,pooled,1040,400,0.38461538461538464,0.8675496688741722,0.655,0.7464387464387464,0.79625,262,40,138,600
1,4,2023-10-01,pooled,1040,216,0.2076923076923077,0.577259475218659,0.9166666666666666,0.7084078711985689,0.8703478964401294,198,145,18,679
1,4,2024-02-01,pooled,1040,273,0.2625,0.6656891495601173,0.8315018315018315,0.739413680781759,0.8414354007574347,227,114,46,653
1,4,2024-06-01,pooled,1040,338,0.325,0.7435064935064936,0.6775147928994083,0.7089783281733746,0.7824895901818979,229,79,109,623
1,4,2024-10-01,pooled,1040,140,0.1346153846153846,0.34534534534534533,0.8214285714285714,0.48625792811839325,0.7896031746031746,115,218,25,682
1,4,2021-02-01,partitioned,1040,214,0.20576923076923076,0.8070175438596491,0.42990654205607476,0.5609756097560976,0.7016360797447444,92,22,122,804
1,4,2021-06-01,partitioned,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
1,4,2021-10-01,partitioned,1040,262,0.2519230769230769,0.8602941176470589,0.44656488549618323,0.5879396984924623,0.7110716458329245,117,19,145,759
1,4,2022-02-01,partitioned,1040,375,0.3605769230769231,0.9014084507042254,0.3413333333333333,0.4951644100580271,0.660140350877193,128,14,247,651
1,4,2022-06-01,partitioned,1040,438,0.42115384615384616,0.9751552795031055,0.3584474885844749,0.5242070116861436,0.6759014851560248,157,4,281,598
1,4,2022-10-01,partitioned,1040,360,0.34615384615384615,0.7591836734693878,0.5166666666666667,0.6148760330578512,0.7149509803921569,186,59,174,621
1,4,2023-02-01,partitioned,1040,228,0.21923076923076923,0.6368876080691642,0.9692982456140351,0.768695652173913,0.9070629159104658,221,126,7,686
1,4,2023-06-01,partitioned,1040,400,0.38461538461538464,0.8316498316498316,0.6175,0.7087517934002869,0.7696875000000001,247,50,153,590
1,4,2023-10-01,partitioned,1040,216,0.2076923076923077,0.6733067729083665,0.7824074074074074,0.7237687366167024,0.8414464221503057,169,82,47,742
1,4,2024-02-01,partitioned,1040,273,0.2625,0.7326732673267327,0.8131868131868132,0.7708333333333334,0.8537902775190911,222,81,51,686
1,4,2024-06-01,partitioned,1040,338,0.325,0.715625,0.6775147928994083,0.6960486322188449,0.7739425816348893,229,91,109,611
1,4,2024-10-01,partitioned,1040,140,0.1346153846153846,0.3986013986013986,0.8142857142857143,0.5352112676056338,0.8115873015873016,114,172,26,728
1,4,2021-02-01,partitioned_thresholded,1040,214,0.20576923076923076,0.7191780821917808,0.49065420560747663,0.5833333333333334,0.7205087008666924,105,41,109,785
1,4,2021-06-01,partitioned_thresholded,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
1,4,2021-10-01,partitioned_thresholded,1040,262,0.2519230769230769,0.7709251101321586,0.6679389312977099,0.7157464212678937,0.8005504425126082,175,52,87,726
1,4,2022-02-01,partitioned_thresholded,1040,375,0.3605769230769231,0.8436213991769548,0.5466666666666666,0.6634304207119741,0.7447619047619047,205,38,170,627
1,4,2022-06-01,partitioned_thresholded,1040,438,0.42115384615384616,0.9665071770334929,0.4611872146118721,0.624420401854714,0.7247796538175639,202,7,236,595
1,4,2022-10-01,partitioned_thresholded,1040,360,0.34615384615384615,0.6783505154639176,0.9138888888888889,0.778698224852071,0.8422385620915033,329,156,31,524
1,4,2023-02-01,partitioned_thresholded,1040,228,0.21923076923076923,0.42830188679245285,0.9956140350877193,0.5989445910290238,0.8112306628640567,227,303,1,509
1,4,2023-06-01,partitioned_thresholded,1040,400,0.38461538461538464,0.7807606263982103,0.8725,0.8240850059031877,0.8596875,349,98,51,542
1,4,2023-10-01,partitioned_thresholded,1040,216,0.2076923076923077,0.5981308411214953,0.8888888888888888,0.7150837988826816,0.8661677454153183,192,129,24,695
1,4,2024-02-01,partitioned_thresholded,1040,273,0.2625,0.6424870466321243,0.9084249084249084,0.7526555386949925,0.8642515676413982,248,138,25,629
1,4,2024-06-01,partitioned_thresholded,1040,338,0.325,0.6889460154241646,0.7928994082840237,0.7372764786795049,0.8102673679596757,268,121,70,581
1,4,2024-10-01,partitioned_thresholded,1040,140,0.1346153846153846,0.3209549071618037,0.8642857142857143,0.46808510638297873,0.7899206349206349,121,256,19,644
2,8,2021-02-01,pooled,1040,214,0.20576923076923076,0.9482758620689655,0.2570093457943925,0.40441176470588236,0.6266886922676562,55,3,159,823
2,8,2021-06-01,pooled,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
2,8,2021-10-01,pooled,1040,262,0.2519230769230769,0.7435897435897436,0.22137404580152673,0.3411764705882353,0.5978335524637454,58,20,204,758
2,8,2022-02-01,pooled,1040,375,0.3605769230769231,0.9404761904761905,0.21066666666666667,0.3442265795206972,0.6015739348370928,79,5,296,660
