column,position_1based,raw_dtype,feature_family,field_role,loader_action,raw_null_n,raw_null_rate,inf_n,inf_rate,effective_missing_n,effective_missing_rate,unique_non_null,mode,mode_rate_non_null,constant_non_null,near_constant_ge_95pct,zero_rate_finite,negative_rate_finite,included_in_lightweight_probe,forecast_origin_availability
nightlight,51,float64,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,128484,0.0,0.3073450854700855,False,False,0.3073450854700855,0.0,True,undeclared_not_audited
nightlight_sd,52,float64,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,138614,0.0,0.25922542735042736,False,False,0.25922542735042736,0.0,True,undeclared_not_audited
elevation,53,int64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,830,2464,0.0038461538461538464,False,False,0.0,0.0009615384615384616,True,undeclared_not_audited
EVI,54,float64,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,181759,0.0,0.006372863247863248,False,False,0.006372863247863248,0.0,True,undeclared_not_audited
market_distance,55,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,929,0.004962606837606838,0,0.0,929,0.004962606837606838,3462,41.65172826075081,0.0009448599084130112,False,False,0.0,0.0,True,undeclared_not_audited
FAO_price,56,float64,price,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,929,0.004962606837606838,0,0.0,929,0.004962606837606838,2799,1000.0,0.006850234335994331,False,False,0.0,0.0,True,undeclared_not_audited
Rainf_f_tavg_mean,57,float64,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,153270,0.0,0.07727029914529915,False,False,0.07727029914529915,0.0,True,undeclared_not_audited
Tair_f_tavg_mean,58,float64,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,156800,293.697716849,0.0019284188034188034,False,False,0.0,0.0,True,undeclared_not_audited
gpp_mean,59,float64,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,158248,12789.53125,0.0019284188034188034,False,False,0.0,0.0,True,undeclared_not_audited
sg_cec_5-15cm,60,float64,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,313,248.0,0.011538461538461539,False,False,0.0,0.0,True,undeclared_not_audited
sg_cfvo_5-15cm,61,float64,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,231,143.0,0.014423076923076924,False,False,0.0,0.0,True,undeclared_not_audited
sg_nitrogen_5-15cm,62,float64,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,812,1613.0,0.0038461538461538464,False,False,0.0,0.0,True,undeclared_not_audited
sg_phh2o_5-15cm,63,float64,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,33,58.0,0.06442307692307692,False,False,0.0,0.0,True,undeclared_not_audited
sg_soc_5-15cm,64,float64,soil,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,331,234.0,0.010576923076923078,False,False,0.0,0.0,True,undeclared_not_audited
market_access,65,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,633,152.0,0.006730769230769231,False,False,0.0009615384615384616,0.0,True,undeclared_not_audited
ruggedness,66,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,840,0.8367436166491781,0.0038461538461538464,False,False,0.0,0.0,True,undeclared_not_audited
slope,67,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1026,1.0,0.014423076923076924,False,False,0.0,0.0,True,undeclared_not_audited
CPI,68,float64,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,12480,0.06666666666666667,0,0.0,12480,0.06666666666666667,14,8.14926403,0.07142857142857142,False,False,0.0,0.0,True,undeclared_not_audited
GDP,69,float64,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,12480,0.06666666666666667,0,0.0,12480,0.06666666666666667,14,1381.190376,0.07142857142857142,False,False,0.0,0.0,True,undeclared_not_audited
CC,70,float64,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,12480,0.06666666666666667,0,0.0,12480,0.06666666666666667,13,38.09523773,0.14285714285714285,False,False,0.0,0.0,True,undeclared_not_audited
gini,71,float64,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,112320,0.6,0,0.0,112320,0.6,6,0.331706008147,0.16666666666666666,False,False,0.0,0.0,True,undeclared_not_audited
WFP_Price,72,float64,price,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,10400,0.05555555555555555,0,0.0,10400,0.05555555555555555,158,2450.8717368421053,0.07647058823529412,False,False,0.0,0.0,True,undeclared_not_audited
WFP_Price_std,73,float64,price,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,11440,0.06111111111111111,0,0.0,11440,0.06111111111111111,157,2907.2326962385155,0.07692307692307693,False,False,0.0,0.0,True,undeclared_not_audited
fews_ipc,74,float64,ipc_target_projection,target_or_provider_projection_related,used_to_create_4_8_12_lags_then_dropped,135300,0.7227564102564102,0,0.0,135300,0.7227564102564102,4,1.0,0.489364161849711,False,False,0.0,0.0,False,undeclared_not_audited
fews_ha,75,float64,ipc_target_projection,target_or_provider_projection_related,retained_by_loader_then_dropped_inside_model_fit,144557,0.7722061965811966,0,0.0,144557,0.7722061965811966,2,0.0,0.898764158244026,False,False,0.898764158244026,0.0,False,undeclared_not_audited
fews_proj_near,76,float64,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,140558,0.750844017094017,0,0.0,140558,0.750844017094017,4,1.0,0.5151365721881566,False,False,0.0,0.0,False,undeclared_not_audited
fews_proj_near_ha,77,float64,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,144664,0.7727777777777778,0,0.0,144664,0.7727777777777778,2,0.0,0.9048335527553132,False,False,0.9048335527553132,0.0,False,undeclared_not_audited
fews_proj_med,78,float64,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,140558,0.750844017094017,0,0.0,140558,0.750844017094017,4,1.0,0.5133570601603705,False,False,0.0,0.0,False,undeclared_not_audited
fews_proj_med_ha,79,float64,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,144664,0.7727777777777778,0,0.0,144664,0.7727777777777778,2,0.0,0.9326217791987963,False,False,0.9326217791987963,0.0,False,undeclared_not_audited
pop,80,float64,agriculture_population,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,134160,0.7166666666666667,0,0.0,134160,0.7166666666666667,11408,0.0,0.0028846153846153848,False,False,0.0028846153846153848,0.0,True,undeclared_not_audited
fews_ipc_adjusted,81,float64,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,135300,0.7227564102564102,0,0.0,135300,0.7227564102564102,5,1.0,0.48102119460500964,False,False,0.0,0.0,False,undeclared_not_audited
fews_proj_med_adjusted,82,float64,ipc_target_projection,target_or_provider_projection_related,dropped_immediately_by_loader,140558,0.750844017094017,0,0.0,140558,0.750844017094017,5,1.0,0.5117276274602289,False,False,0.0,0.0,False,undeclared_not_audited
ISO3,83,str,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,0,0.0,0,0.0,0,0.0,1,ETH,1.0,True,True,,,False,undeclared_not_audited
Food_CPI,84,float64,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,18720,0.1,0,0.0,18720,0.1,161,294.42595,0.012345679012345678,False,False,0.0,0.0,True,undeclared_not_audited
Food_food_inflation,85,float64,macro,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,18720,0.1,0,0.0,18720,0.1,162,0.441763,0.006172839506172839,False,False,0.0,0.037037037037037035,True,undeclared_not_audited
Tair_zscore,86,float64,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,2880,0.015384615384615385,2880,0.015384615384615385,160994,inf,0.009615384615384616,False,False,0.0,0.5611870659722222,True,undeclared_not_audited
Rainf_zscore,87,float64,weather_derived,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,2880,0.015384615384615385,2880,0.015384615384615385,157562,-inf,0.007692307692307693,False,False,0.0,0.5688856336805556,True,undeclared_not_audited
fews_ipc_crisis,88,float64,ipc_target_projection,binary_target,filters_to_non_null_then_used_as_target,135300,0.7227564102564102,0,0.0,135300,0.7227564102564102,2,0.0,0.8115221579961465,False,False,0.8115221579961465,0.0,False,undeclared_not_audited
