column,position_1based,raw_dtype,feature_family,field_role,loader_action,raw_null_n,raw_null_rate,inf_n,inf_rate,effective_missing_n,effective_missing_rate,unique_non_null,mode,mode_rate_non_null,constant_non_null,near_constant_ge_95pct,zero_rate_finite,negative_rate_finite,included_in_lightweight_probe,forecast_origin_availability
unit_name,1,str,identifier_geography,identifier_or_time_metadata,dropped_after_ISO_encoding,0,0.0,0,0.0,0,0.0,1040,"Abaala, Kilbati /Zone2, Afar, Ethiopia",0.0009615384615384616,False,False,,,False,undeclared_not_audited
ADMIN0,2,str,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,0,0.0,0,0.0,0,0.0,1,Ethiopia,1.0,True,True,,,False,undeclared_not_audited
ADMIN1,3,str,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,0,0.0,0,0.0,0,0.0,12,Oromia,0.3211538461538462,False,False,,,False,undeclared_not_audited
ADMIN2,4,str,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,0,0.0,0,0.0,0,0.0,92,Sidama,0.035576923076923075,False,False,,,False,undeclared_not_audited
ADMIN3,5,str,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,0,0.0,0,0.0,0,0.0,1040,Abaala,0.0009615384615384616,False,False,,,False,undeclared_not_audited
FEWSNET_admin_code,6,int64,identifier_geography,identifier_or_time_metadata,retained_for_grouping_and_current_feature_matrix,0,0.0,0,0.0,0,0.0,1040,1112,0.0009615384615384616,False,False,0.0,0.0,True,undeclared_not_audited
ISO,7,str,identifier_geography,identifier_or_time_metadata,encoded_to_ISO_encoded_then_dropped,0,0.0,0,0.0,0,0.0,1,ET,1.0,True,True,,,False,undeclared_not_audited
lat,8,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1040,13.3689028786015,0.0009615384615384616,False,False,0.0,0.0,True,undeclared_not_audited
lon,9,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1040,39.876095859392905,0.0009615384615384616,False,False,0.0,0.0,True,undeclared_not_audited
date,10,str,time,identifier_or_time_metadata,parsed_to_datetime_and_used_for_dummies_splits_lags,0,0.0,0,0.0,0,0.0,180,2010-01,0.005555555555555556,False,False,,,False,undeclared_not_audited
month,11,int64,time,assembled_covariate,retained_by_loader_then_dropped_inside_model_fit,0,0.0,0,0.0,0,0.0,12,1,0.08333333333333333,False,False,0.0,0.0,True,undeclared_not_audited
distance_to_nearest_acled,12,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,93921,126.28710571160106,0.00043803418803418806,False,False,0.0,0.0,True,undeclared_not_audited
event_count_battles,13,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,18,0.0,0.45395833333333335,False,False,0.45395833333333335,0.0,True,undeclared_not_audited
event_count_explosions,14,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,8,0.0,0.9231303418803419,False,False,0.9231303418803419,0.0,True,undeclared_not_audited
event_count_violence,15,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,14,0.0,0.5115705128205128,False,False,0.5115705128205128,0.0,True,undeclared_not_audited
sum_fatalities_battles,16,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,109,0.0,0.5709455128205129,False,False,0.5709455128205129,0.0,True,undeclared_not_audited
sum_fatalities_explosions,17,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,37,0.0,0.9629700854700854,False,True,0.9629700854700854,0.0,True,undeclared_not_audited
sum_fatalities_violence,18,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,84,0.0,0.6758974358974359,False,False,0.6758974358974359,0.0,True,undeclared_not_audited
event_count_battles_w5,19,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,37,0.0,0.40433760683760683,False,False,0.40433760683760683,0.0,True,undeclared_not_audited
event_count_explosions_w5,20,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,11,0.0,0.8969391025641026,False,False,0.8969391025641026,0.0,True,undeclared_not_audited
event_count_violence_w5,21,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,17,0.0,0.44455662393162393,False,False,0.44455662393162393,0.0,True,undeclared_not_audited
sum_fatalities_battles_w5,22,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,142,0.0,0.5097702991452991,False,False,0.5097702991452991,0.0,True,undeclared_not_audited
sum_fatalities_explosions_w5,23,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,41,0.0,0.9432959401709402,False,False,0.9432959401709402,0.0,True,undeclared_not_audited
sum_fatalities_violence_w5,24,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,91,0.0,0.6011217948717948,False,False,0.6011217948717948,0.0,True,undeclared_not_audited
event_count_battles_w10,25,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,66,1.0,0.2258653846153846,False,False,0.20947115384615383,0.0,True,undeclared_not_audited
event_count_explosions_w10,26,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,15,0.0,0.7566933760683761,False,False,0.7566933760683761,0.0,True,undeclared_not_audited
event_count_violence_w10,27,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,43,0.0,0.2691292735042735,False,False,0.2691292735042735,0.0,True,undeclared_not_audited
sum_fatalities_battles_w10,28,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,164,0.0,0.26873397435897434,False,False,0.26873397435897434,0.0,True,undeclared_not_audited
sum_fatalities_explosions_w10,29,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,43,0.0,0.8527884615384616,False,False,0.8527884615384616,0.0,True,undeclared_not_audited
sum_fatalities_violence_w10,30,float64,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,116,0.0,0.3983653846153846,False,False,0.3983653846153846,0.0,True,undeclared_not_audited
AEZ_10000,31,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_12000,32,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_15000,33,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_17000,34,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_19000,35,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_25000,36,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_31000,37,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,2,True,0.7028846153846153,False,False,0.2971153846153846,0.0,True,undeclared_not_audited
AEZ_32000,38,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,2,False,0.7413461538461539,False,False,0.7413461538461539,0.0,True,undeclared_not_audited
AEZ_33000,39,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_34000,40,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_36000,41,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,2,False,0.9615384615384616,False,True,0.9615384615384616,0.0,True,undeclared_not_audited
AEZ_38000,42,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_4000,43,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_40000,44,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_43000,45,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_7000,46,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
AEZ_9000,47,bool,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,1,False,1.0,True,True,1.0,0.0,True,undeclared_not_audited
crop,48,float64,agriculture_population,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,623,11.0,0.016346153846153847,False,False,0.0,0.0,True,undeclared_not_audited
range,49,float64,agriculture_population,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,542,14.0,0.032692307692307694,False,False,0.0,0.0,True,undeclared_not_audited
distance_to_river,50,float64,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,0,0.0,0,0.0,0,0.0,700,0.0,0.1451923076923077,False,False,0.1451923076923077,0.0,True,undeclared_not_audited
