scope,forecasting_horizon,model,support,tp,fp,fn,tn,precision,recall,f1
fs1,4-month horizon,partitioned,62189.0,11399.0,3856.0,6779.0,40155.0,0.7398738732198527,0.6170578931559364,0.6665204639196014
fs1,4-month horizon,partitioned_thresholded,62189.0,13404.0,6485.0,4774.0,37526.0,0.6765344238968686,0.7217085495654997,0.6845274628112185
fs1,4-month horizon,pooled,62189.0,10023.0,3069.0,8155.0,40942.0,0.774711065256117,0.5296484981998036,0.611517203774731
fs2,8-month horizon,partitioned,62189.0,10946.0,3851.0,7232.0,40160.0,0.7313788264700744,0.589061371384359,0.6463312220769281
fs2,8-month horizon,partitioned_thresholded,62189.0,12669.0,6437.0,5509.0,37574.0,0.6576111129617629,0.6785450182697708,0.6586516893176384
fs2,8-month horizon,pooled,62189.0,9457.0,3073.0,8721.0,40938.0,0.7695182519529721,0.4986472925671794,0.5850316785920892
fs3,12-month horizon,partitioned,62189.0,9951.0,4526.0,8227.0,39485.0,0.6853535319638432,0.539693909339508,0.5967900865307145
fs3,12-month horizon,partitioned_thresholded,62189.0,12159.0,7454.0,6019.0,36557.0,0.6312466562095447,0.659984643366744,0.6277513812807614
fs3,12-month horizon,pooled,62189.0,8675.0,3457.0,9503.0,40554.0,0.7235338561844218,0.4575662296446113,0.5432814294182007
