split_design,candidate,train_minus_validation_f1,train_minus_test_f1,validation_minus_test_f1,train_minus_test_average_precision,test_minus_train_brier
blocked_time,regularized_without_admin_id,0.15635668448748352,0.13628681190143188,-0.02006987258605164,0.2758452291822491,0.11454393040086583
blocked_time,unrestricted_with_admin_id,0.40898246870782673,0.3889883853491647,-0.01999408335866204,0.37750855320432253,0.15724455592019934
blocked_time,unrestricted_without_admin_id,0.4108343924021838,0.39042684162518626,-0.02040755077699752,0.3663795485094722,0.15495750103986705
random_row_60_20_20,unrestricted_without_admin_id,0.1671694639885749,0.172352136462817,0.005182672474242089,0.08718410606484184,0.04601673410404624
