test_month,forecasting_scope,active_lag_months,threshold_enabled,selected_threshold,fallback_reason,validation_precision,validation_recall,validation_f1,validation_support,validation_positive_cases,fit_start,fit_end,validation_start,validation_end,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn
2021-02,2,8,True,0.31,,0.6450617283950617,0.5551128818061088,0.5967166309778729,10871,753,2017-10-01,2019-06-01,2019-10-01,2020-02-01,0.3938294010889292,0.4392712550607287,0.415311004784689,217,334,277,4597
2021-06,2,8,True,0.41,,0.6883365200764818,0.5454545454545454,0.6086221470836854,11012,660,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.5391304347826087,0.3668639053254438,0.43661971830985913,62,53,107,4163
2021-10,2,8,True,0.24,,0.28768020969855834,0.655223880597015,0.3998178506375228,10933,670,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.3864942528735632,0.8762214983713354,0.5363908275174476,269,427,38,4240
2022-02,2,8,True,0.38,,0.5532407407407407,0.29949874686716793,0.3886178861788618,10852,798,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.7864583333333334,0.3304157549234136,0.4653312788906009,151,41,306,4476
2022-06,2,8,True,0.35,,0.5837479270315091,0.530920060331825,0.5560821484992101,9810,663,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.8303886925795053,0.6545961002785515,0.7320872274143302,235,48,124,4457
2022-10,2,8,True,0.4,,0.6926605504587156,0.634453781512605,0.6622807017543859,9359,476,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.7027027027027027,0.23318385650224216,0.3501683501683502,52,22,171,4767
2023-02,2,8,True,0.31,,0.5676959619952494,0.6256544502617801,0.5952677459526775,9948,764,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.4528301886792453,0.631578947368421,0.5274725274725275,72,87,42,4659
2023-06,2,8,True,0.29,,0.7608695652173914,0.6004901960784313,0.6712328767123287,9838,816,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.7626628075253257,0.8009118541033434,0.781319495922906,527,164,131,4733
2023-10,2,8,True,0.3,,0.5621970920840065,0.5979381443298969,0.5795170691090757,9876,582,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.5073313782991202,0.5616883116883117,0.5331278890600925,173,168,135,4934
2024-02,2,8,True,0.32,,0.4760705289672544,0.5608308605341247,0.5149863760217983,9872,337,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.6613545816733067,0.570446735395189,0.6125461254612545,166,85,125,5321
2024-06,2,8,True,0.32,,0.7321899736147758,0.7189119170984456,0.7254901960784315,10415,772,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.5914786967418546,0.696165191740413,0.6395663956639566,236,163,103,5195
2024-10,2,8,True,0.25,,0.6565656565656566,0.6055900621118012,0.6300484652665589,10965,966,2021-06-01,2023-02-01,2023-06-01,2023-10-01,0.241635687732342,0.4642857142857143,0.3178484107579462,130,408,150,4648
