partition_id,training_rows,classes_present,local_model_fitted,reason
0,2200,2,True,
1,342,2,True,
2,5660,2,True,
3,800,2,True,
4,1780,1,False,single_class
5,640,1,False,single_class
6,470,1,False,single_class
7,3804,2,True,
8,684,2,True,
9,1470,2,True,
10,1982,2,True,
11,1300,2,True,
12,3256,2,True,
13,1100,2,True,
14,2170,2,True,
15,1410,2,True,
16,1930,2,True,
17,3250,2,True,
