period,horizon_months,cohort,dimension,target_month,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,3,E_persist,target_month,2026-02,partitioned_rf,10,10,2,10,1.0,2,2,0,8,0,0.3333333333333333,1.0,0.2,,,
partial_2026,3,E_persist,target_month,2026-02,pooled_rf,10,10,2,10,1.0,2,2,0,8,0,0.3333333333333333,1.0,0.2,,,
partial_2026,3,E_persist,target_month,2026-02,xgb,10,10,2,10,1.0,3,3,0,7,0,0.46153846153846156,1.0,0.3,,,
partial_2026,3,E_persist,target_month,2026-02,persistence,10,10,2,10,1.0,1,1,0,9,0,0.18181818181818182,1.0,0.1,,,
partial_2026,3,E_persist,target_month,2026-04,partitioned_rf,97,97,3,82,0.845360824742268,56,48,8,34,7,0.6956521739130435,0.8571428571428571,0.5853658536585366,,,
partial_2026,3,E_persist,target_month,2026-04,pooled_rf,97,97,3,82,0.845360824742268,71,59,12,23,3,0.7712418300653595,0.8309859154929577,0.7195121951219512,,,
partial_2026,3,E_persist,target_month,2026-04,xgb,97,97,3,82,0.845360824742268,57,46,11,36,4,0.6618705035971223,0.8070175438596491,0.5609756097560976,,,
partial_2026,3,E_persist,target_month,2026-04,persistence,97,97,3,82,0.845360824742268,44,38,6,44,9,0.6031746031746031,0.8636363636363636,0.4634146341463415,,,
partial_2026,6,E_all,target_month,2026-01,partitioned_rf,30,30,1,5,0.16666666666666666,23,5,18,0,7,0.35714285714285715,0.21739130434782608,1.0,,,
partial_2026,6,E_all,target_month,2026-01,pooled_rf,30,30,1,5,0.16666666666666666,21,5,16,0,9,0.38461538461538464,0.23809523809523808,1.0,,,
partial_2026,6,E_all,target_month,2026-01,xgb,30,30,1,5,0.16666666666666666,23,5,18,0,7,0.35714285714285715,0.21739130434782608,1.0,,,
partial_2026,6,E_all,target_month,2026-02,partitioned_rf,10,10,2,10,1.0,5,5,0,5,0,0.6666666666666666,1.0,0.5,,,
partial_2026,6,E_all,target_month,2026-02,pooled_rf,10,10,2,10,1.0,5,5,0,5,0,0.6666666666666666,1.0,0.5,,,
partial_2026,6,E_all,target_month,2026-02,xgb,10,10,2,10,1.0,5,5,0,5,0,0.6666666666666666,1.0,0.5,,,
partial_2026,6,E_all,target_month,2026-04,partitioned_rf,97,97,3,82,0.845360824742268,86,71,15,11,0,0.8452380952380952,0.8255813953488372,0.8658536585365854,,,
partial_2026,6,E_all,target_month,2026-04,pooled_rf,97,97,3,82,0.845360824742268,88,73,15,9,0,0.8588235294117647,0.8295454545454546,0.8902439024390244,,,
partial_2026,6,E_all,target_month,2026-04,xgb,97,97,3,82,0.845360824742268,22,20,2,62,13,0.38461538461538464,0.9090909090909091,0.24390243902439024,,,
partial_2026,6,E_persist,target_month,2026-01,partitioned_rf,30,30,1,5,0.16666666666666666,23,5,18,0,7,0.35714285714285715,0.21739130434782608,1.0,,,
partial_2026,6,E_persist,target_month,2026-01,pooled_rf,30,30,1,5,0.16666666666666666,21,5,16,0,9,0.38461538461538464,0.23809523809523808,1.0,,,
partial_2026,6,E_persist,target_month,2026-01,xgb,30,30,1,5,0.16666666666666666,23,5,18,0,7,0.35714285714285715,0.21739130434782608,1.0,,,
partial_2026,6,E_persist,target_month,2026-01,persistence,30,30,1,5,0.16666666666666666,24,5,19,0,6,0.3448275862068966,0.20833333333333334,1.0,,,
partial_2026,6,E_persist,target_month,2026-02,partitioned_rf,10,10,2,10,1.0,5,5,0,5,0,0.6666666666666666,1.0,0.5,,,
partial_2026,6,E_persist,target_month,2026-02,pooled_rf,10,10,2,10,1.0,5,5,0,5,0,0.6666666666666666,1.0,0.5,,,
partial_2026,6,E_persist,target_month,2026-02,xgb,10,10,2,10,1.0,5,5,0,5,0,0.6666666666666666,1.0,0.5,,,
partial_2026,6,E_persist,target_month,2026-02,persistence,10,10,2,10,1.0,6,6,0,4,0,0.75,1.0,0.6,,,
partial_2026,6,E_persist,target_month,2026-04,partitioned_rf,97,97,3,82,0.845360824742268,86,71,15,11,0,0.8452380952380952,0.8255813953488372,0.8658536585365854,,,
partial_2026,6,E_persist,target_month,2026-04,pooled_rf,97,97,3,82,0.845360824742268,88,73,15,9,0,0.8588235294117647,0.8295454545454546,0.8902439024390244,,,
partial_2026,6,E_persist,target_month,2026-04,xgb,97,97,3,82,0.845360824742268,22,20,2,62,13,0.38461538461538464,0.9090909090909091,0.24390243902439024,,,
partial_2026,6,E_persist,target_month,2026-04,persistence,97,97,3,82,0.845360824742268,58,50,8,32,7,0.7142857142857143,0.8620689655172413,0.6097560975609756,,,
partial_2026,12,E_all,target_month,2026-01,partitioned_rf,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_all,target_month,2026-01,pooled_rf,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_all,target_month,2026-01,xgb,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_all,target_month,2026-02,partitioned_rf,10,10,2,10,1.0,0,0,0,10,0,0.0,,0.0,,no_predicted_positives,
partial_2026,12,E_all,target_month,2026-02,pooled_rf,10,10,2,10,1.0,1,1,0,9,0,0.18181818181818182,1.0,0.1,,,
partial_2026,12,E_all,target_month,2026-02,xgb,10,10,2,10,1.0,0,0,0,10,0,0.0,,0.0,,no_predicted_positives,
partial_2026,12,E_all,target_month,2026-04,partitioned_rf,97,97,3,82,0.845360824742268,87,72,15,10,0,0.8520710059171598,0.8275862068965517,0.8780487804878049,,,
partial_2026,12,E_all,target_month,2026-04,pooled_rf,97,97,3,82,0.845360824742268,87,72,15,10,0,0.8520710059171598,0.8275862068965517,0.8780487804878049,,,
partial_2026,12,E_all,target_month,2026-04,xgb,97,97,3,82,0.845360824742268,73,58,15,24,0,0.7483870967741936,0.7945205479452054,0.7073170731707317,,,
partial_2026,12,E_persist,target_month,2026-01,partitioned_rf,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_persist,target_month,2026-01,pooled_rf,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_persist,target_month,2026-01,xgb,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_persist,target_month,2026-01,persistence,30,30,1,5,0.16666666666666666,5,5,0,0,25,1.0,1.0,1.0,,,
partial_2026,12,E_persist,target_month,2026-02,partitioned_rf,10,10,2,10,1.0,0,0,0,10,0,0.0,,0.0,,no_predicted_positives,
partial_2026,12,E_persist,target_month,2026-02,pooled_rf,10,10,2,10,1.0,1,1,0,9,0,0.18181818181818182,1.0,0.1,,,
partial_2026,12,E_persist,target_month,2026-02,xgb,10,10,2,10,1.0,0,0,0,10,0,0.0,,0.0,,no_predicted_positives,
partial_2026,12,E_persist,target_month,2026-02,persistence,10,10,2,10,1.0,4,4,0,6,0,0.5714285714285714,1.0,0.4,,,
partial_2026,12,E_persist,target_month,2026-04,partitioned_rf,97,97,3,82,0.845360824742268,87,72,15,10,0,0.8520710059171598,0.8275862068965517,0.8780487804878049,,,
partial_2026,12,E_persist,target_month,2026-04,pooled_rf,97,97,3,82,0.845360824742268,87,72,15,10,0,0.8520710059171598,0.8275862068965517,0.8780487804878049,,,
partial_2026,12,E_persist,target_month,2026-04,xgb,97,97,3,82,0.845360824742268,73,58,15,24,0,0.7483870967741936,0.7945205479452054,0.7073170731707317,,,
partial_2026,12,E_persist,target_month,2026-04,persistence,97,97,3,82,0.845360824742268,90,75,15,7,0,0.872093023255814,0.8333333333333334,0.9146341463414634,,,
