FEWSNET_admin_code,n,f1_pooled,f1_partitioned,f1_diff,precision_pooled,precision_partitioned,recall_pooled,recall_partitioned,pct_err_all_pooled,pct_err_all_partitioned,pct_err_class1_pooled,pct_err_class1_partitioned
0,8,0.9333333333333333,0.9333333333333333,0.0,1.0,1.0,0.875,0.875,0.125,0.125,0.125,0.125
1,8,1.0,0.8571428571428572,-0.1428571428571428,1.0,1.0,1.0,0.75,0.0,0.25,0.0,0.25
2,8,0.9333333333333333,0.7692307692307692,-0.16410256410256419,1.0,1.0,0.875,0.625,0.125,0.375,0.125,0.375
3,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
4,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
5,8,0.8571428571428572,0.7692307692307692,-0.08791208791208804,1.0,1.0,0.75,0.625,0.25,0.375,0.25,0.375
6,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
7,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
8,8,0.9333333333333333,0.9333333333333333,0.0,1.0,1.0,0.875,0.875,0.125,0.125,0.125,0.125
9,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
10,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
11,8,0.7272727272727273,0.8333333333333334,0.10606060606060608,0.6666666666666666,0.7142857142857143,0.8,1.0,0.375,0.25,0.2,0.0
12,8,0.7692307692307692,0.9333333333333333,0.16410256410256419,1.0,1.0,0.625,0.875,0.375,0.125,0.375,0.125
13,8,0.7692307692307692,0.9333333333333333,0.16410256410256419,1.0,1.0,0.625,0.875,0.375,0.125,0.375,0.125
14,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
15,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
16,8,0.0,0.5,0.5,0.0,0.4,0.0,0.6666666666666666,0.875,0.5,1.0,0.3333333333333333
17,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
18,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
19,8,0.9333333333333333,0.7692307692307692,-0.16410256410256419,1.0,1.0,0.875,0.625,0.125,0.375,0.125,0.375
20,8,0.8571428571428572,0.6666666666666666,-0.19047619047619058,1.0,1.0,0.75,0.5,0.25,0.5,0.25,0.5
21,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
22,8,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6,0.0,0.75,1.0,0.375,1.0,0.25
23,8,0.9333333333333333,1.0,0.06666666666666665,1.0,1.0,0.875,1.0,0.125,0.0,0.125,0.0
24,8,0.7692307692307692,1.0,0.23076923076923084,1.0,1.0,0.625,1.0,0.375,0.0,0.375,0.0
25,8,0.7692307692307692,0.7692307692307692,0.0,1.0,1.0,0.625,0.625,0.375,0.375,0.375,0.375
26,8,0.8571428571428572,0.7692307692307692,-0.08791208791208804,1.0,1.0,0.75,0.625,0.25,0.375,0.25,0.375
27,8,0.7692307692307692,0.9333333333333333,0.16410256410256419,1.0,1.0,0.625,0.875,0.375,0.125,0.375,0.125
28,8,0.7692307692307692,0.9333333333333333,0.16410256410256419,1.0,1.0,0.625,0.875,0.375,0.125,0.375,0.125
29,8,0.7692307692307692,0.8571428571428572,0.08791208791208804,1.0,1.0,0.625,0.75,0.375,0.25,0.375,0.25
30,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
31,8,0.6666666666666666,0.8571428571428572,0.19047619047619058,1.0,1.0,0.5,0.75,0.5,0.25,0.5,0.25
32,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
33,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
34,8,0.7272727272727273,0.7692307692307694,0.04195804195804209,1.0,0.8333333333333334,0.5714285714285714,0.7142857142857143,0.375,0.375,0.42857142857142855,0.2857142857142857
35,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
36,8,0.9333333333333333,0.9333333333333333,0.0,1.0,1.0,0.875,0.875,0.125,0.125,0.125,0.125
37,8,0.7692307692307694,0.7272727272727273,-0.04195804195804209,0.7142857142857143,0.8,0.8333333333333334,0.6666666666666666,0.375,0.375,0.16666666666666666,0.3333333333333333
38,8,0.8571428571428572,0.7692307692307692,-0.08791208791208804,1.0,1.0,0.75,0.625,0.25,0.375,0.25,0.375
39,8,0.8571428571428572,0.7692307692307692,-0.08791208791208804,1.0,1.0,0.75,0.625,0.25,0.375,0.25,0.375
40,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
41,8,0.0,0.5714285714285714,0.5714285714285714,0.0,0.5,0.0,0.6666666666666666,0.75,0.375,1.0,0.3333333333333333
42,8,0.7692307692307692,1.0,0.23076923076923084,1.0,1.0,0.625,1.0,0.375,0.0,0.375,0.0
43,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
44,8,0.9333333333333333,1.0,0.06666666666666665,1.0,1.0,0.875,1.0,0.125,0.0,0.125,0.0
45,8,0.7692307692307692,0.6666666666666666,-0.10256410256410253,1.0,1.0,0.625,0.5,0.375,0.5,0.375,0.5
46,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
47,8,0.6666666666666666,0.9333333333333333,0.2666666666666667,1.0,1.0,0.5,0.875,0.5,0.125,0.5,0.125
48,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
49,8,0.9333333333333333,0.7692307692307692,-0.16410256410256419,1.0,1.0,0.875,0.625,0.125,0.375,0.125,0.375
50,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
51,8,0.0,0.3333333333333333,0.3333333333333333,0.0,0.25,0.0,0.5,0.625,0.5,1.0,0.5
52,8,0.8571428571428572,1.0,0.1428571428571428,1.0,1.0,0.75,1.0,0.25,0.0,0.25,0.0
53,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
54,8,0.9333333333333333,0.9333333333333333,0.0,1.0,1.0,0.875,0.875,0.125,0.125,0.125,0.125
55,8,0.8571428571428572,0.7692307692307692,-0.08791208791208804,1.0,1.0,0.75,0.625,0.25,0.375,0.25,0.375
56,8,0.7692307692307692,0.7692307692307692,0.0,1.0,1.0,0.625,0.625,0.375,0.375,0.375,0.375
57,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
58,8,1.0,0.9333333333333333,-0.06666666666666665,1.0,1.0,1.0,0.875,0.0,0.125,0.0,0.125
59,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
60,8,0.8571428571428572,0.8571428571428572,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.25
61,8,0.6666666666666666,0.9333333333333333,0.2666666666666667,1.0,1.0,0.5,0.875,0.5,0.125,0.5,0.125
62,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
63,8,0.5454545454545454,0.5454545454545454,0.0,0.6,0.6,0.5,0.5,0.625,0.625,0.5,0.5
64,8,0.7692307692307692,1.0,0.23076923076923084,1.0,1.0,0.625,1.0,0.375,0.0,0.375,0.0
65,8,0.9333333333333333,0.6666666666666666,-0.2666666666666667,1.0,1.0,0.875,0.5,0.125,0.5,0.125,0.5
66,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
67,8,0.7692307692307692,0.8571428571428572,0.08791208791208804,1.0,1.0,0.625,0.75,0.375,0.25,0.375,0.25
68,8,0.8333333333333334,0.9333333333333333,0.09999999999999998,1.0,0.875,0.7142857142857143,1.0,0.25,0.125,0.2857142857142857,0.0
69,8,0.8571428571428572,0.9333333333333333,0.07619047619047614,1.0,1.0,0.75,0.875,0.25,0.125,0.25,0.125
70,8,0.9333333333333333,0.7692307692307692,-0.16410256410256419,1.0,1.0,0.875,0.625,0.125,0.375,0.125,0.375
