period,horizon_months,cohort,n_observations,n_areas,n_countries,n_positive_truth,prevalence,n_target_months_present,n_scheduled_target_months,n_scheduled_target_months_present,n_scheduled_target_months_absent,n_e_all_reference,n_persistence_available,persistence_coverage,n_persistence_missing,assignment_learned,assignment_nearest_donor,assignment_unresolved,route_partition:0,route_pooled_rf
partial_2026,1,E_all,4092,3710,32,1923,0.46994134897360706,4,,,,4092,4089,0.999266862170088,3,1829,1877,386,3706,386
partial_2026,1,E_persist,4089,3707,32,1920,0.46955245781364635,4,,,,4092,4089,0.999266862170088,0,1829,1874,386,3703,386
partial_2026,3,E_all,4092,3710,32,1923,0.46994134897360706,4,,,,4092,4089,0.999266862170088,3,1829,1877,386,3706,386
partial_2026,3,E_persist,4089,3707,32,1920,0.46955245781364635,4,,,,4092,4089,0.999266862170088,0,1829,1874,386,3703,386
partial_2026,6,E_all,4092,3710,32,1923,0.46994134897360706,4,,,,4092,4089,0.999266862170088,3,1829,1877,386,3706,386
partial_2026,6,E_persist,4089,3707,32,1920,0.46955245781364635,4,,,,4092,4089,0.999266862170088,0,1829,1874,386,3703,386
partial_2026,12,E_all,4092,3710,32,1923,0.46994134897360706,4,,,,4092,4040,0.9872922776148583,52,1829,1877,386,3706,386
partial_2026,12,E_persist,4040,3660,31,1917,0.4745049504950495,4,,,,4092,4040,0.9872922776148583,0,1829,1836,375,3665,375
