test_month,model,precision,recall,f1,n,tp,fp,fn,tn,pct_err_all,pct_err_class1
2021-02,pooled,0.7339130434782609,0.3490488006617039,0.4730941704035875,5425,422,153,787,4063,0.17327188940092167,0.6509511993382961
2021-02,partitioned,0.5331491712707183,0.47890818858560796,0.5045751633986928,5425,579,507,630,3709,0.2095852534562212,0.5210918114143921
2021-06,pooled,0.4915254237288136,0.2668711656441718,0.3459244532803181,4385,261,270,717,3137,0.2250855188141391,0.7331288343558282
2021-06,partitioned,0.46381578947368424,0.4325153374233129,0.4476190476190476,4385,423,489,555,2918,0.23808437856328393,0.5674846625766872
2021-10,pooled,0.6381156316916489,0.27214611872146116,0.381562099871959,4974,298,169,797,3710,0.1942098914354644,0.7278538812785388
2021-10,partitioned,0.6864931846344485,0.5059360730593607,0.5825446898002103,4974,554,253,541,3626,0.15963007639726579,0.4940639269406393
2022-02,pooled,0.8666666666666667,0.2805124747134187,0.423841059602649,4974,416,64,1067,3427,0.22738238841978287,0.7194875252865812
2022-02,partitioned,0.7546628407460545,0.35468644639244773,0.4825688073394495,4974,526,171,957,3320,0.22677925211097708,0.6453135536075523
2022-06,pooled,0.7773809523809524,0.40184615384615385,0.529817444219067,4864,653,187,972,3052,0.23828125,0.5981538461538461
2022-06,partitioned,0.7119796091758709,0.5156923076923077,0.5981441827266238,4864,838,339,787,2900,0.2314967105263158,0.48430769230769233
2022-10,pooled,0.758893280632411,0.3575418994413408,0.48607594936708853,5012,576,183,1035,3218,0.2430167597765363,0.6424581005586593
2022-10,partitioned,0.7494802494802495,0.4475481067659839,0.5604352895452779,5012,721,241,890,3160,0.225658419792498,0.5524518932340161
2023-02,pooled,0.8369426751592357,0.5173228346456693,0.6394160583941605,4860,657,128,613,3462,0.15246913580246912,0.4826771653543307
2023-02,partitioned,0.7640552995391705,0.6527559055118111,0.7040339702760086,4860,829,256,441,3334,0.1434156378600823,0.347244094488189
2023-06,pooled,0.8828382838283828,0.548436699128652,0.676572873853936,5555,1070,142,881,3462,0.18415841584158416,0.45156330087134805
2023-06,partitioned,0.8486932599724897,0.6324961558175295,0.7248164464023494,5555,1234,220,717,3384,0.16867686768676868,0.3675038441824705
2023-10,pooled,0.7317666126418152,0.5368608799048752,0.6193415637860081,5410,903,331,779,3397,0.20517560073937152,0.46313912009512487
2023-10,partitioned,0.73359375,0.5582639714625446,0.6340310600945307,5410,939,341,743,3387,0.20036968576709796,0.4417360285374554
2024-02,pooled,0.7586408904510837,0.6695966907962771,0.7113430376270256,5697,1295,412,639,3351,0.18448306126031244,0.33040330920372285
2024-02,partitioned,0.7551259519625073,0.6664943123061013,0.7080472397692941,5697,1289,418,645,3345,0.18658943303493067,0.33350568769389866
2024-06,pooled,0.681577398469688,0.5911179173047473,0.6331328594860579,5697,1158,541,801,3197,0.23556257679480427,0.40888208269525267
2024-06,partitioned,0.6714285714285714,0.5518121490556407,0.605771924908938,5697,1081,529,878,3209,0.2469720905739863,0.44818785094435937
2024-10,pooled,0.5241454150841021,0.6994931209268646,0.5992555831265508,5336,966,877,415,3078,0.24212893553223389,0.3005068790731354
2024-10,partitioned,0.5517647058823529,0.6792179580014482,0.6088932164881532,5336,938,762,443,3193,0.22582458770614694,0.32078204199855176
