period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,target_year,2023,partitioned_rf,2043,1545,29,1228,0.6010768477728831,1295,933,362,295,453,0.7395957193816884,0.7204633204633205,0.759771986970684,,,
main,1,E_all,target_year,2023,pooled_rf,2043,1545,29,1228,0.6010768477728831,1294,938,356,290,459,0.7438540840602696,0.7248840803709428,0.7638436482084691,,,
main,1,E_all,target_year,2023,xgb,2043,1545,29,1228,0.6010768477728831,1317,955,362,273,453,0.75049115913556,0.7251328777524677,0.7776872964169381,,,
main,1,E_all,target_year,2024,partitioned_rf,2145,1722,28,1194,0.5566433566433566,1276,872,404,322,547,0.7060728744939271,0.6833855799373041,0.7303182579564489,,,
main,1,E_all,target_year,2024,pooled_rf,2145,1722,28,1194,0.5566433566433566,1232,857,375,337,576,0.7065127782357791,0.6956168831168831,0.7177554438860971,,,
main,1,E_all,target_year,2024,xgb,2145,1722,28,1194,0.5566433566433566,1324,895,429,299,522,0.7108816521048451,0.6759818731117825,0.7495812395309883,,,
main,1,E_all,target_year,2025,partitioned_rf,7332,4457,33,3431,0.46794871794871795,4906,2792,2114,639,1787,0.669785294470433,0.569099062372605,0.8137569221801224,,,
main,1,E_all,target_year,2025,pooled_rf,7332,4457,33,3431,0.46794871794871795,4940,2824,2116,607,1785,0.6747103094015052,0.5716599190283401,0.8230836490819003,,,
main,1,E_all,target_year,2025,xgb,7332,4457,33,3431,0.46794871794871795,4658,2727,1931,704,1970,0.6742489800964272,0.5854443967367969,0.794812008160886,,,
main,1,E_persist,target_year,2023,partitioned_rf,1496,1309,24,889,0.5942513368983957,839,630,209,259,398,0.7291666666666666,0.7508939213349225,0.7086614173228346,,,
main,1,E_persist,target_year,2023,pooled_rf,1496,1309,24,889,0.5942513368983957,836,632,204,257,403,0.7327536231884058,0.7559808612440191,0.7109111361079865,,,
main,1,E_persist,target_year,2023,xgb,1496,1309,24,889,0.5942513368983957,867,659,208,230,399,0.7505694760820045,0.7600922722029988,0.7412823397075365,,,
main,1,E_persist,target_year,2023,persistence,1496,1309,24,889,0.5942513368983957,813,629,184,260,423,0.7391304347826086,0.7736777367773677,0.7075365579302587,,,
main,1,E_persist,target_year,2024,partitioned_rf,1576,1174,24,758,0.48096446700507617,834,529,305,229,513,0.664572864321608,0.6342925659472423,0.6978891820580475,,,
main,1,E_persist,target_year,2024,pooled_rf,1576,1174,24,758,0.48096446700507617,804,519,285,239,533,0.6645326504481434,0.6455223880597015,0.6846965699208444,,,
main,1,E_persist,target_year,2024,xgb,1576,1174,24,758,0.48096446700507617,873,544,329,214,489,0.6670754138565297,0.6231386025200458,0.7176781002638523,,,
main,1,E_persist,target_year,2024,persistence,1576,1174,24,758,0.48096446700507617,754,563,191,195,627,0.7447089947089947,0.746684350132626,0.7427440633245382,,,
main,1,E_persist,target_year,2025,partitioned_rf,7129,4318,33,3360,0.47131434983868703,4757,2729,2028,631,1741,0.6724159172107922,0.5736808913180576,0.812202380952381,,,
main,1,E_persist,target_year,2025,pooled_rf,7129,4318,33,3360,0.47131434983868703,4803,2762,2041,598,1728,0.676711993139777,0.5750572558817406,0.8220238095238095,,,
main,1,E_persist,target_year,2025,xgb,7129,4318,33,3360,0.47131434983868703,4540,2671,1869,689,1900,0.6762025316455696,0.5883259911894273,0.7949404761904761,,,
main,1,E_persist,target_year,2025,persistence,7129,4318,33,3360,0.47131434983868703,3832,2432,1400,928,2369,0.6763070077864294,0.6346555323590815,0.7238095238095238,,,
main,3,E_all,target_year,2023,partitioned_rf,1640,1441,25,968,0.5902439024390244,940,684,256,284,416,0.7169811320754716,0.7276595744680852,0.7066115702479339,,,
main,3,E_all,target_year,2023,pooled_rf,1640,1441,25,968,0.5902439024390244,940,678,262,290,410,0.710691823899371,0.7212765957446808,0.7004132231404959,,,
main,3,E_all,target_year,2023,xgb,1640,1441,25,968,0.5902439024390244,1017,733,284,235,388,0.7385390428211587,0.7207472959685349,0.7572314049586777,,,
