period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,target_year,2023,partitioned_rf,1192,1192,18,145,0.12164429530201343,112,93,19,52,1028,0.7237354085603113,0.8303571428571429,0.6413793103448275,,,
main,1,E_all,target_year,2023,pooled_rf,1192,1192,18,145,0.12164429530201343,112,94,18,51,1029,0.7315175097276264,0.8392857142857143,0.6482758620689655,,,
main,1,E_all,target_year,2023,xgb,1192,1192,18,145,0.12164429530201343,127,102,25,43,1022,0.75,0.8031496062992126,0.7034482758620689,,,
main,1,E_all,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,207,167,40,194,1749,0.5880281690140845,0.8067632850241546,0.4626038781163435,,,
main,1,E_all,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,247,185,62,176,1727,0.6085526315789473,0.7489878542510121,0.5124653739612188,,,
main,1,E_all,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,295,207,88,154,1701,0.6310975609756098,0.7016949152542373,0.5734072022160664,,,
main,1,E_all,target_year,2025,partitioned_rf,2460,1283,18,433,0.17601626016260163,267,153,114,280,1913,0.43714285714285717,0.5730337078651685,0.3533487297921478,,,
main,1,E_all,target_year,2025,pooled_rf,2460,1283,18,433,0.17601626016260163,495,197,298,236,1729,0.4245689655172414,0.397979797979798,0.45496535796766746,,,
main,1,E_all,target_year,2025,xgb,2460,1283,18,433,0.17601626016260163,535,193,342,240,1685,0.3987603305785124,0.36074766355140186,0.4457274826789838,,,
main,1,E_persist,target_year,2023,partitioned_rf,1192,1192,18,145,0.12164429530201343,112,93,19,52,1028,0.7237354085603113,0.8303571428571429,0.6413793103448275,,,
main,1,E_persist,target_year,2023,pooled_rf,1192,1192,18,145,0.12164429530201343,112,94,18,51,1029,0.7315175097276264,0.8392857142857143,0.6482758620689655,,,
main,1,E_persist,target_year,2023,xgb,1192,1192,18,145,0.12164429530201343,127,102,25,43,1022,0.75,0.8031496062992126,0.7034482758620689,,,
main,1,E_persist,target_year,2023,persistence,1192,1192,18,145,0.12164429530201343,159,118,41,27,1006,0.7763157894736842,0.7421383647798742,0.8137931034482758,,,
main,1,E_persist,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,207,167,40,194,1749,0.5880281690140845,0.8067632850241546,0.4626038781163435,,,
main,1,E_persist,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,247,185,62,176,1727,0.6085526315789473,0.7489878542510121,0.5124653739612188,,,
main,1,E_persist,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,295,207,88,154,1701,0.6310975609756098,0.7016949152542373,0.5734072022160664,,,
main,1,E_persist,target_year,2024,persistence,2150,1238,18,361,0.16790697674418606,325,225,100,136,1689,0.6559766763848397,0.6923076923076923,0.6232686980609419,,,
main,1,E_persist,target_year,2025,partitioned_rf,2459,1283,18,432,0.17568117120780805,267,153,114,279,1913,0.43776824034334766,0.5730337078651685,0.3541666666666667,,,
main,1,E_persist,target_year,2025,pooled_rf,2459,1283,18,432,0.17568117120780805,495,197,298,235,1729,0.4250269687162891,0.397979797979798,0.45601851851851855,,,
main,1,E_persist,target_year,2025,xgb,2459,1283,18,432,0.17568117120780805,535,193,342,239,1685,0.39917269906928643,0.36074766355140186,0.44675925925925924,,,
main,1,E_persist,target_year,2025,persistence,2459,1283,18,432,0.17568117120780805,441,213,228,219,1799,0.4879725085910653,0.48299319727891155,0.4930555555555556,,,
main,3,E_all,target_year,2023,partitioned_rf,1192,1192,18,145,0.12164429530201343,110,92,18,53,1029,0.7215686274509804,0.8363636363636363,0.6344827586206897,,,
main,3,E_all,target_year,2023,pooled_rf,1192,1192,18,145,0.12164429530201343,111,94,17,51,1030,0.734375,0.8468468468468469,0.6482758620689655,,,
main,3,E_all,target_year,2023,xgb,1192,1192,18,145,0.12164429530201343,112,91,21,54,1026,0.708171206225681,0.8125,0.6275862068965518,,,
main,3,E_all,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,227,177,50,184,1739,0.6020408163265306,0.7797356828193832,0.4903047091412742,,,
main,3,E_all,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,246,180,66,181,1723,0.5930807248764415,0.7317073170731707,0.4986149584487535,,,
main,3,E_all,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,302,219,83,142,1706,0.6606334841628959,0.7251655629139073,0.6066481994459834,,,
main,3,E_all,target_year,2025,partitioned_rf,2460,1283,18,433,0.17601626016260163,315,160,155,273,1872,0.42780748663101603,0.5079365079365079,0.3695150115473441,,,
main,3,E_all,target_year,2025,pooled_rf,2460,1283,18,433,0.17601626016260163,469,181,288,252,1739,0.401330376940133,0.3859275053304904,0.418013856812933,,,
main,3,E_all,target_year,2025,xgb,2460,1283,18,433,0.17601626016260163,479,226,253,207,1774,0.4956140350877193,0.4718162839248434,0.5219399538106235,,,
main,3,E_persist,target_year,2023,partitioned_rf,1192,1192,18,145,0.12164429530201343,110,92,18,53,1029,0.7215686274509804,0.8363636363636363,0.6344827586206897,,,
main,3,E_persist,target_year,2023,pooled_rf,1192,1192,18,145,0.12164429530201343,111,94,17,51,1030,0.734375,0.8468468468468469,0.6482758620689655,,,
main,3,E_persist,target_year,2023,xgb,1192,1192,18,145,0.12164429530201343,112,91,21,54,1026,0.708171206225681,0.8125,0.6275862068965518,,,
main,3,E_persist,target_year,2023,persistence,1192,1192,18,145,0.12164429530201343,159,118,41,27,1006,0.7763157894736842,0.7421383647798742,0.8137931034482758,,,
main,3,E_persist,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,227,177,50,184,1739,0.6020408163265306,0.7797356828193832,0.4903047091412742,,,
main,3,E_persist,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,246,180,66,181,1723,0.5930807248764415,0.7317073170731707,0.4986149584487535,,,
main,3,E_persist,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,302,219,83,142,1706,0.6606334841628959,0.7251655629139073,0.6066481994459834,,,
main,3,E_persist,target_year,2024,persistence,2150,1238,18,361,0.16790697674418606,325,225,100,136,1689,0.6559766763848397,0.6923076923076923,0.6232686980609419,,,
main,3,E_persist,target_year,2025,partitioned_rf,2459,1283,18,432,0.17568117120780805,315,160,155,272,1872,0.428380187416332,0.5079365079365079,0.37037037037037035,,,
main,3,E_persist,target_year,2025,pooled_rf,2459,1283,18,432,0.17568117120780805,469,181,288,251,1739,0.4017758046614872,0.3859275053304904,0.41898148148148145,,,
main,3,E_persist,target_year,2025,xgb,2459,1283,18,432,0.17568117120780805,479,226,253,206,1774,0.4961580680570801,0.4718162839248434,0.5231481481481481,,,
main,3,E_persist,target_year,2025,persistence,2459,1283,18,432,0.17568117120780805,441,213,228,219,1799,0.4879725085910653,0.48299319727891155,0.4930555555555556,,,
main,6,E_all,target_year,2023,partitioned_rf,1192,1192,18,145,0.12164429530201343,118,98,20,47,1027,0.7452471482889734,0.8305084745762712,0.6758620689655173,,,
main,6,E_all,target_year,2023,pooled_rf,1192,1192,18,145,0.12164429530201343,122,100,22,45,1025,0.7490636704119851,0.819672131147541,0.6896551724137931,,,
main,6,E_all,target_year,2023,xgb,1192,1192,18,145,0.12164429530201343,120,99,21,46,1026,0.7471698113207547,0.825,0.6827586206896552,,,
main,6,E_all,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,192,149,43,212,1746,0.538878842676311,0.7760416666666666,0.41274238227146814,,,
main,6,E_all,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,240,183,57,178,1732,0.6089850249584027,0.7625,0.5069252077562327,,,
main,6,E_all,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,268,194,74,167,1715,0.6168521462639109,0.7238805970149254,0.5373961218836565,,,
main,6,E_all,target_year,2025,partitioned_rf,2460,1283,18,433,0.17601626016260163,238,161,77,272,1950,0.4798807749627422,0.6764705882352942,0.371824480369515,,,
main,6,E_all,target_year,2025,pooled_rf,2460,1283,18,433,0.17601626016260163,289,179,110,254,1917,0.49584487534626037,0.6193771626297578,0.4133949191685912,,,
main,6,E_all,target_year,2025,xgb,2460,1283,18,433,0.17601626016260163,376,228,148,205,1879,0.5636588380716935,0.6063829787234043,0.5265588914549654,,,
main,6,E_persist,target_year,2023,partitioned_rf,1192,1192,18,145,0.12164429530201343,118,98,20,47,1027,0.7452471482889734,0.8305084745762712,0.6758620689655173,,,
main,6,E_persist,target_year,2023,pooled_rf,1192,1192,18,145,0.12164429530201343,122,100,22,45,1025,0.7490636704119851,0.819672131147541,0.6896551724137931,,,
main,6,E_persist,target_year,2023,xgb,1192,1192,18,145,0.12164429530201343,120,99,21,46,1026,0.7471698113207547,0.825,0.6827586206896552,,,
main,6,E_persist,target_year,2023,persistence,1192,1192,18,145,0.12164429530201343,159,118,41,27,1006,0.7763157894736842,0.7421383647798742,0.8137931034482758,,,
main,6,E_persist,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,192,149,43,212,1746,0.538878842676311,0.7760416666666666,0.41274238227146814,,,
main,6,E_persist,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,240,183,57,178,1732,0.6089850249584027,0.7625,0.5069252077562327,,,
main,6,E_persist,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,268,194,74,167,1715,0.6168521462639109,0.7238805970149254,0.5373961218836565,,,
main,6,E_persist,target_year,2024,persistence,2150,1238,18,361,0.16790697674418606,332,228,104,133,1685,0.658008658008658,0.6867469879518072,0.631578947368421,,,
main,6,E_persist,target_year,2025,partitioned_rf,2458,1282,18,431,0.17534580960130186,238,161,77,270,1950,0.4813153961136024,0.6764705882352942,0.37354988399071926,,,
main,6,E_persist,target_year,2025,pooled_rf,2458,1282,18,431,0.17534580960130186,289,179,110,252,1917,0.49722222222222223,0.6193771626297578,0.41531322505800466,,,
main,6,E_persist,target_year,2025,xgb,2458,1282,18,431,0.17534580960130186,376,228,148,203,1879,0.5650557620817844,0.6063829787234043,0.5290023201856149,,,
main,6,E_persist,target_year,2025,persistence,2458,1282,18,431,0.17534580960130186,422,223,199,208,1828,0.5228604923798359,0.5284360189573459,0.5174013921113689,,,
main,12,E_all,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,213,165,48,196,1741,0.5749128919860628,0.7746478873239436,0.45706371191135736,,,
main,12,E_all,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,211,166,45,195,1744,0.5804195804195804,0.7867298578199052,0.4598337950138504,,,
main,12,E_all,target_year,2024,xgb,2150,1238,18,361,0.16790697674418606,237,182,55,179,1734,0.6086956521739131,0.7679324894514767,0.5041551246537396,,,
main,12,E_all,target_year,2025,partitioned_rf,2460,1283,18,433,0.17601626016260163,251,166,85,267,1942,0.4853801169590643,0.6613545816733067,0.3833718244803695,,,
main,12,E_all,target_year,2025,pooled_rf,2460,1283,18,433,0.17601626016260163,295,194,101,239,1926,0.532967032967033,0.6576271186440678,0.44803695150115475,,,
main,12,E_all,target_year,2025,xgb,2460,1283,18,433,0.17601626016260163,325,206,119,227,1908,0.5435356200527705,0.6338461538461538,0.47575057736720555,,,
main,12,E_persist,target_year,2024,partitioned_rf,2150,1238,18,361,0.16790697674418606,213,165,48,196,1741,0.5749128919860628,0.7746478873239436,0.45706371191135736,,,
main,12,E_persist,target_year,2024,pooled_rf,2150,1238,18,361,0.16790697674418606,211,166,45,195,1744,0.5804195804195804,0.7867298578199052,0.4598337950138504,,,
