period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,3,E_persist,assignment_provenance,learned,persistence,1696,1507,25,952,0.5613207547169812,873,618,255,334,489,0.6772602739726027,0.7079037800687286,0.6491596638655462,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1870,1717,27,758,0.4053475935828877,689,423,266,335,846,0.5846579129232896,0.613933236574746,0.558047493403694,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,pooled_rf,1870,1717,27,758,0.4053475935828877,573,371,202,387,910,0.5574755822689706,0.6474694589877836,0.4894459102902375,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,xgb,1870,1717,27,758,0.4053475935828877,688,456,232,302,880,0.6307053941908713,0.6627906976744186,0.6015831134564644,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,persistence,1870,1717,27,758,0.4053475935828877,686,362,324,396,788,0.5013850415512465,0.5276967930029155,0.47757255936675463,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,120,76,44,37,229,0.6523605150214592,0.6333333333333333,0.672566371681416,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,120,76,44,37,229,0.6523605150214592,0.6333333333333333,0.672566371681416,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,165,96,69,17,204,0.6906474820143885,0.5818181818181818,0.8495575221238938,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
partial_2026,6,E_all,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,904,646,258,306,486,0.6961206896551724,0.7146017699115044,0.6785714285714286,,,
partial_2026,6,E_all,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,1177,745,432,207,312,0.6998590887740723,0.632965165675446,0.782563025210084,,,
partial_2026,6,E_all,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,1155,803,352,149,392,0.7622211675367822,0.6952380952380952,0.8434873949579832,,,
partial_2026,6,E_all,assignment_provenance,nearest_donor,partitioned_rf,1873,1720,27,761,0.40630005339028297,856,499,357,262,755,0.6171923314780458,0.5829439252336449,0.6557161629434954,,,
partial_2026,6,E_all,assignment_provenance,nearest_donor,pooled_rf,1873,1720,27,761,0.40630005339028297,1054,595,459,166,653,0.6556473829201102,0.5645161290322581,0.7818659658344284,,,
partial_2026,6,E_all,assignment_provenance,nearest_donor,xgb,1873,1720,27,761,0.40630005339028297,928,569,359,192,753,0.6737714624037893,0.6131465517241379,0.7477003942181341,,,
partial_2026,6,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,180,100,80,13,193,0.6825938566552902,0.5555555555555556,0.8849557522123894,,,
partial_2026,6,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,180,100,80,13,193,0.6825938566552902,0.5555555555555556,0.8849557522123894,,,
partial_2026,6,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,175,99,76,14,197,0.6875,0.5657142857142857,0.8761061946902655,,,
partial_2026,6,E_persist,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,904,646,258,306,486,0.6961206896551724,0.7146017699115044,0.6785714285714286,,,
partial_2026,6,E_persist,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,1177,745,432,207,312,0.6998590887740723,0.632965165675446,0.782563025210084,,,
partial_2026,6,E_persist,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,1155,803,352,149,392,0.7622211675367822,0.6952380952380952,0.8434873949579832,,,
partial_2026,6,E_persist,assignment_provenance,learned,persistence,1696,1507,25,952,0.5613207547169812,931,673,258,279,486,0.7148167817312798,0.7228786251342643,0.7069327731092437,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1870,1717,27,758,0.4053475935828877,856,499,357,259,755,0.6183395291201983,0.5829439252336449,0.658311345646438,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,pooled_rf,1870,1717,27,758,0.4053475935828877,1051,592,459,166,653,0.6545052515201769,0.5632730732635585,0.7810026385224275,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,xgb,1870,1717,27,758,0.4053475935828877,925,566,359,192,753,0.6726084373143196,0.6118918918918919,0.7467018469656992,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,persistence,1870,1717,27,758,0.4053475935828877,731,404,327,354,785,0.5426460711887172,0.5526675786593708,0.5329815303430079,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,180,100,80,13,193,0.6825938566552902,0.5555555555555556,0.8849557522123894,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,180,100,80,13,193,0.6825938566552902,0.5555555555555556,0.8849557522123894,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,175,99,76,14,197,0.6875,0.5657142857142857,0.8761061946902655,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
partial_2026,12,E_all,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,1074,709,365,243,379,0.6999012833168805,0.660148975791434,0.7447478991596639,,,
partial_2026,12,E_all,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,998,706,292,246,452,0.7241025641025641,0.7074148296593187,0.7415966386554622,,,
partial_2026,12,E_all,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,1029,719,310,233,434,0.7258960121150934,0.6987366375121478,0.7552521008403361,,,
partial_2026,12,E_all,assignment_provenance,nearest_donor,partitioned_rf,1873,1720,27,761,0.40630005339028297,1020,492,528,269,584,0.5524985962942167,0.4823529411764706,0.6465177398160316,,,
partial_2026,12,E_all,assignment_provenance,nearest_donor,pooled_rf,1873,1720,27,761,0.40630005339028297,780,503,277,258,835,0.6528228423101882,0.6448717948717949,0.6609724047306176,,,
partial_2026,12,E_all,assignment_provenance,nearest_donor,xgb,1873,1720,27,761,0.40630005339028297,890,526,364,235,748,0.6371895820714718,0.5910112359550562,0.6911957950065704,,,
partial_2026,12,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,170,106,64,7,209,0.7491166077738516,0.6235294117647059,0.9380530973451328,,,
partial_2026,12,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,170,106,64,7,209,0.7491166077738516,0.6235294117647059,0.9380530973451328,,,
partial_2026,12,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,192,107,85,6,188,0.7016393442622951,0.5572916666666666,0.9469026548672567,,,
partial_2026,12,E_persist,assignment_provenance,learned,partitioned_rf,1696,1507,25,952,0.5613207547169812,1074,709,365,243,379,0.6999012833168805,0.660148975791434,0.7447478991596639,,,
partial_2026,12,E_persist,assignment_provenance,learned,pooled_rf,1696,1507,25,952,0.5613207547169812,998,706,292,246,452,0.7241025641025641,0.7074148296593187,0.7415966386554622,,,
partial_2026,12,E_persist,assignment_provenance,learned,xgb,1696,1507,25,952,0.5613207547169812,1029,719,310,233,434,0.7258960121150934,0.6987366375121478,0.7552521008403361,,,
partial_2026,12,E_persist,assignment_provenance,learned,persistence,1696,1507,25,952,0.5613207547169812,952,720,232,232,512,0.7563025210084033,0.7563025210084033,0.7563025210084033,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1832,1681,27,756,0.4126637554585153,996,490,506,266,570,0.5593607305936074,0.4919678714859438,0.6481481481481481,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,pooled_rf,1832,1681,27,756,0.4126637554585153,778,502,276,254,800,0.6544980443285529,0.6452442159383034,0.6640211640211641,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,xgb,1832,1681,27,756,0.4126637554585153,879,525,354,231,722,0.6422018348623854,0.5972696245733788,0.6944444444444444,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,persistence,1832,1681,27,756,0.4126637554585153,736,477,259,279,817,0.6394101876675603,0.6480978260869565,0.6309523809523809,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,partitioned_rf,375,367,13,112,0.2986666666666667,169,105,64,7,199,0.7473309608540926,0.621301775147929,0.9375,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,pooled_rf,375,367,13,112,0.2986666666666667,169,105,64,7,199,0.7473309608540926,0.621301775147929,0.9375,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,xgb,375,367,13,112,0.2986666666666667,187,106,81,6,182,0.7090301003344481,0.5668449197860963,0.9464285714285714,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,persistence,375,367,13,112,0.2986666666666667,136,82,54,30,209,0.6612903225806451,0.6029411764705882,0.7321428571428571,,,
