profile_type,cluster_id,cohesion
market_access,0,0.48220511209151073
market_access,1,0.6077835135512364
market_access,2,0.5330367013865432
market_access,3,0.694247787843014
market_access,4,0.6217332169688797
market_access,5,0.8721883710807317
market_access,6,0.505811717756599
market_access,7,0.8850527974163132
market_access,8,0.7207960009184502
market_access,9,0.7121593711777866
market_access,10,0.7146810074303169
market_access,11,0.6036040739218232
market_access,12,0.5310127088220998
conflict_exposure,0,0.6877512267454475
conflict_exposure,1,0.6565154841839305
conflict_exposure,2,0.6078572172775385
conflict_exposure,3,0.8351520262397899
conflict_exposure,4,0.5786941740570775
conflict_exposure,5,0.7346284209168896
conflict_exposure,6,0.7006972590139522
conflict_exposure,7,0.8875832494050675
conflict_exposure,8,0.6072099660344693
conflict_exposure,9,0.825488664988033
conflict_exposure,10,0.8036909397788762
conflict_exposure,11,0.7565399107319546
conflict_exposure,12,0.5103485947243842
error_mode,0,0.8823529411764706
error_mode,1,0.7957540263543191
error_mode,2,0.6785019455252919
error_mode,3,0.7400150715900528
error_mode,4,0.7853658536585366
error_mode,5,0.5405616224648986
error_mode,6,0.4799749687108886
error_mode,7,1.0
error_mode,8,0.7356418918918919
error_mode,9,0.6344621513944223
error_mode,10,0.9375
error_mode,11,0.5292134831460674
error_mode,12,0.569777397260274
