profile_type,cluster_i,cluster_j,similarity
market_access,6,1,-0.9028804249085698
market_access,6,2,0.8112547570250045
market_access,6,3,-0.7871552979650688
market_access,6,4,-0.40123978585200326
market_access,6,5,0.06700136097686525
market_access,6,6,0.9999999999999998
market_access,6,7,-0.046630298484604635
market_access,6,8,-0.7306327588356683
market_access,6,9,-0.4614780470806358
market_access,6,10,-0.9999915878847792
market_access,6,11,0.7377098114280205
market_access,6,12,-0.39570417437011524
market_access,7,0,-0.1854653731548986
market_access,7,1,-0.38732256201484994
market_access,7,2,-0.6218858737048657
market_access,7,3,0.6527892338667522
market_access,7,4,-0.8962667414183831
market_access,7,5,0.9935432509587359
market_access,7,6,-0.046630298484604635
market_access,7,7,1.0
market_access,7,8,0.7160975748384583
market_access,7,9,-0.8646677401319909
market_access,7,10,0.04253264159105607
market_access,7,11,-0.708783187102395
market_access,7,12,-0.8989272295227737
market_access,8,0,-0.8187017478983164
market_access,8,1,0.36615652548989774
market_access,8,2,-0.9919404176638253
market_access,8,3,0.9962235573839988
market_access,8,4,-0.3322405927694636
market_access,8,5,0.6322830041591762
market_access,8,6,-0.7306327588356683
market_access,8,7,0.7160975748384583
market_access,8,8,1.0
market_access,8,9,-0.2685501226880455
market_access,8,10,0.727826074216683
market_access,8,11,-0.9999456756221561
market_access,8,12,-0.3379271395768012
market_access,9,0,-0.3332630089010412
market_access,9,1,0.7980386836389785
market_access,9,2,0.14433494581913292
market_access,9,3,-0.183900174112818
market_access,9,4,0.9977703386820749
market_access,9,5,-0.9160777532028422
market_access,9,6,-0.4614780470806358
market_access,9,7,-0.8646677401319909
market_access,9,8,-0.2685501226880455
market_access,9,9,1.0
market_access,9,10,0.46511301835332824
market_access,9,11,0.25849509765029843
market_access,9,12,0.9973493547541996
market_access,10,0,-0.9896499099935528
market_access,10,1,0.9046361282289576
market_access,10,2,-0.8088496825760829
market_access,10,3,0.7846189166840626
market_access,10,4,0.40499348145510794
market_access,10,5,-0.07109330672532164
market_access,10,6,-0.9999915878847792
market_access,10,7,0.04253264159105607
market_access,10,8,0.727826074216683
market_access,10,9,0.46511301835332824
market_access,10,10,1.0
market_access,10,11,-0.7349344566288962
market_access,10,12,0.3994677810970726
market_access,11,0,0.8246425463528363
market_access,11,1,-0.37583609797233897
market_access,11,2,0.993207221211394
market_access,11,3,-0.9970744463570888
market_access,11,4,0.32239131485890865
market_access,11,5,-0.6241733112326043
market_access,11,6,0.7377098114280205
market_access,11,7,-0.708783187102395
market_access,11,8,-0.9999456756221561
market_access,11,9,0.25849509765029843
market_access,11,10,-0.7349344566288962
market_access,11,11,1.0
market_access,11,12,0.3280986328708269
market_access,12,0,-0.26377745205047276
market_access,12,1,0.752076714735939
market_access,12,2,0.2159521664645274
market_access,12,3,-0.2549334609473979
market_access,12,4,0.9999817865456135
market_access,12,5,-0.9428270465233243
market_access,12,6,-0.39570417437011524
market_access,12,7,-0.8989272295227737
market_access,12,8,-0.3379271395768012
market_access,12,9,0.9973493547541996
market_access,12,10,0.3994677810970726
market_access,12,11,0.3280986328708269
market_access,12,12,1.0
conflict_exposure,0,0,0.9999999999999999
conflict_exposure,0,1,0.05838515131731692
conflict_exposure,0,2,-0.43404169318679414
conflict_exposure,0,3,0.29671817337780176
conflict_exposure,0,4,-0.5115587443063992
conflict_exposure,0,5,0.486766356454393
conflict_exposure,0,6,-0.1984243228648655
conflict_exposure,0,7,0.6436185284648396
conflict_exposure,0,8,0.17315438848379855
conflict_exposure,0,9,0.8340271487712562
conflict_exposure,0,10,0.4458490521322397
conflict_exposure,0,11,0.5143051049689625
conflict_exposure,0,12,-0.5647215076824373
conflict_exposure,1,0,0.05838515131731692
conflict_exposure,1,1,0.9999999999999999
conflict_exposure,1,2,0.21951720798385557
conflict_exposure,1,3,-0.24932932362037685
conflict_exposure,1,4,0.28479799333032746
conflict_exposure,1,5,0.4933756212616221
conflict_exposure,1,6,-0.5374938034835536
conflict_exposure,1,7,0.21792896320128624
conflict_exposure,1,8,0.45267231266582664
conflict_exposure,1,9,-0.1266689202742482
conflict_exposure,1,10,0.7940813103487924
conflict_exposure,1,11,-0.628921660436443
conflict_exposure,1,12,-0.3720044374796678
conflict_exposure,2,0,-0.43404169318679414
conflict_exposure,2,1,0.21951720798385557
conflict_exposure,2,2,0.9999999999999999
conflict_exposure,2,3,-0.7360059685262331
conflict_exposure,2,4,0.0013399402645047716
conflict_exposure,2,5,-0.44533932780071245
conflict_exposure,2,6,-0.2479508045398195
conflict_exposure,2,7,-0.29389857475297815
conflict_exposure,2,8,-0.16490149313220093
conflict_exposure,2,9,-0.47647547631280845
conflict_exposure,2,10,-0.02089017373487523
conflict_exposure,2,11,-0.6166775731287802
conflict_exposure,2,12,0.2948694465551977
conflict_exposure,3,0,0.29671817337780176
conflict_exposure,3,1,-0.24932932362037685
conflict_exposure,3,2,-0.7360059685262331
conflict_exposure,3,3,1.0
conflict_exposure,3,4,0.03479248958502872
conflict_exposure,3,5,0.5659771761147729
conflict_exposure,3,6,-0.23391107556676657
conflict_exposure,3,7,0.5269164828432142
conflict_exposure,3,8,-0.13726049815263852
conflict_exposure,3,9,0.5827375757243765
conflict_exposure,3,10,0.17365827749150292
conflict_exposure,3,11,0.6755574925364595
conflict_exposure,3,12,-0.26765927552439783
conflict_exposure,4,0,-0.5115587443063992
conflict_exposure,4,1,0.28479799333032746
conflict_exposure,4,2,0.0013399402645047716
conflict_exposure,4,3,0.03479248958502872
conflict_exposure,4,4,1.0
conflict_exposure,4,5,0.1055967102362876
conflict_exposure,4,6,-0.20365161663122375
conflict_exposure,4,7,-0.3336923816513012
conflict_exposure,4,8,0.4030300415849537
conflict_exposure,4,9,-0.548759711797735
conflict_exposure,4,10,-0.08394878740930076
conflict_exposure,4,11,-0.23734877773222152
conflict_exposure,4,12,0.15172965442316805
conflict_exposure,5,0,0.486766356454393
conflict_exposure,5,1,0.4933756212616221
conflict_exposure,5,2,-0.44533932780071245
conflict_exposure,5,3,0.5659771761147729
conflict_exposure,5,4,0.1055967102362876
