period,horizon_months,cohort,dimension,country_id,country_en,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,6,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",partitioned_rf,953,406,1,416,0.43651626442812175,590,290,300,126,237,0.5765407554671969,0.4915254237288136,0.6971153846153846,,,
main,6,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",pooled_rf,953,406,1,416,0.43651626442812175,515,262,253,154,284,0.5628356605800214,0.5087378640776699,0.6298076923076923,,,
main,6,E_all,country,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",xgb,953,406,1,416,0.43651626442812175,643,331,312,85,225,0.6251180358829084,0.5147744945567652,0.7956730769230769,,,
main,6,E_all,country,Côte d'Ivoire,Côte d'Ivoire,partitioned_rf,155,31,1,1,0.0064516129032258064,0,0,0,1,154,0.0,,0.0,,no_predicted_positives,
main,6,E_all,country,Côte d'Ivoire,Côte d'Ivoire,pooled_rf,155,31,1,1,0.0064516129032258064,0,0,0,1,154,0.0,,0.0,,no_predicted_positives,
main,6,E_all,country,Côte d'Ivoire,Côte d'Ivoire,xgb,155,31,1,1,0.0064516129032258064,1,0,1,1,153,0.0,0.0,0.0,,,
main,6,E_all,country,Djibouti,Djibouti,partitioned_rf,72,16,1,32,0.4444444444444444,36,22,14,10,26,0.6470588235294118,0.6111111111111112,0.6875,,,
main,6,E_all,country,Djibouti,Djibouti,pooled_rf,72,16,1,32,0.4444444444444444,35,22,13,10,27,0.6567164179104478,0.6285714285714286,0.6875,,,
main,6,E_all,country,Djibouti,Djibouti,xgb,72,16,1,32,0.4444444444444444,32,20,12,12,28,0.625,0.625,0.625,,,
main,6,E_all,country,Dominican Republic,Dominican Republic,partitioned_rf,87,32,1,26,0.2988505747126437,12,3,9,23,52,0.15789473684210525,0.25,0.11538461538461539,,,
main,6,E_all,country,Dominican Republic,Dominican Republic,pooled_rf,87,32,1,26,0.2988505747126437,13,2,11,24,50,0.10256410256410256,0.15384615384615385,0.07692307692307693,,,
main,6,E_all,country,Dominican Republic,Dominican Republic,xgb,87,32,1,26,0.2988505747126437,9,3,6,23,55,0.17142857142857143,0.3333333333333333,0.11538461538461539,,,
main,6,E_all,country,Ecuador,Ecuador,partitioned_rf,24,24,1,2,0.08333333333333333,0,0,0,2,22,0.0,,0.0,,no_predicted_positives,
main,6,E_all,country,Ecuador,Ecuador,pooled_rf,24,24,1,2,0.08333333333333333,0,0,0,2,22,0.0,,0.0,,no_predicted_positives,
main,6,E_all,country,Ecuador,Ecuador,xgb,24,24,1,2,0.08333333333333333,0,0,0,2,22,0.0,,0.0,,no_predicted_positives,
main,6,E_all,country,El Salvador,El Salvador,partitioned_rf,57,19,1,12,0.21052631578947367,4,0,4,12,41,0.0,0.0,0.0,,,
main,6,E_all,country,El Salvador,El Salvador,pooled_rf,57,19,1,12,0.21052631578947367,4,0,4,12,41,0.0,0.0,0.0,,,
