period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,12,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,168,96,72,17,201,0.6832740213523132,0.5714285714285714,0.8495575221238938,,,
partial_2026,12,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,1010,720,290,326,493,0.7003891050583657,0.7128712871287128,0.6883365200764818,,,
partial_2026,12,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,976,732,244,314,539,0.7240356083086054,0.75,0.6998087954110899,,,
partial_2026,12,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,1043,750,293,296,490,0.7180469123982767,0.7190795781399808,0.7170172084130019,,,
partial_2026,12,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,1047,801,246,245,537,0.7654085045389393,0.7650429799426934,0.765774378585086,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1836,1685,27,759,0.4133986928104575,779,478,301,281,776,0.6215864759427828,0.613607188703466,0.6297760210803689,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,pooled_rf,1836,1685,27,759,0.4133986928104575,690,469,221,290,856,0.6473429951690821,0.6797101449275362,0.6179183135704874,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,xgb,1836,1685,27,759,0.4133986928104575,735,475,260,284,817,0.6358768406961178,0.6462585034013606,0.6258234519104084,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,persistence,1836,1685,27,759,0.4133986928104575,740,480,260,279,817,0.6404269513008672,0.6486486486486487,0.6324110671936759,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,partitioned_rf,375,367,13,112,0.2986666666666667,149,91,58,21,205,0.6973180076628352,0.610738255033557,0.8125,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,pooled_rf,375,367,13,112,0.2986666666666667,149,91,58,21,205,0.6973180076628352,0.610738255033557,0.8125,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,xgb,375,367,13,112,0.2986666666666667,166,95,71,17,192,0.6834532374100719,0.572289156626506,0.8482142857142857,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,persistence,375,367,13,112,0.2986666666666667,136,82,54,30,209,0.6612903225806451,0.6029411764705882,0.7321428571428571,,,
