admin_code,branch_id,partition_code,assignment_source,donor_admin_code,donor_distance_km,nearest_eligible_admin_code,nearest_eligible_distance_km,model_route,fallback_reason,was_placeholder_root
313,,-1,unresolved,-1,,100113,3706.8109033039614,pooled_root,nearest eligible donor beyond 100 km,False
314,,-1,unresolved,-1,,100113,2961.8100964633686,pooled_root,nearest eligible donor beyond 100 km,False
315,,-1,unresolved,-1,,100113,2961.710968243491,pooled_root,nearest eligible donor beyond 100 km,False
316,,-1,unresolved,-1,,100113,2961.699397046416,pooled_root,nearest eligible donor beyond 100 km,False
317,,-1,unresolved,-1,,100113,2948.9357158033736,pooled_root,nearest eligible donor beyond 100 km,False
318,,-1,unresolved,-1,,100031,2906.2604491347015,pooled_root,nearest eligible donor beyond 100 km,False
319,,-1,unresolved,-1,,100113,2915.808722406743,pooled_root,nearest eligible donor beyond 100 km,False
320,,-1,unresolved,-1,,100113,2970.551036534309,pooled_root,nearest eligible donor beyond 100 km,False
321,,-1,unresolved,-1,,100113,2970.544539846157,pooled_root,nearest eligible donor beyond 100 km,False
322,,-1,unresolved,-1,,100113,2970.5439747132496,pooled_root,nearest eligible donor beyond 100 km,False
323,,-1,unresolved,-1,,100113,2970.4652226535,pooled_root,nearest eligible donor beyond 100 km,False
324,,-1,unresolved,-1,,100031,2841.9052013402384,pooled_root,nearest eligible donor beyond 100 km,False
325,,-1,unresolved,-1,,100004,2585.5879298476934,pooled_root,nearest eligible donor beyond 100 km,False
326,,-1,unresolved,-1,,100031,2867.7110162512026,pooled_root,nearest eligible donor beyond 100 km,False
327,,-1,unresolved,-1,,100113,2893.052934721614,pooled_root,nearest eligible donor beyond 100 km,False
328,,-1,unresolved,-1,,100031,2845.4002810599486,pooled_root,nearest eligible donor beyond 100 km,False
329,,-1,unresolved,-1,,100031,2789.7026698303084,pooled_root,nearest eligible donor beyond 100 km,False
330,,-1,unresolved,-1,,100113,2898.7829744474298,pooled_root,nearest eligible donor beyond 100 km,False
331,,-1,unresolved,-1,,100113,2949.4883344938958,pooled_root,nearest eligible donor beyond 100 km,False
332,,-1,unresolved,-1,,100113,2949.4802749949695,pooled_root,nearest eligible donor beyond 100 km,False
333,,-1,unresolved,-1,,100113,2949.4805949632855,pooled_root,nearest eligible donor beyond 100 km,False
335,,-1,unresolved,-1,,100113,2949.4018215236715,pooled_root,nearest eligible donor beyond 100 km,False
336,,-1,unresolved,-1,,100113,3686.079564725813,pooled_root,nearest eligible donor beyond 100 km,False
337,,-1,unresolved,-1,,100113,2947.524986607853,pooled_root,nearest eligible donor beyond 100 km,False
338,,-1,unresolved,-1,,100031,2767.9326320322407,pooled_root,nearest eligible donor beyond 100 km,False
339,,-1,unresolved,-1,,100113,2940.2604532930995,pooled_root,nearest eligible donor beyond 100 km,False
340,,-1,unresolved,-1,,100113,2877.4182845075843,pooled_root,nearest eligible donor beyond 100 km,False
341,,-1,unresolved,-1,,100113,2937.1784483485867,pooled_root,nearest eligible donor beyond 100 km,False
342,,-1,unresolved,-1,,100031,2814.287238431163,pooled_root,nearest eligible donor beyond 100 km,False
343,,-1,unresolved,-1,,100113,2932.78582612126,pooled_root,nearest eligible donor beyond 100 km,False
344,,-1,unresolved,-1,,100113,2932.6826102709165,pooled_root,nearest eligible donor beyond 100 km,False
345,,-1,unresolved,-1,,100113,2878.9070548367504,pooled_root,nearest eligible donor beyond 100 km,False
346,,-1,unresolved,-1,,100113,2878.858583671174,pooled_root,nearest eligible donor beyond 100 km,False
347,,-1,unresolved,-1,,100113,2878.8573785422072,pooled_root,nearest eligible donor beyond 100 km,False
348,,-1,unresolved,-1,,100113,2878.81632102323,pooled_root,nearest eligible donor beyond 100 km,False
349,,-1,unresolved,-1,,100031,2726.4539397557132,pooled_root,nearest eligible donor beyond 100 km,False
350,,-1,unresolved,-1,,100113,2827.4946252538894,pooled_root,nearest eligible donor beyond 100 km,False
351,,-1,unresolved,-1,,100031,2745.6364019552166,pooled_root,nearest eligible donor beyond 100 km,False
352,,-1,unresolved,-1,,100113,2905.7048823594378,pooled_root,nearest eligible donor beyond 100 km,False
353,,-1,unresolved,-1,,100113,2905.6781325337815,pooled_root,nearest eligible donor beyond 100 km,False
354,,-1,unresolved,-1,,100113,2905.6732355764448,pooled_root,nearest eligible donor beyond 100 km,False
