partition_id,training_rows,classes_present,local_model_fitted,reason
0,2808,2,True,
1,2894,2,True,
2,1232,2,True,
3,3197,2,True,
4,4072,2,True,
5,2402,2,True,
6,896,2,True,
7,2264,2,True,
8,1774,2,True,
9,8526,2,True,
10,2159,2,True,
11,1907,2,True,
12,3456,2,True,
13,1223,2,True,
