scope,forecasting_horizon,pooled_pr_auc,partitioned_pr_auc,delta_pr_auc,pooled_recall_at_precision_0_75,partitioned_recall_at_precision_0_75,delta_recall_at_precision_0_75,pooled_recall_at_precision_0_80,partitioned_recall_at_precision_0_80,delta_recall_at_precision_0_80,pooled_precision_at_recall_0_50,partitioned_precision_at_recall_0_50,delta_precision_at_recall_0_50,pooled_precision_at_recall_0_60,partitioned_precision_at_recall_0_60,delta_precision_at_recall_0_60
fs1,4-month lag,0.7419570760223246,0.7678856116105378,0.025928535588213175,0.5744856419848168,0.6148641214655077,0.040378479480690954,0.48250632632852897,0.5178237429860271,0.0353174166574981,0.7915592229671652,0.8048716376062385,0.013312414639073289,0.7348580546506216,0.7590921710161022,0.024234116365480562
fs2,8-month lag,0.7260345431968606,0.7498930427045492,0.02385849950768859,0.5202442512927715,0.5799317856749917,0.059687534382220186,0.435911541423699,0.4870172736274618,0.0511057322037628,0.7614150555327026,0.7938223281143635,0.03240727258166087,0.7066640861879878,0.7397445428127323,0.03308045662474446
fs3,12-month lag,0.6812876831722259,0.7004463370286801,0.01915865385645421,0.38541093629662226,0.3999339861370888,0.01452304984046654,0.26719111013312796,0.3158213224777203,0.04863021234459236,0.7029558541266795,0.7045541817064741,0.0015983275797946117,0.6539080665355035,0.6650151057401813,0.011107039204677815
