scope,forecasting_horizon,model,support,positive_cases,pr_auc,recall_at_precision_0_75,recall_at_precision_0_80,precision_at_recall_0_50,precision_at_recall_0_60
fs1,4-month horizon,pooled,62189,18178,0.7419570760223246,0.5744856419848168,0.48250632632852897,0.7915592229671652,0.7348580546506216
fs1,4-month horizon,partitioned,62189,18178,0.7678856116105378,0.6148641214655077,0.5178237429860271,0.8048716376062385,0.7590921710161022
fs2,8-month horizon,pooled,62189,18178,0.7260345431968606,0.5202442512927715,0.435911541423699,0.7614150555327026,0.7066640861879878
fs2,8-month horizon,partitioned,62189,18178,0.7498930427045492,0.5799317856749917,0.4870172736274618,0.7938223281143635,0.7397445428127323
fs3,12-month horizon,pooled,62189,18178,0.6812876831722259,0.38541093629662226,0.26719111013312796,0.7029558541266795,0.6539080665355035
fs3,12-month horizon,partitioned,62189,18178,0.7004463370286801,0.3999339861370888,0.3158213224777203,0.7045541817064741,0.6650151057401813
