partition_id,training_rows,classes_present,local_model_fitted,reason
0,504,2,True,
1,3864,2,True,
2,1634,2,True,
3,1640,2,True,
4,2728,2,True,
5,4352,2,True,
6,4872,2,True,
7,1432,2,True,
8,2256,2,True,
9,1368,2,True,
10,1624,2,True,
11,640,2,True,
12,744,2,True,
13,1696,2,True,
14,1011,2,True,
15,800,2,True,
16,1184,2,True,
