partition_id,training_rows,classes_present,local_model_fitted,reason
0,4048,2,True,
1,1552,2,True,
2,1424,2,True,
3,1009,2,True,
4,912,1,False,single_class
5,1568,2,True,
6,1872,2,True,
7,3568,2,True,
8,2656,2,True,
9,1384,1,False,single_class
10,1480,2,True,
11,1880,2,True,
12,3184,2,True,
13,464,2,True,
14,643,2,True,
15,1512,2,True,
16,752,2,True,
17,1576,2,True,
18,1552,2,True,
