tau,class1_f1
0.0,0.29543085952498493
0.004694835680751174,0.2989564831261101
0.008168028004667444,0.30742857142857144
0.013888888888888888,0.30931276620237136
0.014634146341463415,0.31005683795383365
0.015151515151515152,0.3130455157870072
0.020080321285140562,0.31427056952706284
0.023715415019762844,0.31702380952380954
0.025,0.32393073487119867
0.028125,0.33623782675551
0.035398230088495575,0.33868669861416917
0.03940886699507389,0.3426169206516027
0.04,0.347146418704939
0.046610169491525424,0.3497678229991806
0.04883720930232558,0.35766423357664234
0.05090909090909091,0.36397560100466453
0.0641025641025641,0.37023992956196344
0.07048458149779736,0.3732478377572323
0.09026128266033254,0.3821872346993903
0.09361702127659574,0.38643483709273185
0.10869565217391304,0.38685268384960986
0.11020408163265306,0.3912207625760974
0.11864406779661017,0.3927706954978215
0.12244897959183673,0.4001986919446974
0.12269938650306748,0.406578501186843
0.1412556053811659,0.41409232905241233
0.14375,0.42070621720181445
0.14457831325301204,0.42226796742146244
0.16393442622950818,0.42451636232146084
0.1656891495601173,0.433040824112934
0.16783216783216784,0.44413738649822343
0.1864406779661017,0.447108181000899
0.19158878504672897,0.45227249721631746
0.1916842847075405,0.4921584113731242
0.2,0.494934547524189
0.20212765957446807,0.4951356300789745
0.23293172690763053,0.5122320302648171
0.24489795918367346,0.5238836967808931
0.26717557251908397,0.5274089654265808
0.28205128205128205,0.5300662251655629
0.2988505747126437,0.5280404955374983
0.3333333333333333,0.5278262035671182
0.34177215189873417,0.5274517739106974
0.35947712418300654,0.5310998215021282
0.36,0.5297684674751929
0.36153846153846153,0.528585338711921
0.37593984962406013,0.5416967769908947
0.4264705882352941,0.5604560456045604
0.44,0.5598797896318557
0.45454545454545453,0.5584689572031344
0.4594594594594595,0.5620337950981885
0.5111111111111111,0.5761912250353829
0.5652173913043478,0.5767766497461929
0.5853658536585366,0.577198282715853
0.6106194690265486,0.5893784553526554
0.6153846153846154,0.5892617449664429
0.6666666666666666,0.5911313437868825
0.6794871794871795,0.5926928281461434
0.7222222222222222,0.5932949542837792
0.7558139534883721,0.5957808778496088
0.8,0.5958822528500936
0.8571428571428571,0.5958822528500936
0.9166666666666666,0.5955056179775281
0.9333333333333333,0.5956284153005464
0.952755905511811,0.597594501718213
1.0,0.5970046479600619
