scope,forecasting_horizon,region,metric,support,n_countries,pooled_point,pooled_ci_low,pooled_ci_high,partitioned_point,partitioned_ci_low,partitioned_ci_high,delta_point,delta_ci_low,delta_ci_high
fs1,4-month horizon,East Africa,precision,29999,7,0.7324655436447167,0.6518907182920209,0.8877510822149046,0.7535191829975159,0.6986238008460506,0.8555605064484179,0.021053639352799136,-0.02152326071774303,0.051033873210433386
fs1,4-month horizon,East Africa,recall,29999,7,0.522047587862912,0.4221324773828993,0.6456668730371857,0.595939751146038,0.47735203387214264,0.7166298857461043,0.07389216328312598,0.04091556901140946,0.10947305582162495
fs1,4-month horizon,East Africa,f1,29999,7,0.6096099923527912,0.5320456869110884,0.7189959384987481,0.6655290102389079,0.5868990033788911,0.7535116545347335,0.05591901788611664,0.02583138094497194,0.08278210957035945
fs1,4-month horizon,East Africa,brier,29999,7,0.13737389246308213,0.08463171065708494,0.18635054960879371,0.12341635721190707,0.07730385219456863,0.1667784126372568,-0.01395753525117506,-0.022170678811537614,-0.007280141218005312
fs1,4-month horizon,Southern Africa,precision,7952,4,0.3888888888888889,0.25,0.6119402985074627,0.4373259052924791,0.4125,0.5139318885448917,0.048437016403590216,-0.12137426077161362,0.2529940119760479
fs1,4-month horizon,Southern Africa,recall,7952,4,0.19558823529411765,0.09692671394799054,0.23232323232323232,0.3463235294117647,0.19621749408983452,0.40023474178403756,0.15073529411764705,0.09448818897637795,0.18427230046948356
fs1,4-month horizon,Southern Africa,f1,7952,4,0.2602739726027397,0.14442013129102846,0.3142065690542145,0.3865408288879771,0.2840034217279726,0.42007104795737127,0.12626685628523737,0.06901339925574307,0.19704328334311785
fs1,4-month horizon,Southern Africa,brier,7952,4,0.1259986167002012,0.07707039576191961,0.18952218863361547,0.13544131036217305,0.07562181055155874,0.201403869407497,0.00944269366197184,-0.008271895664952247,0.018662409177820305
fs1,4-month horizon,West Africa,precision,8738,5,0.8478900883218842,0.6936936936936937,0.9544740973312402,0.8242574257425742,0.7318840579710145,0.9457627118644067,-0.02363266257930996,-0.03664068145824684,0.05438484461472959
fs1,4-month horizon,West Africa,recall,8738,5,0.5287637698898409,0.2721692535107169,0.5994172691493396,0.6113831089351285,0.3284552845528455,0.6849466390613103,0.08261933904528762,0.04920405209840811,0.10757575757575755
fs1,4-month horizon,West Africa,f1,8738,5,0.6513381078024878,0.394792742441731,0.7044081449988812,0.702037947997189,0.4534231200897867,0.7553956834532375,0.050699840194701196,0.03295692240902992,0.1048053319551975
fs1,4-month horizon,West Africa,brier,8738,5,0.08643624399176013,0.05938985215053764,0.10731194605009634,0.08004678416113527,0.05134005376344086,0.10227838616714698,-0.006389459830624861,-0.008458117550349364,-0.0030383550488599365
