scope,forecasting_horizon,model,support,mean_probability,mean_threshold_distance_uncertainty,mean_binary_entropy,brier_score
fs1,4-month lag,pooled,62189,0.2925858270755278,0.4029182009680169,0.6259406072434444,0.12809407451478558
fs1,4-month lag,partitioned,62189,0.31824808245831254,0.4056482657704738,0.6229849009139534,0.12145954590040041
fs2,8-month lag,pooled,62189,0.29368795124539704,0.4292186721124315,0.6598649407710175,0.13394918393928187
fs2,8-month lag,partitioned,62189,0.317326697647494,0.41855794433099097,0.6418466710931328,0.12768596857965234
fs3,12-month lag,pooled,62189,0.306722571515863,0.47302095225843793,0.7076587429349488,0.1450825531846468
fs3,12-month lag,partitioned,62189,0.32178552477126177,0.4554046535560951,0.6843580966496509,0.14020730675842993
