test_month,model,precision,recall,f1,n,tp,fp,fn,tn,pct_err_all,pct_err_class1,scope,forecasting_horizon
2021-02,pooled,0.9418604651162792,0.3279352226720647,0.4864864864864864,5425,162,10,332,4921,0.0630414746543778,0.6720647773279352,fs1,4-month lag
2021-02,partitioned,0.8514851485148515,0.1740890688259109,0.2890756302521008,5425,86,15,408,4916,0.0779723502304147,0.8259109311740891,fs1,4-month lag
2021-02,partitioned_thresholded,0.6923076923076923,0.3097165991902834,0.4279720279720279,5425,153,68,341,4863,0.0753917050691244,0.6902834008097166,fs1,4-month lag
2021-06,pooled,0.9186046511627908,0.4674556213017751,0.6196078431372549,4385,79,7,90,4209,0.0221208665906499,0.5325443786982249,fs1,4-month lag
2021-06,partitioned,0.6428571428571429,0.2662721893491124,0.3765690376569038,4385,45,25,124,4191,0.0339794754846066,0.7337278106508875,fs1,4-month lag
2021-06,partitioned_thresholded,0.3598901098901099,0.7751479289940828,0.4915572232645402,4385,131,233,38,3983,0.0618015963511972,0.2248520710059171,fs1,4-month lag
2021-10,pooled,0.9700598802395208,0.5276872964169381,0.6835443037974684,4974,162,5,145,4662,0.0301568154402895,0.4723127035830619,fs1,4-month lag
2021-10,partitioned,0.930635838150289,0.5244299674267101,0.6708333333333334,4974,161,12,146,4655,0.0317651789304382,0.4755700325732899,fs1,4-month lag
2021-10,partitioned_thresholded,0.6004672897196262,0.8371335504885994,0.6993197278911565,4974,257,171,50,4496,0.0444310414153598,0.1628664495114006,fs1,4-month lag
2022-02,pooled,0.9857142857142858,0.3019693654266958,0.4623115577889447,4974,138,2,319,4515,0.0645355850422195,0.6980306345733042,fs1,4-month lag
2022-02,partitioned,0.9473684210526316,0.1181619256017505,0.2101167315175097,4974,54,3,403,4514,0.0816244471250502,0.8818380743982495,fs1,4-month lag
2022-02,partitioned_thresholded,0.7573529411764706,0.4507658643326039,0.5651577503429356,4974,206,66,251,4451,0.0637314032971451,0.5492341356673961,fs1,4-month lag
2022-06,pooled,0.9827586206896552,0.4763231197771588,0.6416510318949343,4864,171,3,188,4502,0.0392680921052631,0.5236768802228412,fs1,4-month lag
2022-06,partitioned,0.9586776859504132,0.3231197771587744,0.4833333333333334,4864,116,5,243,4500,0.0509868421052631,0.6768802228412256,fs1,4-month lag
2022-06,partitioned_thresholded,0.9234234234234234,0.5710306406685237,0.7056798623063684,4864,205,17,154,4488,0.03515625,0.4289693593314763,fs1,4-month lag
2022-10,pooled,0.976,0.547085201793722,0.7011494252873564,5012,122,3,101,4786,0.0207501995211492,0.452914798206278,fs1,4-month lag
2022-10,partitioned,0.9464285714285714,0.2376681614349775,0.3799283154121864,5012,53,3,170,4786,0.0345171588188348,0.7623318385650224,fs1,4-month lag
2022-10,partitioned_thresholded,0.7277486910994765,0.6233183856502242,0.6714975845410628,5012,139,52,84,4737,0.0271348762968874,0.3766816143497757,fs1,4-month lag
2023-02,pooled,0.873015873015873,0.4824561403508772,0.6214689265536723,4860,55,8,59,4738,0.0137860082304526,0.5175438596491229,fs1,4-month lag
2023-02,partitioned,0.6829268292682927,0.2456140350877192,0.3612903225806451,4860,28,13,86,4733,0.0203703703703703,0.7543859649122807,fs1,4-month lag
2023-02,partitioned_thresholded,0.3215859030837004,0.6403508771929824,0.4281524926686216,4860,73,154,41,4592,0.0401234567901234,0.3596491228070175,fs1,4-month lag
2023-06,pooled,0.967391304347826,0.541033434650456,0.6939571150097466,5555,356,12,302,4885,0.0565256525652565,0.458966565349544,fs1,4-month lag
2023-06,partitioned,0.9357142857142856,0.3981762917933131,0.5586353944562901,5555,262,18,396,4879,0.0745274527452745,0.601823708206687,fs1,4-month lag
2023-06,partitioned_thresholded,0.8189806678383128,0.7082066869300911,0.7595762021189894,5555,466,103,192,4794,0.0531053105310531,0.2917933130699088,fs1,4-month lag
2023-10,pooled,0.9607843137254902,0.3181818181818182,0.4780487804878048,5410,98,4,210,5098,0.0395563770794824,0.6818181818181818,fs1,4-month lag
2023-10,partitioned,0.875,0.1590909090909091,0.2692307692307692,5410,49,7,259,5095,0.0491682070240295,0.8409090909090909,fs1,4-month lag
2023-10,partitioned_thresholded,0.7669902912621359,0.2564935064935065,0.3844282238442822,5410,79,24,229,5078,0.0467652495378927,0.7435064935064936,fs1,4-month lag
2024-02,pooled,0.9664429530201344,0.4948453608247423,0.6545454545454545,5697,144,5,147,5401,0.0266807091451641,0.5051546391752577,fs1,4-month lag
2024-02,partitioned,0.9494949494949496,0.3230240549828179,0.4820512820512821,5697,94,5,197,5401,0.0354572582060733,0.6769759450171822,fs1,4-month lag
2024-02,partitioned_thresholded,0.6228070175438597,0.7319587628865979,0.6729857819905213,5697,213,129,78,5277,0.0363349131121642,0.268041237113402,fs1,4-month lag
2024-06,pooled,0.9606741573033708,0.504424778761062,0.6615087040618955,5697,171,7,168,5351,0.0307179217131823,0.495575221238938,fs1,4-month lag
2024-06,partitioned,0.84375,0.2389380530973451,0.3724137931034483,5697,81,15,258,5343,0.0479199578725645,0.7610619469026548,fs1,4-month lag
2024-06,partitioned_thresholded,0.4412265758091993,0.7640117994100295,0.5593952483801296,5697,259,328,80,5030,0.0716166403370194,0.2359882005899705,fs1,4-month lag
2024-10,pooled,0.9423076923076924,0.35,0.5104166666666666,5336,98,6,182,5050,0.0352323838080959,0.65,fs1,4-month lag
2024-10,partitioned,0.8148148148148148,0.0785714285714285,0.1433224755700325,5336,22,5,258,5051,0.049287856071964,0.9214285714285714,fs1,4-month lag
2024-10,partitioned_thresholded,0.5701754385964912,0.2321428571428571,0.3299492385786802,5336,65,49,215,5007,0.0494752623688155,0.7678571428571429,fs1,4-month lag
2021-02,pooled,0.9611111111111112,0.3502024291497975,0.5133531157270029,5425,173,7,321,4924,0.0604608294930875,0.6497975708502024,fs2,8-month lag
2021-02,partitioned,0.6940298507462687,0.1882591093117409,0.2961783439490446,5425,93,41,401,4890,0.0814746543778801,0.8117408906882592,fs2,8-month lag
2021-02,partitioned_thresholded,0.3938294010889292,0.4392712550607287,0.415311004784689,5425,217,334,277,4597,0.112626728110599,0.5607287449392713,fs2,8-month lag
