test_month,forecasting_scope,active_lag_months,threshold_enabled,selected_threshold,fallback_reason,validation_precision,validation_recall,validation_f1,validation_support,validation_positive_cases,fit_start,fit_end,validation_start,validation_end,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn,scope,forecasting_horizon
2024-02,2,8,True,0.46,,0.7593700787401575,0.8368622006247831,0.7962351387054162,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.7732453509298141,0.6664943123061013,0.7159122465981672,1289,378,645,3385,fs2,8-month lag
2024-06,2,8,True,0.44,,0.7785593697242543,0.8590499844768705,0.8168265682656827,10415,3221,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.7073754789272031,0.7539561000510464,0.7299234000494192,1477,611,482,3127,fs2,8-month lag
2024-10,2,8,True,0.4,,0.7950243374797188,0.8092485549132948,0.8020733869867687,10965,3633,2021-06-01,2023-02-01,2023-06-01,2023-10-01,0.5235966219572777,0.7632150615496017,0.621096051856217,1054,959,327,2996,fs2,8-month lag
2021-02,3,12,True,0.25,,0.4615384615384615,0.782608695652174,0.5806451612903226,10730,2438,2017-06-01,2019-02-01,2019-06-01,2019-10-01,0.4026083298275136,0.7915632754342432,0.5337423312883436,957,1420,252,2796,fs3,12-month lag
2021-06,3,12,True,0.46,,0.6074925500212857,0.6436626071267478,0.6250547525186158,10871,2217,2017-10-01,2019-06-01,2019-10-01,2020-02-01,0.4412296564195298,0.4989775051124744,0.4683301343570057,488,618,490,2789,fs3,12-month lag
2021-10,3,12,True,0.52,,0.5330396475770925,0.6429330499468651,0.5828516377649325,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.6648291069459757,0.5506849315068493,0.6023976023976024,603,304,492,3575,fs3,12-month lag
2022-02,3,12,True,0.56,,0.7242359630419332,0.5667408231368187,0.6358814352574103,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.7845601436265709,0.2946729602157788,0.4284313725490196,437,120,1046,3371,fs3,12-month lag
2022-06,3,12,True,0.47,,0.5943814687037949,0.5911764705882353,0.592774637503072,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.702485380116959,0.5913846153846154,0.6421650517875042,961,407,664,2832,fs3,12-month lag
2022-10,3,12,True,0.34,,0.5296096904441454,0.7197073616826704,0.6101957743748789,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.6597110754414125,0.7653631284916201,0.7086206896551724,1233,636,378,2765,fs3,12-month lag
2023-02,3,12,True,0.43,,0.6150358896864375,0.7853352629040039,0.6898305084745763,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.7043407043407044,0.6771653543307087,0.6904857486953031,860,361,410,3229,fs3,12-month lag
2023-06,3,12,True,0.36,,0.6520874751491054,0.7633824670287044,0.7033595425303788,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.7364960075152653,0.8036904151717068,0.7686274509803922,1568,561,383,3043,fs3,12-month lag
2023-10,3,12,True,0.32,,0.7357937902753369,0.8082368082368082,0.7703158540325054,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.5968925334484246,0.8222354340071344,0.6916729182295573,1383,934,299,2794,fs3,12-month lag
2024-02,3,12,True,0.29,,0.7255896525488207,0.8841161928306551,0.7970469424710961,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.6163454675231977,0.8929679420889348,0.7293074324324325,1727,1075,207,2688,fs3,12-month lag
2024-06,3,12,True,0.48,,0.776364245061935,0.8049288441513364,0.7903885480572598,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.6931554524361949,0.6100051046452272,0.6489275047515611,1195,529,764,3209,fs3,12-month lag
2024-10,3,12,True,0.51,,0.833011583011583,0.8037876435889475,0.818138726497077,10415,3221,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.5767835550181378,0.6908037653874004,0.628665568369028,954,700,427,3255,fs3,12-month lag
