scope,forecasting_horizon,pooled_precision,pooled_recall,pooled_f1,partitioned_precision,partitioned_recall,partitioned_f1,partitioned_thresholded_precision,partitioned_thresholded_recall,partitioned_thresholded_f1,delta_thresholded_minus_partitioned_precision,delta_thresholded_minus_pooled_precision,delta_thresholded_minus_partitioned_recall,delta_thresholded_minus_pooled_recall,delta_thresholded_minus_partitioned_f1,delta_thresholded_minus_pooled_f1
fs1,4-month horizon,0.774711065256117,0.5296484981998036,0.611517203774731,0.7398738732198527,0.6170578931559364,0.6665204639196014,0.6765344238968686,0.7217085495654997,0.6845274628112185,-0.06333944932298408,-0.09817664135924842,0.10465065640956328,0.19206005136569604,0.018006998891617054,0.0730102590364875
fs2,8-month horizon,0.7695182519529721,0.4986472925671794,0.5850316785920892,0.7313788264700744,0.589061371384359,0.6463312220769281,0.6576111129617629,0.6785450182697708,0.6586516893176384,-0.07376771350831146,-0.11190713899120919,0.08948364688541177,0.17989772570259138,0.012320467240710342,0.07362001072554925
fs3,12-month horizon,0.7235338561844218,0.4575662296446113,0.5432814294182007,0.6853535319638432,0.539693909339508,0.5967900865307145,0.6312466562095447,0.659984643366744,0.6277513812807614,-0.05410687575429851,-0.09228719997487711,0.120290734027236,0.2024184137221327,0.03096129475004683,0.08446995186256068
