partition_id,training_rows,classes_present,local_model_fitted,reason
0,2200,2,True,
1,8976,2,True,
2,912,1,False,single_class
3,1009,2,True,
4,3088,2,True,
5,2496,2,True,
6,4717,2,True,
7,2272,2,True,
8,635,2,True,
9,1008,2,True,
10,1953,2,True,
11,2472,2,True,
