partition_id,training_rows,classes_present,local_model_fitted,reason
0,3194,2,True,
1,3588,2,True,
2,459,1,False,single_class
3,1683,2,True,
4,299,2,True,
5,5463,2,True,
6,2628,2,True,
7,1143,2,True,
8,504,1,False,single_class
9,1350,1,False,single_class
10,1248,2,True,
11,869,2,True,
12,1917,2,True,
13,1761,2,True,
14,2159,2,True,
15,1485,2,True,
16,4140,2,True,
