FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier
0,4,9.551002,29.130297,False
1,4,9.786447,28.414507,False
2,4,7.7992144,32.85308,False
3,4,8.417933,26.89562,False
4,4,9.243146,27.6138,False
5,4,9.334756,26.729689,False
6,4,8.667977,27.736115,False
7,4,8.930424,26.72393,False
8,4,6.150162,31.229462,False
9,4,8.291426,30.98072,False
10,4,9.490525,32.40192,False
11,4,6.4656444,32.00486,False
12,4,4.359346,33.44793,False
13,4,9.083722,31.442097,False
14,4,7.0822926,29.224924,False
15,4,7.6175737,31.186474,False
16,4,5.4600983,27.893723,False
17,4,9.071978,30.688026,False
18,4,9.980295,31.84424,False
19,4,8.597443,28.589058,False
20,4,8.56744,28.109972,False
21,4,9.197522,30.075191,False
22,4,5.09955,29.06163,False
23,4,4.0283284,33.13116,False
24,4,4.7170806,31.48342,False
25,4,7.5925064,28.024385,False
26,4,3.894862,31.46053,False
27,4,5.131699,34.65216,False
28,4,5.306582,33.461914,False
29,4,4.5634127,33.68026,False
30,4,8.6339035,29.857418,False
31,4,4.27799,30.853539,False
32,4,8.174243,30.228167,False
33,4,9.255936,33.52691,False
34,4,5.249238,32.671417,False
35,4,8.833608,33.163315,False
36,12,10.023908,33.459976,False
37,4,3.9113195,32.210762,False
38,4,8.740229,33.862453,False
39,4,9.658457,31.642797,False
40,4,11.130983,32.370197,False
41,4,5.096247,29.684683,False
42,4,8.122516,29.919695,False
43,4,9.094565,29.2165,False
44,4,10.380961,32.56855,False
45,4,3.7387795,30.831562,False
46,4,5.3078823,30.682564,False
47,4,5.2139373,30.20821,False
48,4,5.9179792,30.032368,False
49,4,6.4713254,27.738218,False
50,4,8.583063,32.1197,False
51,5,5.3084807,28.205763,False
52,4,7.524552,30.336622,False
53,4,9.443533,31.452188,False
54,12,9.815146,30.118797,False
55,4,6.3963685,33.568096,False
56,4,7.1130314,33.815495,False
57,4,8.617606,25.589775,False
58,12,11.362642,32.95721,False
59,4,9.268476,29.635662,False
60,4,7.0185,29.78404,False
61,4,6.7186704,30.013824,False
62,4,7.5245805,29.704245,False
63,4,6.0432644,27.14289,False
64,4,5.662623,31.325756,False
65,4,7.847276,29.28494,False
66,4,8.246329,28.91646,False
67,4,7.080619,28.734674,False
68,4,4.3724313,32.567097,False
69,4,7.10077,31.322704,False
70,4,9.135147,28.391762,False
71,4,8.579216,32.827198,False
72,4,7.62531,32.11129,False
73,4,7.2847724,27.298227,False
74,4,6.200243,29.208889,False
75,4,5.1247153,28.547338,False
76,4,4.251823,30.34422,False
77,4,6.793194,30.80245,False
78,4,6.3952436,30.486982,False
79,1,12.021253,18.109903,False
80,1,11.624716,16.231733,False
81,1,13.367175,16.21961,False
82,1,13.302234,16.865908,False
83,1,11.348701,17.941626,False
84,1,13.384515,19.630894,False
85,1,13.029963,18.46927,False
86,1,11.730996,15.252166,False
87,1,12.371419,16.8705,False
88,1,12.840006,15.631042,False
89,1,12.2211,20.031048,False
90,1,12.895693,17.57291,False
91,1,12.134828,18.777029,False
92,1,12.512603,15.298653,False
93,1,12.423524,19.565012,False
94,1,11.059698,15.250352,False
95,1,12.120266,15.05159,False
96,1,13.481585,15.70248,False
97,1,13.369669,15.251934,False
98,1,12.910642,21.243002,False
99,1,13.563464,21.817802,False
100,1,14.510957,21.052895,False
101,1,14.42946,21.954435,False
102,1,12.454664,20.654144,False
103,1,12.499991,21.697868,False
104,1,14.972459,22.454733,False
105,1,15.010023,21.633837,False
106,1,13.666249,20.838526,False
107,1,18.054066,23.130514,False
108,1,15.324307,17.290596,False
109,1,15.498639,19.916807,False
110,1,15.3229475,18.913387,False
111,1,15.537722,20.296652,False
112,1,16.638493,19.141233,False
113,1,17.685427,17.365604,False
114,1,18.817804,21.118668,False
115,1,16.3786,21.253277,False
116,1,15.993007,15.935085,False
117,1,20.637749,18.48788,False
118,1,20.897213,16.15249,False
119,1,15.987338,23.082228,False
120,1,10.926669,16.407063,False
121,1,10.689064,18.600428,False
122,1,10.630485,16.6803,False
123,1,10.549453,15.627432,False
124,1,10.7701,15.62734,False
125,1,11.5276985,19.579544,False
126,1,10.932282,20.41516,False
127,1,11.8883295,20.95476,False
128,1,10.424202,21.118557,False
129,1,11.790246,22.104717,False
130,1,10.229745,19.5467,False
131,1,9.544025,18.182793,False
132,1,8.31734,17.714977,False
133,1,8.665046,15.512049,False
134,1,8.415834,18.539541,False
135,1,8.972945,15.847734,False
136,1,9.500247,15.35262,False
137,1,8.3913145,17.066221,False
138,1,8.139514,16.886238,False
139,1,9.534377,19.161407,False
140,1,9.609026,14.390759,False
141,1,8.68286,15.989723,False
142,1,8.583878,16.61673,False
143,1,7.9414353,16.691994,False
144,1,8.886145,16.884508,False
145,1,10.09949,17.214357,False
146,1,8.646528,17.281338,False
147,1,9.153261,17.565355,False
148,1,9.874057,14.467488,False
149,1,9.145,14.930336,False
150,1,9.832662,15.167447,False
151,1,8.032555,15.9058485,False
152,1,8.972523,16.348934,False
153,1,9.551989,16.874943,False
154,1,9.208313,15.675364,False
155,1,9.715027,15.611209,False
156,1,10.100464,15.826143,False
157,1,9.269551,16.146229,False
158,1,9.797224,16.352255,False
