FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier
0,0,9.551002,29.130297,False
1,0,9.786447,28.414507,False
2,0,7.7992144,32.85308,False
3,0,8.417933,26.89562,False
4,0,9.243146,27.6138,False
5,0,9.334756,26.729689,False
6,0,8.667977,27.736115,False
7,0,8.930424,26.72393,False
8,0,6.150162,31.229462,False
9,0,8.291426,30.98072,False
10,0,9.490525,32.40192,False
11,0,6.4656444,32.00486,False
12,0,4.359346,33.44793,False
13,0,9.083722,31.442097,False
14,0,7.0822926,29.224924,False
15,0,7.6175737,31.186474,False
16,0,5.4600983,27.893723,False
17,0,9.071978,30.688026,False
18,0,9.980295,31.84424,False
19,0,8.597443,28.589058,False
20,0,8.56744,28.109972,False
21,0,9.197522,30.075191,False
22,1,5.09955,29.06163,False
23,0,4.0283284,33.13116,False
24,0,4.7170806,31.48342,False
25,0,7.5925064,28.024385,False
26,0,3.894862,31.46053,False
27,0,5.131699,34.65216,False
28,0,5.306582,33.461914,False
29,0,4.5634127,33.68026,False
30,0,8.6339035,29.857418,False
31,0,4.27799,30.853539,False
32,0,8.174243,30.228167,False
33,0,9.255936,33.52691,False
34,0,5.249238,32.671417,False
35,0,8.833608,33.163315,False
36,3,10.023908,33.459976,False
37,0,3.9113195,32.210762,False
38,0,8.740229,33.862453,False
39,0,9.658457,31.642797,False
40,0,11.130983,32.370197,False
41,0,5.096247,29.684683,False
42,0,8.122516,29.919695,False
43,0,9.094565,29.2165,False
44,3,10.380961,32.56855,False
45,0,3.7387795,30.831562,False
46,0,5.3078823,30.682564,False
47,0,5.2139373,30.20821,False
48,0,5.9179792,30.032368,False
49,0,6.4713254,27.738218,False
50,0,8.583063,32.1197,False
51,1,5.3084807,28.205763,False
52,0,7.524552,30.336622,False
53,0,9.443533,31.452188,False
54,3,9.815146,30.118797,False
55,0,6.3963685,33.568096,False
56,0,7.1130314,33.815495,False
57,0,8.617606,25.589775,False
58,3,11.362642,32.95721,False
59,0,9.268476,29.635662,False
60,0,7.0185,29.78404,False
61,0,6.7186704,30.013824,False
62,0,7.5245805,29.704245,False
63,0,6.0432644,27.14289,False
64,0,5.662623,31.325756,False
65,0,7.847276,29.28494,False
66,0,8.246329,28.91646,False
67,0,7.080619,28.734674,False
68,0,4.3724313,32.567097,False
69,0,7.10077,31.322704,False
70,0,9.135147,28.391762,False
71,0,8.579216,32.827198,False
72,0,7.62531,32.11129,False
73,0,7.2847724,27.298227,False
74,0,6.200243,29.208889,False
75,1,5.1247153,28.547338,False
76,0,4.251823,30.34422,False
77,0,6.793194,30.80245,False
78,0,6.3952436,30.486982,False
79,6,12.021253,18.109903,False
80,6,11.624716,16.231733,False
81,6,13.367175,16.21961,False
82,6,13.302234,16.865908,False
83,6,11.348701,17.941626,False
84,6,13.384515,19.630894,False
85,6,13.029963,18.46927,False
86,6,11.730996,15.252166,False
87,6,12.371419,16.8705,False
88,6,12.840006,15.631042,False
89,6,12.2211,20.031048,False
90,6,12.895693,17.57291,False
91,6,12.134828,18.777029,False
92,6,12.512603,15.298653,False
93,6,12.423524,19.565012,False
94,6,11.059698,15.250352,False
95,6,12.120266,15.05159,False
96,6,13.481585,15.70248,False
97,6,13.369669,15.251934,False
98,6,12.910642,21.243002,False
99,6,13.563464,21.817802,False
100,6,14.510957,21.052895,False
101,6,14.42946,21.954435,False
102,6,12.454664,20.654144,False
103,6,12.499991,21.697868,False
104,6,14.972459,22.454733,False
105,6,15.010023,21.633837,False
106,6,13.666249,20.838526,False
107,6,18.054066,23.130514,False
108,6,15.324307,17.290596,False
109,6,15.498639,19.916807,False
110,6,15.3229475,18.913387,False
111,6,15.537722,20.296652,False
112,6,16.638493,19.141233,False
113,6,17.685427,17.365604,False
114,6,18.817804,21.118668,False
115,6,16.3786,21.253277,False
116,6,15.993007,15.935085,False
117,6,20.637749,18.48788,False
118,6,20.897213,16.15249,False
119,6,15.987338,23.082228,False
120,6,10.926669,16.407063,False
121,6,10.689064,18.600428,False
122,6,10.630485,16.6803,False
123,6,10.549453,15.627432,False
124,6,10.7701,15.62734,False
125,6,11.5276985,19.579544,False
126,6,10.932282,20.41516,False
127,6,11.8883295,20.95476,False
128,6,10.424202,21.118557,False
129,6,11.790246,22.104717,False
130,6,10.229745,19.5467,False
131,6,9.544025,18.182793,False
132,6,8.31734,17.714977,False
133,6,8.665046,15.512049,False
134,6,8.415834,18.539541,False
135,6,8.972945,15.847734,False
136,6,9.500247,15.35262,False
137,6,8.3913145,17.066221,False
138,6,8.139514,16.886238,False
139,6,9.534377,19.161407,False
140,6,9.609026,14.390759,False
141,6,8.68286,15.989723,False
142,6,8.583878,16.61673,False
143,6,7.9414353,16.691994,False
144,6,8.886145,16.884508,False
145,6,10.09949,17.214357,False
146,6,8.646528,17.281338,False
147,6,9.153261,17.565355,False
148,6,9.874057,14.467488,False
149,6,9.145,14.930336,False
150,6,9.832662,15.167447,False
151,6,8.032555,15.9058485,False
152,6,8.972523,16.348934,False
153,6,9.551989,16.874943,False
154,6,9.208313,15.675364,False
155,6,9.715027,15.611209,False
156,6,10.100464,15.826143,False
157,6,9.269551,16.146229,False
158,6,9.797224,16.352255,False
159,6,9.493372,15.905347,False
160,6,14.359262,16.909338,False
161,6,13.804223,16.384193,False
162,6,14.40457,19.574114,False
163,6,14.258928,18.444426,False
164,6,15.154208,20.717344,False
165,6,14.131925,15.246283,False
166,6,15.530672,22.411777,False
167,6,15.430983,21.669806,False
168,6,15.007032,14.955281,False
169,6,14.101834,14.056286,False
170,6,13.610963,14.363044,False
171,6,13.36575,14.65994,False
172,9,5.9895124,47.26317,False
173,9,4.906683,46.90168,False
174,9,5.433911,46.94494,False
175,9,7.7423334,49.454285,False
176,9,6.818011,47.919876,False
177,9,6.1064253,48.164288,False
178,9,7.159401,48.935413,False
179,9,3.3128219,43.76181,False
180,9,2.499122,43.995365,False
181,9,2.1471353,43.08928,False
182,9,2.6070082,43.0841,False
183,9,3.552952,44.53558,False
184,9,3.7397451,43.49257,False
185,9,3.1604137,44.71151,False
186,9,3.916249,44.038025,False
187,9,3.3780532,46.83571,False
188,9,1.9532189,45.158993,False
189,9,2.3815517,45.848145,False
190,9,9.150902,50.56334,False
191,9,2.9396286,46.418545,False
192,9,4.023141,47.352848,False
193,9,7.996954,49.844948,False
194,9,5.6812563,48.62198,False
195,9,10.393404,51.035667,False
196,9,7.0803814,49.337063,False
197,9,1.8697311,45.003086,False
198,9,4.7227793,47.92938,False
199,9,3.5841866,46.491276,False
200,9,2.542389,45.841988,False
201,9,3.9961123,46.337013,False
202,9,3.1354315,46.209824,False
203,9,4.589601,47.016365,False
204,9,4.0680203,46.8558,False
205,9,5.223375,47.570923,False
206,9,5.358379,47.966713,False
207,9,2.8991406,45.85061,False
208,9,4.887391,47.697765,False
209,9,10.97863,48.572598,False
210,13,11.040522,49.412045,False
211,9,11.666792,50.793045,False
212,10,10.348339,46.742924,False
213,9,10.795204,47.466534,False
214,9,10.962765,50.761143,False
215,9,11.102503,50.107872,False
217,9,10.461167,43.952904,False
218,9,10.54256,45.372105,False
219,9,10.41778,43.265667,False
220,13,10.685574,46.21774,False
221,9,10.650044,43.577038,False
222,9,10.96093,43.242867,False
223,9,4.894068,45.748875,False
224,9,4.388465,46.05138,False
225,9,8.901769,45.76434,False
226,9,7.8010507,48.3981,False
227,9,8.459745,46.660347,False
228,9,5.824846,46.123947,False
229,9,6.2044344,46.91375,False
230,9,8.952569,46.301525,False
231,9,4.766173,46.200047,False
232,9,5.4532747,46.24246,False
233,9,7.967529,49.39122,False
234,9,7.008634,47.53709,False
235,9,8.178762,48.64356,False
236,9,7.0379996,47.220596,False
237,0,9.086835,44.39188,False
238,9,7.535132,48.784042,False
239,9,8.147358,47.539574,False
240,0,9.056219,44.98448,False
241,9,0.44437185,41.88742,False
242,9,-0.830958,41.395435,False
243,9,1.0934244,42.878498,False
244,9,0.7622732,42.9671,False
245,9,-0.41870305,41.860966,False
246,9,10.112961,48.811222,False
247,9,9.245729,50.27918,False
248,13,10.644447,49.36813,False
249,9,9.295636,46.517883,False
250,0,9.810202,46.93221,False
251,0,10.0620985,47.95922,False
252,9,8.353461,49.507854,False
253,9,8.538342,48.81902,False
254,9,10.221257,50.21303,False
255,9,8.563443,47.677296,False
256,9,10.622209,49.89251,False
257,9,9.501121,49.50659,False
258,9,9.178455,48.540176,False
259,0,9.140635,47.50645,False
260,0,9.925571,43.398163,False
261,0,9.9847,43.1933,False
262,9,9.661901,43.548035,False
263,9,9.462883,44.145947,False
264,9,2.1277368,45.05378,False
265,9,0.24568006,42.512608,False
266,9,2.500958,45.45314,False
267,9,1.0685452,43.59789,False
268,9,0.96192783,42.607166,False
269,9,3.2698977,45.594418,False
270,9,0.10124604,42.71161,False
271,9,0.58300155,42.909595,False
272,9,2.9596868,45.53142,False
273,9,-0.13965444,42.55541,False
274,9,1.6078329,44.267723,False
275,9,1.7285241,44.65425,False
276,9,1.8287638,44.611156,False
277,9,1.2174156,43.68174,False
278,9,2.3621905,42.272324,False
279,0,4.718474,45.17888,False
280,9,1.3338823,42.497044,False
281,9,3.8735025,45.55077,False
282,9,4.106404,42.182495,False
283,9,3.1217394,42.497597,False
284,9,3.4408922,45.66995,False
285,9,3.8041997,42.507587,False
286,9,3.0300338,42.599957,False
287,9,1.7219477,42.374702,False
288,9,2.2883844,45.06538,False
289,9,2.3323689,42.402786,False
