FEWSNET_admin_code,target_month,target_label,partition_id
0,2016-10,0,0
0,2017-02,1,0
0,2017-06,0,0
0,2017-10,0,0
0,2018-02,1,0
0,2018-06,1,0
0,2018-10,1,0
0,2019-02,1,0
1,2016-10,0,0
1,2017-02,0,0
1,2017-06,0,0
1,2017-10,0,0
1,2018-02,0,0
1,2018-06,1,0
1,2018-10,0,0
1,2019-02,0,0
2,2016-10,0,3
2,2017-02,0,3
2,2017-06,1,3
2,2017-10,1,3
2,2018-02,1,3
2,2018-06,1,3
2,2018-10,1,3
2,2019-02,1,3
3,2016-10,1,0
3,2017-02,1,0
3,2017-06,1,0
3,2017-10,1,0
3,2018-02,1,0
3,2018-06,1,0
3,2018-10,0,0
3,2019-02,1,0
4,2016-10,1,0
4,2017-02,1,0
4,2017-06,1,0
4,2017-10,1,0
4,2018-02,1,0
4,2018-06,1,0
4,2018-10,1,0
4,2019-02,1,0
5,2016-10,1,0
5,2017-02,1,0
5,2017-06,1,0
5,2017-10,1,0
5,2018-02,1,0
5,2018-06,1,0
5,2018-10,1,0
5,2019-02,1,0
6,2016-10,1,0
6,2017-02,1,0
6,2017-06,1,0
6,2017-10,1,0
6,2018-02,1,0
6,2018-06,1,0
6,2018-10,0,0
6,2019-02,1,0
7,2016-10,1,0
7,2017-02,1,0
7,2017-06,1,0
7,2017-10,1,0
7,2018-02,1,0
7,2018-06,1,0
7,2018-10,1,0
7,2019-02,1,0
8,2016-10,0,4
8,2017-02,0,4
8,2017-06,0,4
8,2017-10,1,4
8,2018-02,1,4
8,2018-06,1,4
8,2018-10,1,4
8,2019-02,1,4
9,2016-10,1,0
9,2017-02,1,0
9,2017-06,1,0
9,2017-10,1,0
9,2018-02,1,0
9,2018-06,1,0
9,2018-10,1,0
9,2019-02,1,0
10,2016-10,1,4
10,2017-02,1,4
10,2017-06,1,4
10,2017-10,1,4
10,2018-02,1,4
10,2018-06,1,4
10,2018-10,1,4
10,2019-02,1,4
11,2016-10,1,4
11,2017-02,0,4
11,2017-06,1,4
11,2017-10,0,4
11,2018-02,1,4
11,2018-06,1,4
11,2018-10,1,4
11,2019-02,1,4
12,2016-10,0,7
12,2017-02,1,7
12,2017-06,1,7
12,2017-10,0,7
12,2018-02,1,7
12,2018-06,0,7
12,2018-10,1,7
12,2019-02,1,7
13,2016-10,1,0
13,2017-02,1,0
13,2017-06,1,0
13,2017-10,1,0
13,2018-02,1,0
13,2018-06,1,0
13,2018-10,1,0
13,2019-02,1,0
14,2016-10,0,4
14,2017-02,1,4
14,2017-06,1,4
14,2017-10,1,4
14,2018-02,1,4
14,2018-06,1,4
14,2018-10,1,4
14,2019-02,1,4
15,2016-10,1,0
15,2017-02,1,0
15,2017-06,1,0
15,2017-10,1,0
15,2018-02,1,0
15,2018-06,1,0
15,2018-10,1,0
15,2019-02,1,0
16,2016-10,0,4
16,2017-02,0,4
16,2017-06,1,4
16,2017-10,0,4
16,2018-02,1,4
16,2018-06,1,4
16,2018-10,0,4
16,2019-02,1,4
17,2016-10,1,0
17,2017-02,1,0
17,2017-06,1,0
17,2017-10,1,0
17,2018-02,1,0
17,2018-06,1,0
17,2018-10,1,0
17,2019-02,1,0
18,2016-10,1,4
18,2017-02,1,4
18,2017-06,1,4
18,2017-10,1,4
18,2018-02,1,4
18,2018-06,1,4
18,2018-10,1,4
18,2019-02,1,4
19,2016-10,0,0
19,2017-02,1,0
19,2017-06,1,0
19,2017-10,1,0
19,2018-02,1,0
19,2018-06,1,0
19,2018-10,0,0
19,2019-02,1,0
20,2016-10,0,0
20,2017-02,0,0
20,2017-06,1,0
20,2017-10,1,0
20,2018-02,1,0
20,2018-06,1,0
20,2018-10,0,0
20,2019-02,1,0
21,2016-10,1,0
21,2017-02,1,0
21,2017-06,1,0
21,2017-10,1,0
21,2018-02,1,0
21,2018-06,1,0
21,2018-10,1,0
21,2019-02,1,0
22,2016-10,0,4
22,2017-02,0,4
22,2017-06,0,4
22,2017-10,0,4
22,2018-02,0,4
22,2018-06,0,4
22,2018-10,0,4
22,2019-02,0,4
23,2016-10,0,7
23,2017-02,1,7
23,2017-06,1,7
23,2017-10,1,7
23,2018-02,1,7
23,2018-06,0,7
23,2018-10,1,7
23,2019-02,1,7
24,2016-10,1,4
24,2017-02,1,4
24,2017-06,1,4
24,2017-10,1,4
24,2018-02,1,4
24,2018-06,1,4
24,2018-10,1,4
24,2019-02,1,4
25,2016-10,1,0
25,2017-02,1,0
25,2017-06,1,0
25,2017-10,1,0
25,2018-02,0,0
25,2018-06,1,0
25,2018-10,0,0
25,2019-02,1,0
26,2016-10,0,7
26,2017-02,1,7
26,2017-06,1,7
26,2017-10,1,7
26,2018-02,1,7
26,2018-06,1,7
26,2018-10,1,7
26,2019-02,1,7
27,2016-10,0,3
27,2017-02,1,3
27,2017-06,1,3
27,2017-10,1,3
27,2018-02,1,3
27,2018-06,1,3
27,2018-10,1,3
27,2019-02,1,3
28,2016-10,1,7
28,2017-02,1,7
28,2017-06,1,7
28,2017-10,1,7
28,2018-02,1,7
28,2018-06,1,7
28,2018-10,1,7
28,2019-02,1,7
29,2016-10,0,7
29,2017-02,1,7
29,2017-06,1,7
29,2017-10,1,7
29,2018-02,1,7
29,2018-06,1,7
29,2018-10,1,7
29,2019-02,1,7
30,2016-10,1,0
30,2017-02,1,0
30,2017-06,1,0
30,2017-10,1,0
30,2018-02,1,0
30,2018-06,1,0
30,2018-10,1,0
30,2019-02,1,0
31,2016-10,1,4
31,2017-02,1,4
31,2017-06,1,4
31,2017-10,1,4
31,2018-02,1,4
31,2018-06,1,4
31,2018-10,1,4
31,2019-02,1,4
32,2016-10,1,0
32,2017-02,1,0
32,2017-06,1,0
32,2017-10,1,0
32,2018-02,1,0
32,2018-06,1,0
32,2018-10,1,0
32,2019-02,1,0
33,2016-10,0,4
33,2017-02,1,4
33,2017-06,1,4
33,2017-10,1,4
33,2018-02,1,4
33,2018-06,1,4
33,2018-10,1,4
33,2019-02,1,4
34,2016-10,0,4
34,2017-02,1,4
34,2017-06,1,4
34,2017-10,1,4
34,2018-02,1,4
34,2018-06,1,4
34,2018-10,1,4
34,2019-02,1,4
35,2016-10,1,4
35,2017-02,1,4
35,2017-06,1,4
35,2017-10,1,4
35,2018-02,1,4
35,2018-06,1,4
35,2018-10,1,4
35,2019-02,1,4
36,2016-10,0,4
36,2017-02,0,4
36,2017-06,0,4
36,2017-10,0,4
36,2018-02,1,4
36,2018-06,1,4
36,2018-10,1,4
36,2019-02,1,4
37,2016-10,1,7
37,2017-02,1,7
37,2017-06,1,7
37,2017-10,1,7
37,2018-02,0,7
37,2018-06,0,7
37,2018-10,0,7
37,2019-02,1,7
38,2016-10,0,4
38,2017-02,1,4
38,2017-06,0,4
38,2017-10,1,4
38,2018-02,1,4
38,2018-06,1,4
38,2018-10,1,4
38,2019-02,1,4
39,2016-10,1,0
39,2017-02,1,0
39,2017-06,1,0
39,2017-10,1,0
39,2018-02,1,0
39,2018-06,1,0
39,2018-10,1,0
39,2019-02,1,0
40,2016-10,1,4
40,2017-02,1,4
40,2017-06,1,4
