FEWSNET_admin_code,n,f1_pooled,f1_partitioned,f1_diff,precision_pooled,precision_partitioned,recall_pooled,recall_partitioned,pct_err_all_pooled,pct_err_all_partitioned,pct_err_class1_pooled,pct_err_class1_partitioned
1328,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1329,11,0.8421052631578947,0.9523809523809523,0.11027568922305764,1.0,1.0,0.7272727272727273,0.9090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091
1330,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1331,11,0.0,0.0,0.0,0.0,0.0,,,0.09090909090909091,0.18181818181818182,0.0,0.0
1332,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1333,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1334,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1335,11,0.0,0.0,0.0,,,0.0,0.0,0.18181818181818182,0.18181818181818182,1.0,1.0
1336,11,0.625,0.42857142857142855,-0.19642857142857145,0.8333333333333334,0.75,0.5,0.3,0.5454545454545454,0.7272727272727273,0.5,0.7
1337,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1338,11,0.7142857142857143,0.7142857142857143,0.0,0.8333333333333334,0.8333333333333334,0.625,0.625,0.36363636363636365,0.36363636363636365,0.375,0.375
1339,11,0.7058823529411764,0.7058823529411764,0.0,0.8571428571428571,0.8571428571428571,0.6,0.6,0.45454545454545453,0.45454545454545453,0.4,0.4
1340,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1341,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1342,11,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.4,0.8,0.7272727272727273,0.36363636363636365,0.6,0.2
1343,11,0.0,0.0,0.0,,,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0
1344,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1345,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1346,11,0.0,0.5,0.5,0.0,0.6666666666666666,0.0,0.4,0.6363636363636364,0.36363636363636365,1.0,0.6
1347,11,0.0,0.0,0.0,,,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0
1348,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1349,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1350,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1351,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1352,11,0.0,0.5,0.5,,0.5,0.0,0.5,0.18181818181818182,0.18181818181818182,1.0,0.5
1353,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1354,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1355,11,0.0,0.0,0.0,,,0.0,0.0,0.18181818181818182,0.18181818181818182,1.0,1.0
1356,11,0.0,0.0,0.0,0.0,,0.0,0.0,0.18181818181818182,0.09090909090909091,1.0,1.0
1357,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1358,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1359,11,0.5714285714285714,0.5714285714285714,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333
1360,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1361,11,0.0,0.0,0.0,,,0.0,0.0,0.18181818181818182,0.18181818181818182,1.0,1.0
1362,11,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
1363,11,0.5,0.0,-0.5,1.0,0.0,0.3333333333333333,0.0,0.18181818181818182,0.45454545454545453,0.6666666666666666,1.0
