partition_id,training_rows,classes_present,local_model_fitted,reason
0,3281,2,True,
1,1554,2,True,
2,8192,2,True,
3,1157,2,True,
4,1865,2,True,
5,2632,2,True,
6,1952,2,True,
7,1960,2,True,
8,912,1,False,single_class
9,3088,2,True,
10,1984,2,True,
11,648,2,True,
12,1904,2,True,
13,1536,2,True,
14,856,2,True,
15,584,2,True,
16,2610,2,True,
17,816,2,True,
