FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier,cluster_id_original
0,4,9.551002,29.130297,False,4
1,4,9.786447,28.414507,False,4
2,4,7.7992144,32.85308,False,4
3,4,8.417933,26.89562,False,4
4,4,9.243146,27.6138,False,4
5,4,9.334756,26.729689,False,4
6,4,8.667977,27.736115,False,4
7,4,8.930424,26.72393,False,4
8,4,6.150162,31.229462,False,4
9,4,8.291426,30.98072,False,4
10,4,9.490525,32.40192,False,4
11,4,6.4656444,32.00486,False,4
12,4,4.359346,33.44793,False,4
13,4,9.083722,31.442097,False,4
14,4,7.0822926,29.224924,False,4
15,4,7.6175737,31.186474,False,4
16,4,5.4600983,27.893723,False,4
17,4,9.071978,30.688026,False,4
18,4,9.980295,31.84424,False,4
19,4,8.597443,28.589058,False,4
20,4,8.56744,28.109972,False,4
21,4,9.197522,30.075191,False,4
22,4,5.09955,29.06163,False,4
23,4,4.0283284,33.13116,False,4
24,4,4.7170806,31.48342,False,4
25,4,7.5925064,28.024385,False,4
26,4,3.894862,31.46053,False,4
27,4,5.131699,34.65216,False,4
28,4,5.306582,33.461914,False,4
29,4,4.5634127,33.68026,False,4
30,4,8.6339035,29.857418,False,4
31,4,4.27799,30.853539,False,4
32,4,8.174243,30.228167,False,4
33,4,9.255936,33.52691,False,4
34,4,5.249238,32.671417,False,4
35,4,8.833608,33.163315,False,4
36,4,10.023908,33.459976,False,12
37,4,3.9113195,32.210762,False,4
38,4,8.740229,33.862453,False,4
39,4,9.658457,31.642797,False,4
40,4,11.130983,32.370197,False,4
41,4,5.096247,29.684683,False,4
42,4,8.122516,29.919695,False,4
43,4,9.094565,29.2165,False,4
44,4,10.380961,32.56855,False,4
45,4,3.7387795,30.831562,False,4
46,4,5.3078823,30.682564,False,4
47,4,5.2139373,30.20821,False,4
48,4,5.9179792,30.032368,False,4
49,4,6.4713254,27.738218,False,4
50,4,8.583063,32.1197,False,4
51,4,5.3084807,28.205763,False,5
52,4,7.524552,30.336622,False,4
53,4,9.443533,31.452188,False,4
54,12,9.815146,30.118797,False,12
55,4,6.3963685,33.568096,False,4
56,4,7.1130314,33.815495,False,4
57,4,8.617606,25.589775,False,4
58,4,11.362642,32.95721,False,12
59,4,9.268476,29.635662,False,4
60,4,7.0185,29.78404,False,4
61,4,6.7186704,30.013824,False,4
62,4,7.5245805,29.704245,False,4
63,4,6.0432644,27.14289,False,4
64,4,5.662623,31.325756,False,4
65,4,7.847276,29.28494,False,4
66,4,8.246329,28.91646,False,4
67,4,7.080619,28.734674,False,4
68,4,4.3724313,32.567097,False,4
69,4,7.10077,31.322704,False,4
70,4,9.135147,28.391762,False,4
71,4,8.579216,32.827198,False,4
72,4,7.62531,32.11129,False,4
73,4,7.2847724,27.298227,False,4
74,4,6.200243,29.208889,False,4
75,4,5.1247153,28.547338,False,4
76,4,4.251823,30.34422,False,4
77,4,6.793194,30.80245,False,4
78,4,6.3952436,30.486982,False,4
79,1,12.021253,18.109903,False,1
80,1,11.624716,16.231733,False,1
81,1,13.367175,16.21961,False,1
82,1,13.302234,16.865908,False,1
83,1,11.348701,17.941626,False,1
84,1,13.384515,19.630894,False,1
85,1,13.029963,18.46927,False,1
86,1,11.730996,15.252166,False,1
87,1,12.371419,16.8705,False,1
88,1,12.840006,15.631042,False,1
89,1,12.2211,20.031048,False,1
90,1,12.895693,17.57291,False,1
91,1,12.134828,18.777029,False,1
92,1,12.512603,15.298653,False,1
93,1,12.423524,19.565012,False,1
94,1,11.059698,15.250352,False,1
95,1,12.120266,15.05159,False,1
96,1,13.481585,15.70248,False,1
97,1,13.369669,15.251934,False,1
98,1,12.910642,21.243002,False,1
99,1,13.563464,21.817802,False,1
100,1,14.510957,21.052895,False,1
101,1,14.42946,21.954435,False,1
102,1,12.454664,20.654144,False,1
103,1,12.499991,21.697868,False,1
104,1,14.972459,22.454733,False,1
105,1,15.010023,21.633837,False,1
106,1,13.666249,20.838526,False,1
