FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier,cluster_id_original
0,0,9.551002,29.130297,False,0
1,0,9.786447,28.414507,False,0
2,0,7.7992144,32.85308,False,0
3,0,8.417933,26.89562,False,0
4,0,9.243146,27.6138,False,0
5,0,9.334756,26.729689,False,0
6,0,8.667977,27.736115,False,0
7,0,8.930424,26.72393,False,0
8,0,6.150162,31.229462,False,0
9,0,8.291426,30.98072,False,0
10,0,9.490525,32.40192,False,0
11,0,6.4656444,32.00486,False,0
12,0,4.359346,33.44793,False,0
13,0,9.083722,31.442097,False,0
14,0,7.0822926,29.224924,False,0
15,0,7.6175737,31.186474,False,0
16,0,5.4600983,27.893723,False,0
17,0,9.071978,30.688026,False,0
18,0,9.980295,31.84424,False,0
19,0,8.597443,28.589058,False,0
20,0,8.56744,28.109972,False,0
21,0,9.197522,30.075191,False,0
22,1,5.09955,29.06163,False,1
23,0,4.0283284,33.13116,False,0
24,0,4.7170806,31.48342,False,0
25,0,7.5925064,28.024385,False,0
26,0,3.894862,31.46053,False,0
27,0,5.131699,34.65216,False,0
28,0,5.306582,33.461914,False,0
29,0,4.5634127,33.68026,False,0
30,0,8.6339035,29.857418,False,0
31,0,4.27799,30.853539,False,0
32,0,8.174243,30.228167,False,0
33,0,9.255936,33.52691,False,0
34,0,5.249238,32.671417,False,0
35,0,8.833608,33.163315,False,0
36,3,10.023908,33.459976,False,3
37,0,3.9113195,32.210762,False,0
38,0,8.740229,33.862453,False,0
39,0,9.658457,31.642797,False,0
40,0,11.130983,32.370197,False,0
41,0,5.096247,29.684683,False,0
42,0,8.122516,29.919695,False,0
43,0,9.094565,29.2165,False,0
44,3,10.380961,32.56855,False,3
45,0,3.7387795,30.831562,False,0
46,0,5.3078823,30.682564,False,0
47,0,5.2139373,30.20821,False,0
48,0,5.9179792,30.032368,False,0
49,0,6.4713254,27.738218,False,0
50,0,8.583063,32.1197,False,0
51,1,5.3084807,28.205763,False,1
52,0,7.524552,30.336622,False,0
53,0,9.443533,31.452188,False,0
54,3,9.815146,30.118797,False,3
55,0,6.3963685,33.568096,False,0
56,0,7.1130314,33.815495,False,0
57,0,8.617606,25.589775,False,0
58,3,11.362642,32.95721,False,3
59,0,9.268476,29.635662,False,0
60,0,7.0185,29.78404,False,0
61,0,6.7186704,30.013824,False,0
62,0,7.5245805,29.704245,False,0
63,0,6.0432644,27.14289,False,0
64,0,5.662623,31.325756,False,0
65,0,7.847276,29.28494,False,0
66,0,8.246329,28.91646,False,0
67,0,7.080619,28.734674,False,0
68,0,4.3724313,32.567097,False,0
69,0,7.10077,31.322704,False,0
70,0,9.135147,28.391762,False,0
71,0,8.579216,32.827198,False,0
72,0,7.62531,32.11129,False,0
73,0,7.2847724,27.298227,False,0
