arm,horizon_months,config_id,rows,f1,t0,t1,changes_from_b,tp,fp,fn
binary_history_xgb,1,X0,9668,0.8228992299966521,0.9929625391960144,0.097613373696804,60,2458,445,613
binary_history_xgb,1,X1,9668,0.820890525610981,0.988401174545288,0.18146362364292137,60,2452,451,619
binary_history_xgb,1,X2,9668,0.8232340140609307,0.9731263518333436,0.20040139853954314,60,2459,444,612
binary_history_xgb,1,X3,9668,0.8228992299966521,0.9796044826507568,0.15678785383701319,60,2458,445,613
binary_history_xgb,1,X4,9668,0.8224516988674218,0.9762560725212096,0.1041811570525169,30,2469,464,602
binary_history_xgb,1,X5,9668,0.82145236508994,0.9814401865005492,0.1299795857071876,30,2466,467,605
binary_history_xgb,3,X0,9667,0.8260355029585799,0.989272117614746,0.18730760097503657,119,2443,401,628
binary_history_xgb,3,X1,9667,0.8218331616889805,0.96101975440979,0.4391497331857681,208,2394,361,677
binary_history_xgb,3,X2,9667,0.8231096006796942,0.9512722492218018,0.3712362468242645,149,2422,392,649
binary_history_xgb,3,X3,9667,0.8261682242990654,0.9573051929473876,0.31547302305698394,149,2431,383,640
binary_history_xgb,3,X4,9667,0.8239035821894878,0.952094554901123,0.1896743613481521,60,2461,442,610
binary_history_xgb,3,X5,9667,0.8214898729831789,0.9579229354858398,0.42756569385528587,208,2393,362,678
binary_history_xgb,6,X0,8887,0.7901835893593107,0.983159065246582,0.08962226092815394,80,2109,478,642
binary_history_xgb,6,X1,8887,0.7867263236390754,0.9656934142112732,0.12951510250568388,54,2110,503,641
binary_history_xgb,6,X2,8887,0.7889634601043997,0.9163482189178468,0.17252602756023405,54,2116,497,635
binary_history_xgb,6,X3,8887,0.7898089171974523,0.9641125202178956,0.1606479087471962,80,2108,479,643
binary_history_xgb,6,X4,8887,0.7905582615211689,0.9567803144454956,0.17437108129262924,80,2110,477,641
binary_history_xgb,6,X5,8887,0.7894342450355939,0.93179589509964,0.18314852863550182,80,2107,480,644
binary_history_xgb,12,X0,8168,0.7792682926829269,0.9948423504829408,-Infinity,0,1917,427,659
binary_history_xgb,12,X1,8168,0.7792682926829269,0.9943437576293944,-Infinity,0,1917,427,659
binary_history_xgb,12,X2,8168,0.7792682926829269,0.9800432920455932,-Infinity,0,1917,427,659
binary_history_xgb,12,X3,8168,0.7792682926829269,0.9846609234809875,-Infinity,0,1917,427,659
binary_history_xgb,12,X4,8168,0.7792682926829269,0.9801990389823914,-Infinity,0,1917,427,659
binary_history_xgb,12,X5,8168,0.7792682926829269,0.9833768606185912,-Infinity,0,1917,427,659
rich_direct_xgb,1,X0,9668,0.832625318606627,0.9930372834205629,0.1891053900122642,149,2450,364,621
rich_direct_xgb,1,X1,9668,0.8326502732240437,0.9726144671440125,0.31348806381225586,178,2438,347,633
rich_direct_xgb,1,X2,9668,0.8305862361937129,0.94744873046875,0.25335179567337035,149,2444,370,627
rich_direct_xgb,1,X3,9668,0.8309426229508197,0.9728143215179444,0.284378422498703,178,2433,352,638
rich_direct_xgb,1,X4,9668,0.8304153793340199,0.967394232749939,0.3216297733783722,208,2419,336,652
rich_direct_xgb,1,X5,9668,0.8319672131147541,0.961055338382721,0.2964516234397888,178,2436,349,635
rich_direct_xgb,3,X0,9667,0.8292268479184367,0.988097846508026,0.17264774143695824,149,2440,374,631
rich_direct_xgb,3,X1,9667,0.8295765027322405,0.9676476120948792,0.2842450129985809,178,2429,356,642
rich_direct_xgb,3,X2,9667,0.8316256830601093,0.9441049695014954,0.2938459372520446,178,2435,350,636
rich_direct_xgb,3,X3,9667,0.8305862361937129,0.9659907817840576,0.1984103441238403,149,2444,370,627
rich_direct_xgb,3,X4,9667,0.8305862361937129,0.9577885270118712,0.20950536280870427,149,2444,370,627
rich_direct_xgb,3,X5,9667,0.8306010928961749,0.9432092905044556,0.2631571829319,178,2432,353,639
rich_direct_xgb,6,X0,8887,0.7952680786109521,0.8676705706119535,0.20723203063011167,303,2084,406,667
rich_direct_xgb,6,X1,8887,0.7974683544303798,0.8085219806432719,0.3433553159236908,330,2079,384,672
rich_direct_xgb,6,X2,8887,0.8000759445604708,0.7956280016899104,0.2537915682792663,277,2107,409,644
rich_direct_xgb,6,X3,8887,0.7955192709322195,0.8308555918931961,0.2353564620018005,277,2095,421,656
rich_direct_xgb,6,X4,8887,0.7975577179927494,0.8088721990585321,0.2695691168308258,303,2090,400,661
rich_direct_xgb,6,X5,8887,0.799465750810914,0.8032023298740362,0.28020401597023004,303,2095,395,656
rich_direct_xgb,12,X0,8168,0.7852387293132965,0.5047923928499222,0.06090589951723807,479,2064,617,512
rich_direct_xgb,12,X1,8168,0.7825923134890731,0.5,0.05325205415487287,436,2077,655,499
rich_direct_xgb,12,X2,8168,0.7875429881543753,0.5216008925437928,0.18062232196331018,502,2061,597,515
rich_direct_xgb,12,X3,8168,0.7845719661335842,0.4696824061870574,0.09389143347740171,537,2085,654,491
rich_direct_xgb,12,X4,8168,0.7854158754272693,0.5,0.18181828737258904,534,2068,622,508
rich_direct_xgb,12,X5,8168,0.7868480725623582,0.4588547110557556,0.16433856010437004,560,2082,634,494
correction_xgb,1,X0,9668,0.821560093739538,0.9479898810386658,0.13950768232345576,60,2454,449,617
correction_xgb,1,X1,9668,0.8234289617486339,0.8839557766914368,0.3568853831291199,178,2411,374,660
correction_xgb,1,X2,9668,0.822654268808115,0.877619206905365,0.29397655248641963,119,2433,411,638
correction_xgb,1,X3,9668,0.8235687981252092,0.923141598701477,0.17290175914764402,60,2460,443,611
correction_xgb,1,X4,9668,0.8231096006796942,0.92403382062912,0.285976755619049,149,2422,392,649
correction_xgb,1,X5,9668,0.8228992299966521,0.882089376449585,0.21843179225921625,60,2458,445,613
correction_xgb,3,X0,9667,0.8260355029585799,0.9463170766830444,0.22333611488342278,119,2443,401,628
correction_xgb,3,X1,9667,0.8254885301614273,0.8602722883224487,0.3242772042751312,149,2429,385,642
correction_xgb,3,X2,9667,0.8246830092983939,0.8437672853469849,0.27377875328063966,119,2439,405,632
correction_xgb,3,X3,9667,0.8245731503180449,0.8998303413391113,0.171305980682373,60,2463,440,608
correction_xgb,3,X4,9667,0.8255677039529016,0.9079678654670716,0.2255992877483367,89,2454,420,617
correction_xgb,3,X5,9667,0.8252312867956266,0.867045521736145,0.25587969183921816,89,2453,421,618
correction_xgb,6,X0,8887,0.786378861183476,0.8143950492143631,0.18386572360992423,170,2113,510,638
correction_xgb,6,X1,8887,0.7889839970227019,0.7140753382444378,0.22911772489547727,170,2120,503,631
correction_xgb,6,X2,8887,0.785158371040724,0.5858121764659882,0.24463257670402527,267,2169,605,582
correction_xgb,6,X3,8887,0.7853577371048253,0.6533794713020321,0.2639298617839813,259,2124,534,627
correction_xgb,6,X4,8887,0.7838990910777222,0.9263573884963988,0.09841051459312435,27,2113,527,638
correction_xgb,6,X5,8887,0.7870286026598652,0.6336602234840392,0.18408971309661865,179,2160,578,591
correction_xgb,12,X0,8168,0.7802175251385184,0.986408233642578,0.11984006404876703,47,1901,396,675
correction_xgb,12,X1,8168,0.7794267127464932,0.941288411617279,0.0286731123924255,1,1917,426,659
correction_xgb,12,X2,8168,0.7794267127464932,0.9225004315376282,0.0697439908981323,1,1917,426,659
correction_xgb,12,X3,8168,0.7792682926829269,0.9651333689689636,-Infinity,0,1917,427,659
correction_xgb,12,X4,8168,0.7794117647058824,0.9562607407569884,0.12412262320518486,24,1908,412,668
correction_xgb,12,X5,8168,0.7792682926829269,0.94646155834198,-Infinity,0,1917,427,659
share_xgb,1,X0,9668,0.8290786136939983,0.5697961449623108,0.15943374991416928,119,2452,392,619
share_xgb,1,X1,9668,0.8288870008496176,0.5149347186088562,0.1697635874152183,149,2439,375,632
share_xgb,1,X2,9668,0.8299180327868853,0.481910228729248,0.17410743653774255,178,2430,355,641
share_xgb,1,X3,9668,0.8295765027322405,0.5202205181121826,0.17870708644390104,178,2429,356,642
share_xgb,1,X4,9668,0.8299065420560747,0.5136198997497559,0.16270856410264964,149,2442,372,629
share_xgb,1,X5,9668,0.8295765027322405,0.4809406995773315,0.17640250802040094,178,2429,356,642
share_xgb,3,X0,9667,0.8293498245027578,0.36901463598012935,0.1555879372358322,187,2481,431,590
share_xgb,3,X1,9667,0.8302453680520782,0.32488247573375656,0.1804379343986511,313,2487,433,584
share_xgb,3,X2,9667,0.8305792021365381,0.3127600729465483,0.18254151105880734,313,2488,432,583
share_xgb,3,X3,9667,0.8312292358803987,0.3215825015306472,0.1622403711080551,284,2502,447,569
share_xgb,3,X4,9667,0.8297548605240913,0.5817580819129944,0.14764723539352417,119,2454,390,617
share_xgb,3,X5,9667,0.8289036544850499,0.32182602941989785,0.16254328340291976,284,2495,454,576
share_xgb,6,X0,8887,0.7999266458830002,0.28010278463363647,0.1708672142028808,463,2181,521,570
share_xgb,6,X1,8887,0.7994806158412169,0.2874912005662917,0.1632631385326385,401,2155,485,596
share_xgb,6,X2,8887,0.7976297360387862,0.26119939088821414,0.13906943142414085,471,2221,597,530
share_xgb,6,X3,8887,0.7977113325950536,0.29496020436286896,0.15308801859617227,374,2161,506,590
share_xgb,6,X4,8887,0.79798356982823,0.31508793115615835,0.15696132183074948,312,2137,468,614
share_xgb,6,X5,8887,0.8,0.27305088758468626,0.1526727965474128,436,2192,537,559
share_xgb,12,X0,8168,0.7867078825347759,0.27910649240016927,0.15109745562076565,444,2036,564,540
share_xgb,12,X1,8168,0.791005291005291,0.25140874505043026,0.14239925563335418,560,2093,623,483
share_xgb,12,X2,8168,0.7879586077140169,0.25334485650062555,0.13461590498685835,537,2094,645,482
share_xgb,12,X3,8168,0.7870744373918062,0.28666921198368067,0.1293091921508312,421,2046,577,530
