arm,horizon_months,config_id,rows,f1,t0,t1,changes_from_b,tp,fp,fn
share_xgb,12,X4,8168,0.7875214000380445,0.2738038665056229,0.12535207673907278,479,2070,611,506
share_xgb,12,X5,8168,0.7890874882408279,0.25173976898193356,0.13052679970860473,537,2097,642,479
rich_rf,1,R0,9668,0.8296170212765958,0.84,0.37,159,2437,367,634
rich_rf,1,R1,9668,0.8325581395348837,0.5878111111111112,0.34904166666666653,284,2506,443,565
rich_rf,1,R2,9668,0.8321854527129179,0.6406479540302035,0.32638669580831936,217,2477,405,594
rich_rf,1,R3,9668,0.8348731731899882,0.6484560411022376,0.3207422262623618,217,2485,397,586
rich_rf,1,R4,9668,0.8305168170631665,0.5176460133474267,0.4437955853818441,477,2531,493,540
rich_rf,1,R5,9668,0.8303070320237702,0.5639118275867111,0.3998793440280579,380,2515,472,556
rich_rf,3,R0,9667,0.8316798941798942,0.61,0.3148,252,2515,462,556
rich_rf,3,R1,9667,0.8325940528996222,0.5606241666666666,0.3569361111111112,351,2534,482,537
rich_rf,3,R2,9667,0.8362083127977658,0.5663482520917769,0.34567842669536775,351,2545,471,526
rich_rf,3,R3,9667,0.8369098712446352,0.5627987378058699,0.36999108954967386,380,2535,452,536
rich_rf,3,R4,9667,0.8312974579069,0.5789271675850364,0.36481353449262877,380,2518,469,553
rich_rf,3,R5,9667,0.830335934848999,0.6657825001118283,0.433972520528946,276,2447,376,624
rich_rf,6,R0,8887,0.8019462966300235,0.54,0.31,455,2225,573,526
rich_rf,6,R1,8887,0.8068902991840435,0.5310855158730162,0.3710793650793651,525,2225,539,526
rich_rf,6,R2,8887,0.8078164216565077,0.49742561326945467,0.36681744737387767,588,2253,574,498
rich_rf,6,R3,8887,0.80873330927463,0.528858073336657,0.31631369430601486,498,2241,550,510
rich_rf,6,R4,8887,0.8071901608325449,0.6053539610297911,0.47160341008778595,507,2133,401,618
rich_rf,6,R5,8887,0.8047645635585334,0.5593480756369996,0.4434244655935493,543,2162,460,589
rich_rf,12,R0,8168,0.7904479822288042,0.41,0.31,680,2135,691,441
rich_rf,12,R1,8168,0.7916277331339936,0.4289545238095238,0.3023869841269841,619,2118,657,458
rich_rf,12,R2,8168,0.7939793038570084,0.4448706433983459,0.2557957969266911,537,2110,629,466
rich_rf,12,R3,8168,0.791706296366749,0.4814553849360309,0.2479884402024555,479,2081,600,495
rich_rf,12,R4,8168,0.7959451849070771,0.44025747112956964,0.35601153954435494,643,2120,631,456
rich_rf,12,R5,8168,0.7930903568716781,0.47511910300153437,0.3565885585783888,584,2089,603,487
fullpool_xgb,1,X0,9668,0.8342687355562892,0.61649409532547,0.24464708507061006,380,2527,460,544
fullpool_xgb,1,X1,9668,0.8342336259284268,0.7868953132629395,0.2788344395160675,246,2471,382,600
fullpool_xgb,1,X2,9668,0.835086528673227,0.7941244292259216,0.32495119512081144,276,2461,362,610
fullpool_xgb,1,X3,9668,0.8352591614394189,0.6237797880172732,0.26216150164604185,380,2530,457,541
fullpool_xgb,1,X4,9668,0.8342513770655984,0.6921150135993958,0.2620201742649078,313,2499,421,572
fullpool_xgb,1,X5,9668,0.8356700358656668,0.5,0.32296291828155527,516,2563,500,508
fullpool_xgb,3,X0,9667,0.8351236146632566,0.7230242693424227,0.37813824295997617,305,2449,345,622
fullpool_xgb,3,X1,9667,0.8369345037137069,0.7565240782499315,0.2699726831912994,246,2479,374,592
fullpool_xgb,3,X2,9667,0.837947332883187,0.7396601289510734,0.28990570187568665,246,2482,371,589
fullpool_xgb,3,X3,9667,0.836443841194435,0.7416998445987707,0.34329781532287595,276,2465,358,606
fullpool_xgb,3,X4,9667,0.8338960162052668,0.7283546185493471,0.2673786973953247,246,2470,383,601
fullpool_xgb,3,X5,9667,0.837461825585341,0.7372762620449067,0.34095574617385865,276,2468,355,603
fullpool_xgb,6,X0,8887,0.8,0.4776214897632599,0.2373814874887466,525,2206,558,545
fullpool_xgb,6,X1,8887,0.8043278929029892,0.5324974560737609,0.2637500548362731,463,2193,509,558
fullpool_xgb,6,X2,8887,0.8102392877017252,0.5837789309024801,0.28361399173736573,401,2184,456,567
fullpool_xgb,6,X3,8887,0.8047958036717872,0.5970780253410338,0.33698069453239443,454,2148,439,603
fullpool_xgb,6,X4,8887,0.802564586083349,0.6695532953739165,0.28109411835670467,365,2128,424,623
fullpool_xgb,6,X5,8887,0.8074298711144806,0.6556575965881347,0.3323073804378509,392,2130,395,621
fullpool_xgb,12,X0,8168,0.7936694021101993,0.5087366223335273,0.14519007444381704,386,2031,511,545
fullpool_xgb,12,X1,8168,0.7965116279069767,0.5,0.17560282707214353,428,2055,529,521
fullpool_xgb,12,X2,8168,0.7990690457719162,0.5,0.26042713373899457,472,2060,520,516
fullpool_xgb,12,X3,8168,0.7946603847663918,0.5455603659152988,0.2539652153849602,410,2024,494,552
fullpool_xgb,12,X4,8168,0.7910031847133758,0.6858981466293329,0.1502735657989978,246,1987,461,589
fullpool_xgb,12,X5,8168,0.7962308598351001,0.5129243314266217,0.23153938576579092,410,2028,490,548
