forecasting_horizon,region,support,tp,fp,fn,tn,precision,recall,f1,accuracy
4-month lag,East Africa,29999,5460,1786,3702,19051,0.7535,0.5959,0.6655,0.8171
4-month lag,Latin America,6324,2003,853,689,2779,0.7013,0.7441,0.7221,0.7562
4-month lag,Middle East,5158,2037,274,609,2238,0.8814,0.7698,0.8219,0.8288
4-month lag,Other,4018,429,124,255,3210,0.7758,0.6272,0.6936,0.9057
4-month lag,Southern Africa,7952,471,606,889,5986,0.4373,0.3463,0.3865,0.812
4-month lag,West Africa,8738,999,213,635,6891,0.8243,0.6114,0.702,0.903
8-month lag,East Africa,29999,5171,1768,3991,19069,0.7452,0.5644,0.6423,0.808
8-month lag,Latin America,6324,1907,768,785,2864,0.7129,0.7084,0.7106,0.7544
8-month lag,Middle East,5158,2089,371,557,2141,0.8492,0.7895,0.8183,0.8201
8-month lag,Other,4018,412,121,272,3213,0.773,0.6023,0.6771,0.9022
8-month lag,Southern Africa,7952,440,641,920,5951,0.407,0.3235,0.3605,0.8037
8-month lag,West Africa,8738,927,182,707,6922,0.8359,0.5673,0.6759,0.8983
12-month lag,East Africa,29999,4548,1902,4614,18935,0.7051,0.4964,0.5826,0.7828
12-month lag,Latin America,6324,1758,800,934,2832,0.6873,0.653,0.6697,0.7258
12-month lag,Middle East,5158,2103,615,543,1897,0.7737,0.7948,0.7841,0.7755
12-month lag,Other,4018,379,178,305,3156,0.6804,0.5541,0.6108,0.8798
12-month lag,Southern Africa,7952,384,879,976,5713,0.304,0.2824,0.2928,0.7667
12-month lag,West Africa,8738,779,152,855,6952,0.8367,0.4767,0.6074,0.8848
