period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,3,E_persist,target_year,2023,xgb,2601,2441,40,981,0.3771626297577855,959,726,233,255,1387,0.7484536082474227,0.7570385818561001,0.7400611620795107,,,
main,3,E_persist,target_year,2023,persistence,2601,2441,40,981,0.3771626297577855,928,705,223,276,1397,0.7386066003143007,0.759698275862069,0.7186544342507645,,,
main,3,E_persist,target_year,2024,partitioned_rf,3726,2412,42,1119,0.3003220611916264,1090,734,356,385,2251,0.6645540968764146,0.673394495412844,0.6559428060768543,,,
main,3,E_persist,target_year,2024,pooled_rf,3726,2412,42,1119,0.3003220611916264,999,683,316,436,2291,0.6449480642115203,0.6836836836836837,0.610366398570152,,,
main,3,E_persist,target_year,2024,xgb,3726,2412,42,1119,0.3003220611916264,1356,861,495,258,2112,0.6957575757575758,0.6349557522123894,0.7694369973190348,,,
main,3,E_persist,target_year,2024,persistence,3726,2412,42,1119,0.3003220611916264,1079,788,291,331,2316,0.7170154686078253,0.7303058387395737,0.7042001787310098,,,
main,3,E_persist,target_year,2025,partitioned_rf,9580,5596,50,3787,0.3953027139874739,4298,2327,1971,1460,3822,0.5756338899196042,0.5414146114471847,0.6144705571692632,,,
main,3,E_persist,target_year,2025,pooled_rf,9580,5596,50,3787,0.3953027139874739,4987,2561,2426,1226,3367,0.5837702302256668,0.5135351914978945,0.6762608925270662,,,
main,3,E_persist,target_year,2025,xgb,9580,5596,50,3787,0.3953027139874739,4825,2847,1978,940,3815,0.6611704598235021,0.5900518134715026,0.7517824135199366,,,
main,3,E_persist,target_year,2025,persistence,9580,5596,50,3787,0.3953027139874739,4322,2641,1681,1146,4112,0.651375015414971,0.6110596945858399,0.6973857935040929,,,
main,6,E_all,target_year,2023,partitioned_rf,2326,2304,39,751,0.322871883061049,903,605,298,146,1277,0.7315598548972189,0.6699889258028793,0.8055925432756325,,,
main,6,E_all,target_year,2023,pooled_rf,2326,2304,39,751,0.322871883061049,904,599,305,152,1270,0.7238670694864048,0.6626106194690266,0.7976031957390146,,,
main,6,E_all,target_year,2023,xgb,2326,2304,39,751,0.322871883061049,944,626,318,125,1257,0.7386430678466077,0.663135593220339,0.833555259653795,,,
main,6,E_all,target_year,2024,partitioned_rf,4295,2960,45,1555,0.3620488940628638,1479,1031,448,524,2292,0.6796308503625577,0.6970926301555105,0.6630225080385852,,,
main,6,E_all,target_year,2024,pooled_rf,4295,2960,45,1555,0.3620488940628638,1487,994,493,561,2247,0.653517422748192,0.6684599865501009,0.6392282958199357,,,
main,6,E_all,target_year,2024,xgb,4295,2960,45,1555,0.3620488940628638,1546,1035,511,520,2229,0.6675266043211867,0.6694695989650712,0.6655948553054662,,,
main,6,E_all,target_year,2025,partitioned_rf,9792,5740,50,3864,0.3946078431372549,4450,2685,1765,1179,4163,0.6458984844840029,0.6033707865168539,0.6948757763975155,,,
main,6,E_all,target_year,2025,pooled_rf,9792,5740,50,3864,0.3946078431372549,4336,2673,1663,1191,4265,0.6519512195121951,0.6164667896678967,0.6917701863354038,,,
main,6,E_all,target_year,2025,xgb,9792,5740,50,3864,0.3946078431372549,5183,2977,2206,887,3722,0.6581187133856528,0.5743777734902566,0.7704451345755694,,,
main,6,E_persist,target_year,2023,partitioned_rf,1867,1857,37,528,0.2828066416711302,514,403,111,125,1228,0.7735124760076776,0.7840466926070039,0.7632575757575758,,,
main,6,E_persist,target_year,2023,pooled_rf,1867,1857,37,528,0.2828066416711302,511,397,114,131,1225,0.7641963426371511,0.776908023483366,0.7518939393939394,,,
main,6,E_persist,target_year,2023,xgb,1867,1857,37,528,0.2828066416711302,538,420,118,108,1221,0.7879924953095685,0.7806691449814126,0.7954545454545454,,,
main,6,E_persist,target_year,2023,persistence,1867,1857,37,528,0.2828066416711302,544,417,127,111,1212,0.7779850746268657,0.7665441176470589,0.7897727272727273,,,
main,6,E_persist,target_year,2024,partitioned_rf,3647,2401,42,1105,0.3029887578831917,1018,680,338,425,2204,0.6406029203956665,0.6679764243614931,0.6153846153846154,,,
main,6,E_persist,target_year,2024,pooled_rf,3647,2401,42,1105,0.3029887578831917,1057,669,388,436,2154,0.6188714153561518,0.6329233680227058,0.6054298642533936,,,
main,6,E_persist,target_year,2024,xgb,3647,2401,42,1105,0.3029887578831917,1094,692,402,413,2140,0.6293769895407003,0.6325411334552102,0.6262443438914027,,,
main,6,E_persist,target_year,2024,persistence,3647,2401,42,1105,0.3029887578831917,1079,746,333,359,2209,0.6831501831501832,0.6913809082483782,0.6751131221719457,,,
main,6,E_persist,target_year,2025,partitioned_rf,9446,5561,50,3741,0.3960406521278848,4204,2579,1625,1162,4080,0.649213341724355,0.6134633682207421,0.6893878642074311,,,
main,6,E_persist,target_year,2025,pooled_rf,9446,5561,50,3741,0.3960406521278848,4102,2577,1525,1164,4180,0.6571465000637511,0.6282301316431009,0.6888532477947072,,,
main,6,E_persist,target_year,2025,xgb,9446,5561,50,3741,0.3960406521278848,4909,2862,2047,879,3658,0.6617341040462428,0.5830107964962314,0.7650360866078588,,,
main,6,E_persist,target_year,2025,persistence,9446,5561,50,3741,0.3960406521278848,4169,2588,1581,1153,4124,0.6543615676359039,0.6207723674742145,0.6917936380646886,,,
main,12,E_all,target_year,2024,partitioned_rf,4295,2960,45,1555,0.3620488940628638,1580,953,627,602,2113,0.6079744816586922,0.6031645569620253,0.6128617363344051,,,
