partition_id,training_rows,classes_present,local_model_fitted,reason
0,4504,2,True,
1,1634,2,True,
2,1816,2,True,
3,1011,2,True,
4,920,1,False,single_class
5,1592,2,True,
6,1392,1,False,single_class
7,3800,2,True,
8,2736,2,True,
9,1552,2,True,
10,640,2,True,
11,1848,2,True,
12,1656,2,True,
13,1480,2,True,
14,1464,2,True,
15,1232,2,True,
16,704,2,True,
17,480,2,True,
18,2784,2,True,
