admin_code,branch_id,partition_code,assignment_source,donor_admin_code,donor_distance_km,nearest_eligible_admin_code,nearest_eligible_distance_km,model_route,fallback_reason,was_placeholder_root
1712,1,8,nearest_donor,1711,0.2856298185937642,1711,0.2856298185937642,partition:1,,False
1713,,-1,unresolved,-1,,3720,1739.8702015863043,pooled_root,nearest eligible donor beyond 100 km,False
1714,00000,0,nearest_donor,1716,47.7040196521457,1716,47.7040196521457,partition:00000,,False
1715,,-1,unresolved,-1,,1798,105.12850682183056,pooled_root,nearest eligible donor beyond 100 km,False
1716,00000,0,learned,-1,,-1,,partition:00000,,False
1717,1,8,learned,-1,,-1,,partition:1,,False
1718,1,8,learned,-1,,-1,,partition:1,,False
1719,1,8,nearest_donor,1720,1.1134250820243887,1720,1.1134250820243887,partition:1,,False
1720,1,8,learned,-1,,-1,,partition:1,,False
1721,1,8,learned,-1,,-1,,partition:1,,False
1722,1,8,nearest_donor,1721,0.19999922003608067,1721,0.19999922003608067,partition:1,,False
1723,00000,0,nearest_donor,1734,5.185876847820159,1734,5.185876847820159,partition:00000,,False
1724,00000,0,learned,-1,,-1,,partition:00000,,False
1725,00000,0,nearest_donor,1724,0.3453851346663163,1724,0.3453851346663163,partition:00000,,False
1726,1,8,nearest_donor,1767,48.68936974149381,1767,48.68936974149381,partition:1,,False
1727,1,8,learned,-1,,-1,,partition:1,,False
1728,1,8,nearest_donor,1743,16.650354896302414,1743,16.650354896302414,partition:1,,False
1729,1,8,nearest_donor,1743,16.646568243499797,1743,16.646568243499797,partition:1,,False
1730,1,8,nearest_donor,1743,10.045475544693375,1743,10.045475544693375,partition:1,,False
1731,1,8,learned,-1,,-1,,partition:1,,False
1732,1,8,nearest_donor,1745,29.157706898850137,1745,29.157706898850137,partition:1,,False
1733,00000,0,nearest_donor,1742,8.073929015670837,1742,8.073929015670837,partition:00000,,False
1734,00000,0,learned,-1,,-1,,partition:00000,,False
1736,1,8,nearest_donor,1741,3.117674732734167,1741,3.117674732734167,partition:1,,False
1737,1,8,nearest_donor,1731,4.939546449372698,1731,4.939546449372698,partition:1,,False
1738,1,8,nearest_donor,1740,2.444709446084148,1740,2.444709446084148,partition:1,,False
1739,1,8,nearest_donor,1740,2.447589525197429,1740,2.447589525197429,partition:1,,False
1740,1,8,learned,-1,,-1,,partition:1,,False
1741,1,8,learned,-1,,-1,,partition:1,,False
1742,00000,0,learned,-1,,-1,,partition:00000,,False
1743,1,8,learned,-1,,-1,,partition:1,,False
1744,1,8,nearest_donor,1743,0.3374917009741841,1743,0.3374917009741841,partition:1,,False
1745,1,8,learned,-1,,-1,,partition:1,,False
1746,1,8,nearest_donor,1743,6.396787960343381,1743,6.396787960343381,partition:1,,False
1747,1,8,nearest_donor,1743,6.39357299684054,1743,6.39357299684054,partition:1,,False
1748,1,8,nearest_donor,1749,0.004146874222460898,1749,0.004146874222460898,partition:1,,False
1749,1,8,learned,-1,,-1,,partition:1,,False
1750,1,8,nearest_donor,1751,0.005555492292798508,1751,0.005555492292798508,partition:1,,False
1751,1,8,learned,-1,,-1,,partition:1,,False
1752,1,8,learned,-1,,-1,,partition:1,,False
1753,1,8,learned,-1,,-1,,partition:1,,False
1754,1,8,nearest_donor,1753,0.3690644768084829,1753,0.3690644768084829,partition:1,,False
1755,1,8,learned,-1,,-1,,partition:1,,False
1756,1,8,learned,-1,,-1,,partition:1,,False
1757,1,8,learned,-1,,-1,,partition:1,,False
1758,1,8,nearest_donor,1757,0.7153526048033088,1757,0.7153526048033088,partition:1,,False
1759,1,8,nearest_donor,1762,2.4914160199880047,1762,2.4914160199880047,partition:1,,False
1760,1,8,nearest_donor,1762,2.490356175464749,1762,2.490356175464749,partition:1,,False
1761,1,8,nearest_donor,1798,37.921922306000305,1798,37.921922306000305,partition:1,,False
1762,1,8,learned,-1,,-1,,partition:1,,False
1763,1,8,nearest_donor,1764,0.3573965346658681,1764,0.3573965346658681,partition:1,,False
1764,1,8,learned,-1,,-1,,partition:1,,False
1765,1,8,learned,-1,,-1,,partition:1,,False
1766,1,8,nearest_donor,1769,0.3151028334017513,1769,0.3151028334017513,partition:1,,False
1767,1,8,learned,-1,,-1,,partition:1,,False
1768,1,8,nearest_donor,1769,1.0885310394863009e-05,1769,1.0885310394863009e-05,partition:1,,False
1769,1,8,learned,-1,,-1,,partition:1,,False
1770,1,8,nearest_donor,1771,0.001666955964526286,1771,0.001666955964526286,partition:1,,False
1771,1,8,learned,-1,,-1,,partition:1,,False
1772,1,8,nearest_donor,1771,0.5052586111456666,1771,0.5052586111456666,partition:1,,False
1773,1,8,nearest_donor,1765,33.89963530448334,1765,33.89963530448334,partition:1,,False
1774,1,8,nearest_donor,1745,23.633241423709393,1745,23.633241423709393,partition:1,,False
1775,1,8,nearest_donor,1745,23.649022199808133,1745,23.649022199808133,partition:1,,False
1776,1,8,nearest_donor,1745,23.65062123009875,1745,23.65062123009875,partition:1,,False
1777,00000,0,learned,-1,,-1,,partition:00000,,False
1778,00000,0,nearest_donor,1777,0.29835172788001174,1777,0.29835172788001174,partition:00000,,False
1779,1,8,nearest_donor,1731,35.767154843285894,1731,35.767154843285894,partition:1,,False
1780,1,8,nearest_donor,1731,35.79975578598546,1731,35.79975578598546,partition:1,,False
1781,1,8,learned,-1,,-1,,partition:1,,False
1782,1,8,nearest_donor,1781,0.7951010221338586,1781,0.7951010221338586,partition:1,,False
1783,1,8,learned,-1,,-1,,partition:1,,False
1784,1,8,learned,-1,,-1,,partition:1,,False
1785,1,8,nearest_donor,1784,0.6005880841127423,1784,0.6005880841127423,partition:1,,False
1786,1,8,nearest_donor,1784,17.18619067872131,1784,17.18619067872131,partition:1,,False
1787,00011,3,learned,-1,,-1,,partition:00011,,False
1788,1,8,nearest_donor,1789,0.6195345524105531,1789,0.6195345524105531,partition:1,,False
1789,1,8,learned,-1,,-1,,partition:1,,False
1790,00011,3,nearest_donor,1787,2.9230175557917204,1787,2.9230175557917204,partition:00011,,False
1791,1,8,nearest_donor,1843,42.535297279198424,1843,42.535297279198424,partition:1,,False
1792,1,8,nearest_donor,1843,42.531919431264704,1843,42.531919431264704,partition:1,,False
1793,1,8,nearest_donor,1843,46.47826360064698,1843,46.47826360064698,partition:1,,False
1794,1,8,nearest_donor,1843,46.413270525260046,1843,46.413270525260046,partition:1,,False
1795,1,8,learned,-1,,-1,,partition:1,,False
1796,1,8,nearest_donor,1843,29.004830745773432,1843,29.004830745773432,partition:1,,False
1797,1,8,nearest_donor,1843,28.97973972465477,1843,28.97973972465477,partition:1,,False
1798,1,8,learned,-1,,-1,,partition:1,,False
1799,1,8,nearest_donor,1800,0.5502635383869944,1800,0.5502635383869944,partition:1,,False
1800,1,8,learned,-1,,-1,,partition:1,,False
1801,1,8,nearest_donor,1871,44.911539106858676,1871,44.911539106858676,partition:1,,False
1802,1,8,learned,-1,,-1,,partition:1,,False
1803,1,8,nearest_donor,1802,1.7770112936466156,1802,1.7770112936466156,partition:1,,False
1804,00011,3,learned,-1,,-1,,partition:00011,,False
1805,1,8,learned,-1,,-1,,partition:1,,False
1806,1,8,nearest_donor,1807,0.03834146605311668,1807,0.03834146605311668,partition:1,,False
1807,1,8,learned,-1,,-1,,partition:1,,False
1808,1,8,nearest_donor,1822,9.788314987408198,1822,9.788314987408198,partition:1,,False
1809,1,8,nearest_donor,1810,0.004478850270710579,1810,0.004478850270710579,partition:1,,False
1810,1,8,learned,-1,,-1,,partition:1,,False
1811,1,8,nearest_donor,1810,0.8810095254888917,1810,0.8810095254888917,partition:1,,False
1812,1,8,learned,-1,,-1,,partition:1,,False
1813,1,8,nearest_donor,1812,0.49960998651945304,1812,0.49960998651945304,partition:1,,False
1814,1,8,learned,-1,,-1,,partition:1,,False
1815,1,8,nearest_donor,1817,1.9858034148835313,1817,1.9858034148835313,partition:1,,False
1816,1,8,nearest_donor,1817,0.0010807565262723787,1817,0.0010807565262723787,partition:1,,False
1817,1,8,learned,-1,,-1,,partition:1,,False
1818,1,8,nearest_donor,1814,14.264411369032853,1814,14.264411369032853,partition:1,,False
1819,1,8,nearest_donor,1821,0.1363596650153482,1821,0.1363596650153482,partition:1,,False
1820,1,8,learned,-1,,-1,,partition:1,,False
1821,1,8,learned,-1,,-1,,partition:1,,False
1822,1,8,learned,-1,,-1,,partition:1,,False
1823,1,8,nearest_donor,1822,0.3129403311074947,1822,0.3129403311074947,partition:1,,False
1824,1,8,nearest_donor,1904,57.21087077448253,1904,57.21087077448253,partition:1,,False
1825,1,8,nearest_donor,1745,70.66093219522624,1745,70.66093219522624,partition:1,,False
1826,1,8,learned,-1,,-1,,partition:1,,False
1827,1,8,nearest_donor,1828,0.0030850160515808224,1828,0.0030850160515808224,partition:1,,False
1828,1,8,learned,-1,,-1,,partition:1,,False
1829,1,8,learned,-1,,-1,,partition:1,,False
1830,1,8,nearest_donor,1829,0.005011839564474678,1829,0.005011839564474678,partition:1,,False
1831,1,8,nearest_donor,1832,0.1073482858445095,1832,0.1073482858445095,partition:1,,False
1832,1,8,learned,-1,,-1,,partition:1,,False
1833,1,8,learned,-1,,-1,,partition:1,,False
1834,1,8,nearest_donor,1839,2.846422587701445,1839,2.846422587701445,partition:1,,False
1835,1,8,learned,-1,,-1,,partition:1,,False
1836,1,8,nearest_donor,1835,0.4024898585896557,1835,0.4024898585896557,partition:1,,False
1837,1,8,nearest_donor,1838,0.4496372370852517,1838,0.4496372370852517,partition:1,,False
1838,1,8,learned,-1,,-1,,partition:1,,False
1839,1,8,learned,-1,,-1,,partition:1,,False
