test_month,forecasting_scope,active_lag_months,threshold_enabled,selected_threshold,fallback_reason,validation_precision,validation_recall,validation_f1,validation_support,validation_positive_cases,fit_start,fit_end,validation_start,validation_end,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,test_tn
2021-02,2,8,True,0.48,,0.6745,0.6084799278304014,0.6397913208442021,10871,2217,2017-10-01,2019-06-01,2019-10-01,2020-02-01,0.6080827067669173,0.5351530190239868,0.5692916849978003,647,417,562,3799
2021-06,2,8,True,0.48,,0.5606060606060606,0.6094580233793836,0.5840122199592668,11012,1882,2018-02-01,2019-10-01,2020-02-01,2020-06-01,0.5052023121387283,0.44683026584867075,0.4742268041237113,437,428,541,2979
2021-10,2,8,True,0.48,,0.6544910179640718,0.6078976640711902,0.6303344867358707,10933,1798,2018-06-01,2020-02-01,2020-06-01,2020-10-01,0.6336633663366337,0.46757990867579907,0.5380977404098791,512,296,583,3583
2022-02,2,8,True,0.46,,0.6006051437216339,0.5838235294117647,0.5920954511558538,10852,2040,2018-10-01,2020-06-01,2020-10-01,2021-02-01,0.6534296028880866,0.4881995954146999,0.558857583944423,724,384,759,3107
2022-06,2,8,True,0.36,,0.543712991988854,0.7137631458619113,0.6172400158165282,9810,2187,2019-02-01,2020-10-01,2021-02-01,2021-06-01,0.7211250748055057,0.7415384615384616,0.7311893203883495,1205,466,420,2773
2022-10,2,8,True,0.44,,0.6277173913043478,0.7800289435600579,0.695633469563347,9359,2073,2019-06-01,2021-02-01,2021-06-01,2021-10-01,0.7880149812734082,0.6530105524518932,0.7141887304820095,1052,283,559,3118
2023-02,2,8,True,0.34,,0.6179170623615068,0.7571761055081458,0.6804950322468188,9948,2578,2019-10-01,2021-06-01,2021-10-01,2022-02-01,0.651565995525727,0.9173228346456693,0.7619359058207978,1165,623,105,2967
2023-06,2,8,True,0.3,,0.7441860465116279,0.8236808236808236,0.7819181429444105,9838,3108,2020-02-01,2021-10-01,2022-02-01,2022-06-01,0.736753574432296,0.8980010251153254,0.8094248094248094,1752,626,199,2978
2023-10,2,8,True,0.34,,0.7680555555555556,0.8544499381953028,0.8089526038619075,9876,3236,2020-06-01,2022-02-01,2022-06-01,2022-10-01,0.6221176470588236,0.7859690844233056,0.6945101129498292,1322,803,360,2925
2024-02,2,8,True,0.46,,0.7571157495256167,0.8309614717112114,0.792321694522588,9872,2881,2020-10-01,2022-06-01,2022-10-01,2023-02-01,0.7664705882352941,0.6737331954498449,0.717116125481563,1303,397,631,3366
2024-06,2,8,True,0.47,,0.7929594272076372,0.8252095622477491,0.8087631218621634,10415,3221,2021-02-01,2022-10-01,2023-02-01,2023-06-01,0.7121212121212122,0.743746809596733,0.7275905118601749,1457,589,502,3149
2024-10,2,8,True,0.4,,0.7795409464437518,0.8103092783505155,0.7946273830155979,10667,3395,2021-06-01,2023-02-01,2023-06-01,2023-10-01,0.4927862939585212,0.7914554670528603,0.6073909419283134,1093,1125,288,2830
