scope,forecasting_horizon,pooled_missed_crisis_population,partitioned_missed_crisis_population,delta_missed_crisis_population,pooled_false_alert_population,partitioned_false_alert_population,delta_false_alert_population,pooled_population_weighted_recall,partitioned_population_weighted_recall,delta_population_weighted_recall,pooled_population_weighted_precision,partitioned_population_weighted_precision,delta_population_weighted_precision
fs1,4-month horizon,884797440.5587642,766982810.9494011,-117814629.60936308,263194574.77820846,342051025.7467859,78856450.96857741,0.5594024840721608,0.6180699606790806,0.058667476606919844,0.8101834426564468,0.7839556389034006,-0.02622780375304623
fs2,8-month horizon,916660246.9088339,800096007.9285073,-116564238.98032653,260035753.6848641,336893870.79432213,76858117.10945803,0.5435359448115309,0.6015807715555114,0.05804482674398048,0.8076020662498937,0.7819420524777013,-0.025660013772192403
fs3,12-month horizon,990307561.6350615,908008120.7485628,-82299440.88649869,316008679.0725654,394352712.9176971,78344033.8451317,0.5068622131350019,0.5478443945413383,0.04098218140633636,0.7630901451938517,0.7361343396473875,-0.02695580554646415
