scope,forecasting_horizon,model,support,population_at_risk,true_alert_population,missed_crisis_population,false_alert_population,true_noncrisis_population,population_weighted_recall,population_weighted_precision
fs1,4-month horizon,pooled,62189,9935094776.572758,1123378748.7588253,884797440.5587642,263194574.77820846,7663724012.47696,0.5594024840721608,0.8101834426564468
fs1,4-month horizon,partitioned,62189,9935094776.572758,1241193378.3681884,766982810.9494011,342051025.7467859,7584867561.508383,0.6180699606790806,0.7839556389034006
fs2,8-month horizon,pooled,62189,9935094776.572758,1091515942.4087555,916660246.9088339,260035753.6848641,7666882833.570304,0.5435359448115309,0.8076020662498937
fs2,8-month horizon,partitioned,62189,9935094776.572758,1208080181.3890824,800096007.9285073,336893870.79432213,7590024716.460846,0.6015807715555114,0.7819420524777013
fs3,12-month horizon,pooled,62189,9935094776.572758,1017868627.6825281,990307561.6350615,316008679.0725654,7610909908.182603,0.5068622131350019,0.7630901451938517
fs3,12-month horizon,partitioned,62189,9935094776.572758,1100168068.569027,908008120.7485628,394352712.9176971,7532565874.337471,0.5478443945413383,0.7361343396473875
