plan_a,year_a,month_a,forecasting_horizon_months_a,source_scope_a,plan_b,year_b,month_b,forecasting_horizon_months_b,source_scope_b,comparison_group,n_common_valid,adjusted_rand_index,normalized_mutual_information
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5364,0.022132876042453512,0.01311734800782476
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5365,0.09435984225289919,0.10021059748953429
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5365,0.07243571156574956,0.11902623567949659
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5286,0.053493658033017207,0.058288635110880886
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5286,0.058110573295307534,0.09150351200438975
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5286,0.09503988733826174,0.08932363013190049
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5363,0.31271254301743845,0.28608187125115536
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2019_06_fs3,2019,6,12,fs3,across_months,5364,0.4748459109563488,0.43509359189613594
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5363,0.3791894180450942,0.3599612902677538
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2019_10_fs3,2019,10,12,fs3,across_months,0,,
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5364,0.22430841110507455,0.29519515346552044
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5364,0.19804054468601512,0.17161041925307136
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_02_fs3,2020,2,12,fs3,across_years,5363,0.01698595085288789,0.012473108591086553
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5364,0.1259592074626045,0.1193278707699406
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5364,0.32051249265366494,0.2615623424919815
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5285,0.19271912519289097,0.13785465529620014
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5285,0.2170446924541919,0.1791692852767098
GeoRF_2019_02_fs3,2019,2,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5285,0.3123760665719475,0.24604957354389742
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2019_06_fs3,2019,6,12,fs3,across_horizons,5364,-0.09984305332678882,0.038676420598966754
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2019_10_fs2,2019,10,8,fs2,across_months,5364,-0.12306055607149909,0.05043069869135599
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5364,0.14560457294785098,0.2076453902902336
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5364,0.3755577898756917,0.2260008417139298
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5364,0.056967840752815614,0.02162209114051669
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,across_years,5364,0.4541658919644774,0.28520753601973686
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5364,0.6445986701047768,0.3799688025374205
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5285,0.2975466665593481,0.13404009503050615
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5285,0.402593771000231,0.23350396116524616
GeoRF_2019_06_fs2,2019,6,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5285,0.5641222740399603,0.3110177098745195
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5364,0.6328239667844783,0.4331544806111014
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2019_10_fs3,2019,10,12,fs3,across_months,0,,
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5365,0.0884213397251837,0.13608642356921732
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5365,0.0021871832868057225,0.033398016541745804
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5364,0.004615392521807893,0.004751238509059216
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5365,-0.05401198102711609,0.024136425977100993
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,across_years,5365,-0.03209231536327554,0.04386850225269605
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5286,0.06529244541933989,0.01621366489873688
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5286,0.02543876413019821,0.031043776553261716
GeoRF_2019_06_fs3,2019,6,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5286,-0.011633553693325726,0.010456284768360571
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2019_10_fs3,2019,10,12,fs3,across_horizons,0,,
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5364,0.11898166942628892,0.2072735913960824
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5364,-0.0036603492596432126,0.047306549705930435
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5364,0.04695388898203374,0.06699263718007341
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5364,-0.07206868837947215,0.03196216507410812
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5364,-0.04680947781407944,0.06649419674533802
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5285,0.024274474002204588,0.04353574002081071
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,across_years,5285,0.025793794882112826,0.09517373979439385
GeoRF_2019_10_fs2,2019,10,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5285,-0.031130977116187654,0.056388697088752555
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,0,,
GeoRF_2019_10_fs3,2019,10,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,across_years,0,,
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_02_fs2,2020,2,8,fs2,across_horizons,5365,0.08174392942818048,0.15486520264728448
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_02_fs3,2020,2,12,fs3,across_horizons,5364,0.005139115666305326,0.008378248948381144
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_06_fs1,2020,6,4,fs1,across_months,0,,
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5365,0.08629038148496636,0.1885382034905656
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5365,0.17870622571072042,0.2808642262427043
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_10_fs1,2020,10,4,fs1,across_months,5286,0.08281525825427573,0.13193578772212006
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5286,0.0944227827220518,0.16309934266386392
GeoRF_2020_02_fs1,2020,2,4,fs1,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5286,0.19626995857726742,0.281566013605709
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,across_horizons,5364,0.03557037738429799,0.01741940195093701
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,across_months,5365,0.03273225873596389,0.021735534272315022
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5365,0.6004729623457706,0.5273884446585488
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5286,0.5808440811001054,0.3910646215605667
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,across_months,5286,0.4831276845229603,0.28828878437287436
GeoRF_2020_02_fs2,2020,2,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5286,0.3958814163580574,0.2337397829162599
GeoRF_2020_02_fs3,2020,2,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2020_02_fs3,2020,2,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5364,0.08594513275427323,0.03184298877379785
GeoRF_2020_02_fs3,2020,2,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,across_months,5364,0.05406869269928316,0.024873784727332142
GeoRF_2020_02_fs3,2020,2,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5285,0.009186506565663334,0.0032593346170232936
GeoRF_2020_02_fs3,2020,2,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5285,0.05737128194330992,0.023655993479174107
GeoRF_2020_02_fs3,2020,2,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,across_months,5285,0.04572114200471797,0.019332098744619202
GeoRF_2020_06_fs1,2020,6,4,fs1,GeoRF_2020_06_fs2,2020,6,8,fs2,across_horizons,0,,
GeoRF_2020_06_fs1,2020,6,4,fs1,GeoRF_2020_06_fs3,2020,6,12,fs3,across_horizons,0,,
GeoRF_2020_06_fs1,2020,6,4,fs1,GeoRF_2020_10_fs1,2020,10,4,fs1,across_months,0,,
GeoRF_2020_06_fs1,2020,6,4,fs1,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,0,,
GeoRF_2020_06_fs1,2020,6,4,fs1,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,0,,
GeoRF_2020_06_fs2,2020,6,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,across_horizons,5365,0.3913463974785301,0.24445766557013404
GeoRF_2020_06_fs2,2020,6,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5286,0.05231574247389621,0.01141148616132108
GeoRF_2020_06_fs2,2020,6,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,across_months,5286,0.1653792033631198,0.08143994524833582
GeoRF_2020_06_fs2,2020,6,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5286,0.3700163435327066,0.20892637134124467
GeoRF_2020_06_fs3,2020,6,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5286,0.4584082537889403,0.33194329176087334
GeoRF_2020_06_fs3,2020,6,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5286,0.5288628718722291,0.32368763042649235
GeoRF_2020_06_fs3,2020,6,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,across_months,5286,0.6679476017763686,0.4276816443537241
GeoRF_2020_10_fs1,2020,10,4,fs1,GeoRF_2020_10_fs2,2020,10,8,fs2,across_horizons,5286,0.4842011983412252,0.2957951411225529
GeoRF_2020_10_fs1,2020,10,4,fs1,GeoRF_2020_10_fs3,2020,10,12,fs3,across_horizons,5286,0.39709056144882976,0.21578406006182965
GeoRF_2020_10_fs2,2020,10,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,across_horizons,5286,0.5030666623546195,0.2866936337336727
