plan_a,year_a,month_a,forecasting_horizon_months_a,source_scope_a,plan_b,year_b,month_b,forecasting_horizon_months_b,source_scope_b,comparison_group,n_common_valid,adjusted_rand_index,normalized_mutual_information
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5360,0.17445648650082,0.16715234028241757
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_02_fs1,2020,2,4,fs1,across_years,5360,0.1863732765790198,0.21533468103933912
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5360,0.08596327608597258,0.11852611094102497
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5360,0.005702651630087354,0.007650669485811348
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5360,0.07662819904285458,0.12223282668854284
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5360,0.19044620954826116,0.20422569730303333
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5281,0.08246092748252844,0.10708826360464672
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5281,0.1117723842377904,0.1458518615679548
GeoRF_2018_02_fs1,2018,2,4,fs1,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5281,0.23806157524225674,0.2638338406524459
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_02_fs3,2018,2,12,fs3,across_horizons,5159,0.35957981437729947,0.4334028769967286
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_06_fs1,2018,6,4,fs1,mixed,5358,-0.02176526865404723,0.0542705080225681
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_06_fs2,2018,6,8,fs2,across_months,5358,-0.018669355607239847,0.06068696031568243
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_06_fs3,2018,6,12,fs3,mixed,5358,0.018541292916991664,0.06609275684484145
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_10_fs1,2018,10,4,fs1,mixed,5358,0.003166662548883526,0.006601789276118862
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_10_fs2,2018,10,8,fs2,across_months,5358,-0.03580034308871891,0.09281952640120808
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2018_10_fs3,2018,10,12,fs3,mixed,5358,-0.01882924280671745,0.05233593298075427
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2019_02_fs2,2019,2,8,fs2,across_years,5358,0.019061702303160708,0.20615312274858308
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5358,0.12134933848304258,0.2936330644321837
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5358,-0.02089035766972158,0.1418691754206384
GeoRF_2018_02_fs2,2018,2,8,fs2,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5358,0.023585534290791417,0.16195286649936788
