comparison_group,n_pairs_total,n_pairs_with_metric,n_pairs_without_common_valid,n_common_valid_min,n_common_valid_median,n_common_valid_max,adjusted_rand_index_mean,adjusted_rand_index_median,adjusted_rand_index_min,adjusted_rand_index_p25,adjusted_rand_index_p75,adjusted_rand_index_max,normalized_mutual_information_mean,normalized_mutual_information_median,normalized_mutual_information_min,normalized_mutual_information_p25,normalized_mutual_information_p75,normalized_mutual_information_max
across_years,21,18,3,5159,5358.0,5365,0.12640021806717183,0.0180238265780243,-0.095942301395418,0.002323863509899713,0.19961665338805068,0.5001360998657371,0.1244446214489233,0.08698231421330035,0.0010542536771107613,0.018897160513742746,0.2386857215639273,0.29442329785075594
across_horizons,21,18,3,5159,5360.5,5365,0.23939153317726866,0.1568026574425346,-0.09984305332678882,0.05177561766134257,0.46242353911812634,0.581321464201198,0.18890510413211026,0.18532463135455707,0.008008192676414167,0.02881583034657954,0.29351976427533283,0.5175471728339078
across_months,24,20,4,5159,5359.0,5365,0.13678376244933715,0.04800051012118545,-0.12306055607149909,0.024383437566060203,0.1131810811880849,0.6679476017763686,0.12325092504716703,0.07106345278200912,0.0017800865687910984,0.024089222113577863,0.12714433860193228,0.43509359189613594
mixed,210,175,35,5080,5360.0,5365,0.13196741154752223,0.07262869735445586,-0.07374005944656381,0.01869146342912472,0.19158266737057605,0.7616500266518814,0.12476453304950554,0.09628354544282913,0.0023944849470924796,0.02685343766319237,0.2036065810663497,0.6357657408113633
