FEWSNET_admin_code,lat,lon,pixel_row,pixel_col,coastline_dist,validity_reason
0,9.551001515338209,29.13029621711373,8044,20913,-1302.0,valid_pixel
1,9.7864463686198,28.41450764147616,8021,20841,-1357.0,valid_pixel
2,7.799214183827,32.85308081315768,8220,21285,-1100.0,valid_pixel
3,8.417933835645265,26.895620254357382,8158,20689,-1578.0,valid_pixel
4,9.243145895334054,27.61379945167151,8075,20761,-1463.0,valid_pixel
5,9.334755864478977,26.72968776123435,8066,20672,-1544.0,valid_pixel
6,8.66797717290992,27.736114882600745,8133,20773,-1484.0,valid_pixel
7,8.93042328314372,26.72393033611726,8106,20672,-1565.0,valid_pixel
8,6.15016206247805,31.22946148768392,8384,21122,-1356.0,valid_pixel
9,8.291425875688441,30.98072073288932,8170,21098,-1212.0,valid_pixel
10,9.490525066761313,32.401919861197854,8050,21240,-1007.0,valid_pixel
11,6.46564429461756,32.00485930683795,8353,21200,-1273.0,valid_pixel
12,4.359345888033277,33.44792907626228,8564,21344,-1073.0,valid_pixel
13,9.08372236478854,31.44209721825466,8091,21144,-1119.0,valid_pixel
14,7.082292348051082,29.22492349449797,8291,20922,-1448.0,valid_pixel
15,7.617573719391093,31.18647435304356,8238,21118,-1245.0,valid_pixel
16,5.4600980913932,27.893722041524303,8453,20789,-1642.0,valid_pixel
17,9.07197714884066,30.688025781934503,8092,21068,-1187.0,valid_pixel
18,9.980295398131032,31.844239763315883,8001,21184,-1025.0,valid_pixel
19,8.597442894792536,28.58905818276018,8140,20858,-1409.0,valid_pixel
20,8.567439793413518,28.10997113824726,8143,20810,-1456.0,valid_pixel
21,9.19752178535349,30.07519174270993,8080,21007,-1235.0,valid_pixel
22,5.09954988834944,29.06162940758133,8490,20906,-1511.0,valid_pixel
23,4.0283285217561655,33.131162026592094,8597,21313,-1077.0,valid_pixel
24,4.717080545572783,31.4834187993104,8528,21148,-1270.0,valid_pixel
25,7.592506399656177,28.024385887526,8240,20802,-1521.0,valid_pixel
26,3.894862026649451,31.460529842026737,8610,21146,-1218.0,valid_pixel
27,5.131699187780597,34.65216206832098,8486,21465,-1038.0,valid_pixel
28,5.306582181776682,33.46191410008411,8469,21346,-1143.0,valid_pixel
29,4.563412802921596,33.68025823161796,8543,21368,-1069.0,valid_pixel
30,8.63390324968552,29.85741742069607,8136,20985,-1289.0,valid_pixel
31,4.277990057969556,30.85353784014755,8572,21085,-1297.0,valid_pixel
32,8.174243352768361,30.228166528699937,8182,21022,-1286.0,valid_pixel
33,9.255936120347233,33.52690698745331,8074,21352,-933.0,valid_pixel
34,5.249238225823312,32.67141607788915,8475,21267,-1202.0,valid_pixel
35,8.833607741244549,33.16331500618323,8116,21316,-994.0,valid_pixel
36,10.023907357739146,33.45997673813002,7997,21345,-881.0,valid_pixel
37,3.91131954513728,32.21076188560412,8608,21221,-1152.0,valid_pixel
38,8.740229041326288,33.86245227145656,8125,21386,-948.0,valid_pixel
39,9.658456899264117,31.64279694293208,8034,21164,-1064.0,valid_pixel
40,11.13098375709918,32.370198547301,7886,21237,-908.0,valid_pixel
41,5.096247294038325,29.68468366340776,8490,20968,-1456.0,valid_pixel
42,8.122515743064598,29.91969418995337,8187,20991,-1317.0,valid_pixel
43,9.094565694316143,29.2164984083864,8090,20921,-1321.0,valid_pixel
44,10.380961081829817,32.568550646180974,7961,21256,-935.0,valid_pixel
45,3.738779636887926,30.83156234192668,8626,21083,-1264.0,valid_pixel
46,5.307882176786863,30.682564298280845,8469,21068,-1380.0,valid_pixel
47,5.213937060835241,30.208209381401414,8478,21020,-1418.0,valid_pixel
48,5.91797909501608,30.03236794220358,8408,21003,-1466.0,valid_pixel
49,6.471325264106709,27.738218305072024,8352,20773,-1619.0,valid_pixel
50,8.583062808513404,32.11970016734224,8141,21211,-1097.0,valid_pixel
51,5.308480950790219,28.20576266183773,8469,20820,-1603.0,valid_pixel
52,7.524551778489693,30.33662155600983,8247,21033,-1322.0,valid_pixel
53,9.443533221530387,31.452188918786423,8055,21145,-1094.0,valid_pixel
54,9.81514621945512,30.118798060009706,8018,21011,-1195.0,valid_pixel
55,6.396368370479494,33.568097830656605,8360,21356,-1137.0,valid_pixel
56,7.113031420154322,33.81549404183505,8288,21381,-1074.0,valid_pixel
57,8.617606453449703,25.58977599540881,8138,20558,-1692.0,valid_pixel
58,11.362642175107842,32.95721173377968,7863,21295,-840.0,valid_pixel
59,9.268475660737575,29.635661184629683,8073,20963,-1272.0,valid_pixel
60,7.018499943105355,29.78404000097786,8298,20978,-1405.0,valid_pixel
61,6.718670324483102,30.013825277416693,8328,21001,-1407.0,valid_pixel
62,7.524580472572817,29.70424474711226,8247,20970,-1376.0,valid_pixel
63,6.043264454078863,27.14289079171473,8395,20714,-1700.0,valid_pixel
64,5.662622743179727,31.3257564109295,8433,21132,-1347.0,valid_pixel
65,7.847276439012762,29.284940505164062,8215,20928,-1391.0,valid_pixel
66,8.246329225843844,28.916460885771635,8175,20891,-1399.0,valid_pixel
67,7.080618898480923,28.734674633418727,8291,20873,-1490.0,valid_pixel
68,4.372431371164294,32.56709815877729,8562,21256,-1151.0,valid_pixel
69,7.100770044736745,31.32270385687693,8289,21132,-1272.0,valid_pixel
70,9.135147215358606,28.39176173558216,8086,20839,-1395.0,valid_pixel
71,8.579216076808043,32.82719799317089,8142,21282,-1041.0,valid_pixel
72,7.625310075952151,32.11128857945892,8237,21211,-1170.0,valid_pixel
73,7.284772361466431,27.29822716356504,8271,20729,-1607.0,valid_pixel
74,6.200243218371245,29.208888936099896,8379,20920,-1512.0,valid_pixel
75,5.1247155226375725,28.54733853806849,8487,20854,-1561.0,valid_pixel
76,4.251822916195049,30.3442189863986,8574,21034,-1342.0,valid_pixel
77,6.7931938652114745,30.80245009118241,8320,21080,-1338.0,valid_pixel
78,6.395243611872856,30.4869819263811,8360,21048,-1394.0,valid_pixel
79,12.02125245496727,18.109903825827736,7797,19810,-1273.0,valid_pixel
80,11.624715537229353,16.23173318138057,7837,19623,-1099.0,valid_pixel
