period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,3,E_persist,assignment_provenance,learned,persistence,5290,1193,19,910,0.1720226843100189,899,539,360,371,4020,0.5959093421779988,0.5995550611790879,0.5923076923076923,,,
main,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,443,97,6,8,0.01805869074492099,1,0,1,8,434,0.0,0.0,0.0,,,
main,3,E_persist,assignment_provenance,nearest_donor,pooled_rf,443,97,6,8,0.01805869074492099,6,0,6,8,429,0.0,0.0,0.0,,,
main,3,E_persist,assignment_provenance,nearest_donor,xgb,443,97,6,8,0.01805869074492099,3,1,2,7,433,0.18181818181818182,0.3333333333333333,0.125,,,
main,3,E_persist,assignment_provenance,nearest_donor,persistence,443,97,6,8,0.01805869074492099,6,3,3,5,432,0.42857142857142855,0.5,0.375,,,
main,3,E_persist,assignment_provenance,unresolved,partitioned_rf,68,14,3,20,0.29411764705882354,15,12,3,8,45,0.6857142857142857,0.8,0.6,,,
main,3,E_persist,assignment_provenance,unresolved,pooled_rf,68,14,3,20,0.29411764705882354,15,12,3,8,45,0.6857142857142857,0.8,0.6,,,
main,3,E_persist,assignment_provenance,unresolved,xgb,68,14,3,20,0.29411764705882354,14,14,0,6,48,0.8235294117647058,1.0,0.7,,,
main,3,E_persist,assignment_provenance,unresolved,persistence,68,14,3,20,0.29411764705882354,20,14,6,6,42,0.7,0.7,0.7,,,
main,6,E_all,assignment_provenance,learned,partitioned_rf,5290,1193,19,910,0.1720226843100189,565,410,155,500,4225,0.5559322033898305,0.7256637168141593,0.45054945054945056,,,
main,6,E_all,assignment_provenance,learned,pooled_rf,5290,1193,19,910,0.1720226843100189,636,447,189,463,4191,0.5782664941785253,0.7028301886792453,0.4912087912087912,,,
main,6,E_all,assignment_provenance,learned,xgb,5290,1193,19,910,0.1720226843100189,748,505,243,405,4137,0.609167671893848,0.6751336898395722,0.554945054945055,,,
main,6,E_all,assignment_provenance,nearest_donor,partitioned_rf,444,97,6,9,0.02027027027027027,0,0,0,9,435,0.0,,0.0,,no_predicted_positives,
main,6,E_all,assignment_provenance,nearest_donor,pooled_rf,444,97,6,9,0.02027027027027027,1,1,0,8,435,0.2,1.0,0.1111111111111111,,,
