target,year,horizon,origin,target_rows,target_positive,target_areas,unrestricted_rows,unrestricted_positive,unrestricted_areas,unrestricted_areas_ge2,unrestricted_validation_capacity,restricted_rows,restricted_positive,restricted_areas,restricted_areas_ge2,restricted_validation_capacity
2024-09,2024,6,2024-03,1508,433,1508,12668,4323,3875,3071,3731,6365,1222,1352,1345,1857
2024-09,2024,12,2023-09,1508,433,1508,12782,4710,4332,2970,3527,6383,1341,1346,1332,1797
2024-10,2024,1,2024-09,47,28,47,13445,4950,4254,3080,3658,112,61,45,45,45
2024-10,2024,3,2024-07,47,28,47,13241,4854,4112,3074,3732,112,61,45,45,45
2024-10,2024,6,2024-04,47,28,47,12717,4534,3986,3069,3729,112,61,45,45,45
2024-10,2024,12,2023-10,47,28,47,12331,4290,3905,2968,3559,112,61,45,45,45
2024-11,2024,1,2024-10,76,40,76,13453,4951,4254,3057,3635,67,28,36,8,8
2024-11,2024,3,2024-08,76,40,76,13276,4889,4120,3074,3732,90,44,36,31,31
2024-11,2024,6,2024-05,76,40,76,12752,4544,3965,3052,3712,90,44,36,31,31
2024-11,2024,12,2023-11,76,40,76,12323,4299,3913,2980,3571,94,50,40,32,32
2024-12,2024,1,2024-11,0,0,0,13391,4964,4255,3028,3613,0,0,0,0,0
2024-12,2024,3,2024-09,0,0,0,13445,4950,4254,3080,3658,0,0,0,0,0
2024-12,2024,6,2024-06,0,0,0,12784,4540,3985,3053,3713,0,0,0,0,0
2024-12,2024,12,2023-12,0,0,0,12324,4289,3916,2978,3569,0,0,0,0,0
